"","t","Label_testingDiff","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","Covid_propSymptInfect.2.5.","Covid_propSymptInfect.50.","Covid_propSymptInfect.97.5.","Covid_propSymptInfect_vac.2.5.","Covid_propSymptInfect_vac.50.","Covid_propSymptInfect_vac.97.5.","Covid_propSymptInfect_unvac.2.5.","Covid_propSymptInfect_unvac.50.","Covid_propSymptInfect_unvac.97.5.","Covid_cumPropSymptInfect.2.5.","Covid_cumPropSymptInfect.50.","Covid_cumPropSymptInfect.97.5.","Covid_cumPropSymptInfect_vac.2.5.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.97.5.","Covid_cumPropSymptInfect_unvac.2.5.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.97.5.","NonCovid_propSymptInfect.2.5.","NonCovid_propSymptInfect.50.","NonCovid_propSymptInfect.97.5.","NonCovid_propSymptInfect_vac.2.5.","NonCovid_propSymptInfect_vac.50.","NonCovid_propSymptInfect_vac.97.5.","NonCovid_propSymptInfect_unvac.2.5.","NonCovid_propSymptInfect_unvac.50.","NonCovid_propSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","Covid_cumSymptExpInfect_tested_unvac.2.5.","Covid_cumSymptExpInfect_tested_unvac.50.","Covid_cumSymptExpInfect_tested_unvac.97.5.","Covid_cumSymptExpInfect_tested_vac.2.5.","Covid_cumSymptExpInfect_tested_vac.50.","Covid_cumSymptExpInfect_tested_vac.97.5.","CumProp_falseNeg_vac.2.5.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.97.5.","CumProp_falseNeg_unvac.2.5.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.97.5.","NonCovid_cumSymptInfect_tested_unvac.2.5.","NonCovid_cumSymptInfect_tested_unvac.50.","NonCovid_cumSymptInfect_tested_unvac.97.5.","NonCovid_cumSymptInfect_tested_vac.2.5.","NonCovid_cumSymptInfect_tested_vac.50.","NonCovid_cumSymptInfect_tested_vac.97.5.","NonCovid_cumPropSymptInfect_tested_unvac.2.5.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.97.5.","NonCovid_cumPropSymptInfect_tested_vac.2.5.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.97.5.","CumProp_misclass_vac.2.5.","CumProp_misclass_vac.50.","CumProp_misclass_vac.97.5.","CumProp_misclass_unvac.2.5.","CumProp_misclass_unvac.50.","CumProp_misclass_unvac.97.5.","Covid_cumPropSymptExpInfect_tested_unvac.2.5.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.97.5.","Covid_cumPropSymptExpInfect_tested_vac.2.5.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.97.5.","Avg_numContacts.2.5.","Avg_numContacts.50.","Avg_numContacts.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"1",0,"equal",0.200013551225444,1,1,0.00616114180372875,0.495031219769589,0.849863614828451,0.166666666666666,1,1,0,0.5,0.847222222222223,4.5e-05,7e-05,8.5e-05,2e-05,5.33333333333333e-05,8e-05,8e-05,0.00012,0.00016,4.5e-05,7e-05,8.5e-05,2e-05,5.33333333333333e-05,8e-05,8e-05,0.00012,0.00016,0.152,0.152,0.152,0.150866666666666,0.152053333333333,0.153313333333334,0.14806,0.15184,0.1554,0.14802,0.15184,0.1554,0.150853333333334,0.152053333333333,0.153313333333334,1,1,1.5,0,0,2.5,0,0,0,0,0,0,363.5,396,425.5,1134,1189,1233,0.01454,0.01584,0.01702,0.01512,0.0158533333333333,0.01644,0,0,0,0,0,0.00269549612386204,4e-05,4e-05,6e-05,0,0,3.33333333333333e-05,6.0046,6.00506,6.00536,48,50,53,100
"2",1,"equal",0.0295254897036665,0.670759436107321,1,-0.307623164678967,0.448770671099834,0.849460088165375,0,0.666666666666667,1,-0.291666666666667,0.444444444444444,0.845833333333333,4.85e-05,7e-05,9e-05,2.46666666666667e-05,5.33333333333333e-05,9.33333333333333e-05,7.4e-05,8e-05,0.00016,4.85e-05,7e-05,9e-05,2.46666666666667e-05,5.33333333333333e-05,9.33333333333333e-05,7.4e-05,8e-05,0.00016,0.152,0.152,0.152,0.150834666666667,0.152026666666667,0.153252666666667,0.148242,0.15192,0.155496,0.148276,0.152,0.155542,0.15093,0.152093333333333,0.153315333333333,1,1,3,0,1,3,0,0,0,0,0,0,686.35,722,766.5,2106.25,2191,2252.95,0.027454,0.02888,0.03066,0.0280833333333333,0.0292133333333333,0.0300393333333333,0,0,0.000462417167514255,0,0,0.0014513402405133,4e-05,4e-05,0.00012,0,1.33333333333333e-05,4e-05,6.004517,6.00494,6.005386,47.85,50,53,100
"3",2,"equal",-0.582285638742759,0.655787490761297,1,-1.00723239971742,0.340485232443112,0.837300392762166,-0.616666666666667,0.666666666666667,1,-0.95,0.333333333333333,0.833333333333333,5e-05,7e-05,9e-05,2.66666666666667e-05,6.66666666666667e-05,9.33333333333333e-05,4e-05,8e-05,0.00016,5e-05,7e-05,9e-05,2.66666666666667e-05,6.66666666666667e-05,9.33333333333333e-05,4e-05,8e-05,0.00016,0.152,0.152,0.152,0.150856333333333,0.151993333333333,0.153170666666667,0.148488,0.15202,0.155431,0.148891,0.15246,0.155717,0.151243,0.152413333333333,0.153692666666667,1,1,2.925,0,1,4.84999999999999,0,0,0,0,0,0,968.075,1002.5,1047.925,2917.25,3014,3094.25,0.038723,0.0401,0.041917,0.0388966666666667,0.0401866666666667,0.0412566666666667,0,0,0.000342065019048928,0,0,0.00102129427456714,4e-05,4e-05,0.000117,0,1.33333333333333e-05,6.46666666666666e-05,6.0045215,6.0049,6.005377,47,50,53,100
"4",3,"equal",-0.667652859960552,0.511571582346609,1,-0.922525168904416,0.230844736994053,0.872348798054202,-0.666666666666667,0.5,1,-0.9,0.222222222222222,0.872222222222222,5e-05,8e-05,0.00011,2.66666666666667e-05,6.66666666666667e-05,0.00012,4e-05,8e-05,0.00016,5e-05,8e-05,0.00011,2.66666666666667e-05,6.66666666666667e-05,0.00012,4e-05,8e-05,0.00016,0.152,0.152,0.152,0.150821333333333,0.15196,0.153146666666667,0.14856,0.15212,0.155536,0.150208,0.15388,0.157068,0.152344,0.15352,0.15478,1,1,3,0,2,5,0,0,0,0,0,0,1194.1,1241,1298.9,3629,3716,3785.4,0.047764,0.04964,0.051956,0.0483866666666667,0.0495466666666667,0.050472,0,0,0.000641915521980567,0,0,0.000836340103738809,4e-05,4e-05,0.00012,0,2.66666666666667e-05,6.66666666666667e-05,6.004526,6.00492,6.005408,47,50,53,100
"5",4,"equal",-0.641794867782121,0.421641393589011,1,-1.53222937580393,0.182399428042656,0.835940479663791,-0.666666666666667,0.416666666666667,1,-1.50833333333333,0.166666666666667,0.833333333333333,5e-05,8e-05,0.00013,2.66666666666667e-05,8e-05,0.000127,4e-05,8e-05,0.00016,5.475e-05,8e-05,0.00013,2.66666666666667e-05,8e-05,0.000133333333333333,4e-05,8e-05,0.000181,0.152,0.152,0.152,0.150754333333333,0.151873333333333,0.153333666666667,0.147999,0.15238,0.155737,0.152358,0.15672,0.160221,0.155239,0.156293333333334,0.157914333333333,1,1,3,0,2,5,0,0,0,0,0,0,1382.275,1440.5,1507.25,4220.35,4317,4433.2,0.055291,0.05762,0.06029,0.0562713333333333,0.05756,0.0591093333333333,0,0,0.00046058854916874,0,0,0.0010736084843878,4e-05,4e-05,0.00012,0,2.66666666666667e-05,6.66666666666667e-05,6.0045295,6.00494,6.005401,47,50,53,100
"6",5,"equal",-1.01268790786691,0.338449518176437,0.944006476683938,-2.05937319035407,0.134945456801394,0.739373024768271,-1,0.333333333333333,0.94375,-2,0.138888888888889,0.73875,5e-05,1e-04,0.00016325,3.56666666666667e-05,9.33333333333333e-05,0.000164333333333333,4e-05,8e-05,0.000213,5.675e-05,1e-04,0.00016325,4e-05,9.33333333333333e-05,0.000164333333333333,4e-05,0.00012,0.00024,0.152,0.152,0.152,0.150730666666667,0.151886666666667,0.153429333333333,0.147712,0.15234,0.155808,0.158255,0.1626,0.165586,0.160792,0.162066666666666,0.163861666666667,1,2,4,0.675,3,6.65000000000001,0,0,0,0,0,0,1556.7,1613.5,1682.65,4739.4,4853,4943.1,0.062268,0.06454,0.067306,0.063192,0.0647066666666667,0.065908,0,0,0.000486500314861461,0,0,0.00121292990446422,4e-05,8e-05,0.00016,8.99999999999997e-06,4e-05,8.86666666666669e-05,6.0044935,6.00492,6.0054395,47,50,53,100
"7",6,"equal",-1.73508286806568,0.340854168100235,0.945177318414565,-3.43265307918712,0.0318585283974439,0.73142455241463,-1.725,0.333333333333333,0.945,-3.45,0,0.733333333333333,5e-05,0.00012,0.00019175,4e-05,0.00012,0.000226666666666667,3.3e-05,0.00012,0.00024,6e-05,0.00013,0.00019525,4e-05,0.00012,0.000229,4e-05,0.00012,0.000247,0.152,0.152,0.152,0.150826,0.151953333333333,0.153466666666667,0.1476,0.15214,0.155522,0.167612,0.17146,0.174922,0.170192333333333,0.171453333333334,0.173381666666667,1,2,4,0.825,3,8.175,0,0,0,0,0,0,1727,1779.5,1849.875,5250.725,5346,5457.525,0.06908,0.07118,0.073995,0.0700096666666667,0.07128,0.072767,0,0.000183926756759317,0.00041166780340724,0,0,0.000668975209862755,4e-05,8e-05,0.00016,1.1e-05,4e-05,0.000109,6.0044965,6.00493,6.0054835,46.825,50,53,100
"8",7,"equal",-1.90769645001457,0.253328223450217,0.908324206772716,-2.85664591756319,-0.175071215664089,0.620540671488103,-1.975,0.277777777777777,0.910416666666667,-2.82083333333333,-0.166666666666667,0.610277777777778,7e-05,0.00014,0.00022,5.43333333333333e-05,0.000146666666666667,0.000263666666666667,3.00000000000001e-06,0.00012,0.00028,9e-05,0.00015,0.00022925,8e-05,0.000146666666666667,0.000263666666666667,4e-05,0.00014,0.000317,0.152,0.152,0.152,0.150686,0.151906666666666,0.153272,0.148184,0.15228,0.155942,0.180744,0.1849,0.188764,0.183215333333333,0.184693333333333,0.186425666666667,1,2,4,1,4,8.925,0,0,0,0,0,0,1886.225,1944,2014.55,5728.375,5835.5,5956.325,0.075449,0.07776,0.080582,0.0763783333333333,0.0778066666666666,0.0794176666666667,0,0.000170372323976029,0.00051451279386751,0,0,0.00103100601583369,4e-05,8e-05,0.00016,1.33333333333333e-05,5.33333333333333e-05,0.000119,6.0044815,6.00494,6.0054755,47,50,53,100
"9",8,"equal",-2.06866924822814,0.134131116436307,0.814895815855441,-3.20607864630015,-0.079216833589303,0.529743212683768,-2,0.138888888888889,0.814583333333332,-3.25833333333333,-0.0833333333333333,0.525833333333333,9e-05,0.00015,0.00025775,8e-05,0.00016,0.000287333333333333,0,0.00012,0.00028,0.00011,0.00018,0.0002755,9.33333333333333e-05,0.000186666666666667,0.000317,4.9e-05,0.00016,0.00032,0.152,0.152,0.152,0.150735,0.152006666666667,0.153112333333333,0.148663,0.15198,0.155795,0.196771,0.2011,0.205204,0.199342333333333,0.200813333333333,0.202924333333333,1,2,5,2,6,10.775,0,0,0,0,0,0,2055,2116.5,2199.4,6237.9,6358,6464.975,0.0822,0.08466,0.087976,0.083172,0.0847733333333333,0.0861996666666667,0,0.000157480377448969,0.000478541041628643,0,0,0.000946610570564623,4e-05,8e-05,2e-04,2.66666666666667e-05,8e-05,0.000143666666666667,6.0044845,6.00494,6.0054665,47,50,53,100
"10",9,"equal",-2.68192478481259,0.00471492575913984,0.729074596470384,-2.64853004758664,-0.066707716891484,0.47822556827886,-2.66666666666667,0,0.727083333333333,-2.66666666666667,-0.0694444444444444,0.477407407407408,9.275e-05,0.000195,0.0003145,9.33333333333333e-05,0.000186666666666667,0.000343,0,0.00016,0.00036,0.00013,0.00022,0.00034,0.000123666666666667,0.00022,0.000409666666666666,8e-05,2e-04,0.000389,0.152,0.152,0.152,0.150811,0.151993333333333,0.153118333333333,0.148645,0.15202,0.155567,0.214782,0.21872,0.22321,0.217213333333333,0.218813333333333,0.220787333333333,1,2,5.72499999999999,3,7,12,0,0,0.000143098403187354,0,0,0,2233,2300,2374.875,6790.3,6905,7008.025,0.08932,0.092,0.094995,0.0905373333333333,0.0920666666666667,0.0934403333333333,0,0.000286020749665191,0.000582654382090916,0,0,0.000892434053095629,4e-05,8e-05,0.000229,4e-05,9.33333333333333e-05,0.00016,6.0044855,6.00493,6.0054635,47,50,53,100
