"","VE_susc","t","Label_testingDiff","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","CumProp_falseNeg_vac.2.5.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.97.5.","CumProp_falseNeg_unvac.2.5.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.97.5.","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"1",0.1,30,"equal",0.454274,0.4611,0.467745,0.457392333333333,0.4614,0.463974,0,0.000167014831313734,0.000336531033986465,0,0.000167700864181143,0.000506078134127505,-0.0895717463194779,0.0900543309609408,0.257112019121761,-0.0554094760976361,0.0893167117090344,0.206837613225956,-0.0869358974358974,0.0882051282051282,0.25730122324159,-0.0579769873940422,0.089679657871379,0.207112068965518,47,50,53,100
"2",0.1,31,"equal",0.462676,0.46978,0.476327,0.466101666666667,0.470026666666666,0.472741,0,0.000163952384182436,0.000358275544504567,0,0.000163880712459446,0.000577942148128336,-0.120617525204256,0.0874365774535215,0.259377523932109,-0.0483845011958066,0.0855539998425837,0.207193039704373,-0.120343339522729,0.08718643707483,0.255191965221035,-0.0538147530349365,0.0826702833031948,0.197187117524834,47,50,53,100
"3",0.1,32,"equal",0.470312,0.47768,0.484629,0.474256333333333,0.478346666666666,0.481150666666667,2.53117339869977e-05,0.000160776109305179,0.000426627577942059,0,0.000160991760041801,0.000725055380156106,-0.106487825591083,0.0954240816213497,0.25095239194743,-0.0487045690353422,0.07868377561542,0.192694894301106,-0.0915428450823133,0.0949999999999999,0.247346278317152,-0.0564541903409091,0.0815452072514219,0.183022747901067,47,50,53,100
"4",0.1,33,"equal",0.477573,0.48568,0.492355,0.481078,0.486333333333334,0.489698666666667,5.20248734078578e-05,0.000208708357439255,0.000419302298136097,0,0.000157952933967639,0.000776510397836473,-0.0721637261311413,0.0873947675849868,0.241214755087939,0.00401449949081178,0.0956906428060942,0.196230134026606,-0.0701841078268412,0.089105339105339,0.229798199767712,-0.00271855206952425,0.0967259285337088,0.190304182509506,47,50,53,100
"5",0.1,34,"equal",0.484502,0.49308,0.49959,0.487476333333333,0.494033333333333,0.497655333333333,0.000101238829886251,0.00025380072397589,0.000560809241866804,0,0.000301205065216794,0.000760717034117712,-0.0350352769786961,0.091483751396911,0.209512047717497,0.0114716935212875,0.0976383794040188,0.184088115013101,-0.029158970214731,0.0944099378881988,0.199870144306561,0.00610890999112419,0.0989200222609834,0.179414927261227,47,50,53,100
"6",0.1,35,"equal",0.490714,0.49986,0.507457,0.493457333333333,0.50144,0.505149666666667,9.91541838948066e-05,0.000295742308566239,0.000574216464377346,0,0.000295923666274641,0.000892464213632097,-0.033757190772546,0.0986090060428974,0.196704149654724,0.0166536676659227,0.0925460713409503,0.184173172465092,-0.0343464052287582,0.095952023988006,0.192953945324635,0.0130660935050249,0.0916460030927874,0.178787736106562,47,50,53,100
"7",0.1,36,"equal",0.496537,0.50624,0.514303,0.499289333333333,0.5079,0.512527666666667,9.75214781845516e-05,0.000339970859640602,0.000631736936571536,0,0.000292483207237911,0.00087361526050783,-0.0398868940613272,0.0814778584739559,0.206828869453997,0.0141090294127775,0.0981295867937326,0.178155560537757,-0.0516975308641975,0.0801776531089294,0.207484895129792,0.0157380967161214,0.095278390322095,0.168810054812948,47,50,53,100
"8",0.1,37,"equal",0.500971,0.51266,0.521155,0.504030666666667,0.513606666666667,0.519368,0.000141958582453154,0.000424058277106999,0.00068488786891086,0,0.000424148304747049,0.00126887565525266,-0.0297596530996144,0.0909708782847078,0.208480169982611,0.0211642094207051,0.0957077011988723,0.168921009416004,-0.0263315217391305,0.0879576728877952,0.199590611353712,0.018567494201982,0.0925328743454807,0.158727113208596,47,50,53,100
"9",0.1,38,"equal",0.503672,0.51776,0.527261,0.508594666666667,0.519253333333333,0.525802666666667,0.000162032888111235,0.000463445731113793,0.000852726604205639,0,0.000421289277711632,0.00143445030500199,-0.0120035662546684,0.0916371037273966,0.182740092987073,0.0226121841658629,0.0980811760378145,0.162884851673544,-0.0191927005666566,0.0847309573724668,0.179666124209467,0.0222019187676184,0.0934180403139105,0.150538007575907,47,50,53,100
"10",0.1,39,"equal",0.50633,0.52218,0.532766,0.511442666666667,0.523933333333333,0.532006333333333,0.000227439456443089,0.000543970992685169,0.000963531119993061,0,0.000546824215581504,0.00154038061543511,-0.0102884079489118,0.0907969422701937,0.185602366252944,0.0349233972353049,0.0968587485242534,0.153379187643613,-0.00884258182851521,0.0910400079555978,0.180298448425458,0.0338755477069887,0.0952984073718106,0.142331689610301,47,50,53,100
