VE_susc,t,Label_testingDiff,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,NonCovid_cumPropSymptInfect_unvac.2.5.,NonCovid_cumPropSymptInfect_unvac.50.,NonCovid_cumPropSymptInfect_unvac.97.5.,NonCovid_cumPropSymptInfect_vac.2.5.,NonCovid_cumPropSymptInfect_vac.50.,NonCovid_cumPropSymptInfect_vac.97.5.,CumProp_falseNeg_vac.2.5.,CumProp_falseNeg_vac.50.,CumProp_falseNeg_vac.97.5.,CumProp_falseNeg_unvac.2.5.,CumProp_falseNeg_unvac.50.,CumProp_falseNeg_unvac.97.5.,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptOR.2.5.,VE_symptOR.50.,VE_symptOR.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR.2.5.,VE_symptRR.50.,VE_symptRR.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.,totalNum_sims
0.55,30,equal,0.001278,0.0028,0.005183,0.000566333,0.001306667,0.002169,0.457998,0.46458,0.4703,0.462613333,0.46488,0.467317,0,5.63E-05,0.000141242,0,0,0.000340752,0.293833235,0.539269404,0.709736717,0.331618225,0.533692673,0.668753851,0.285092593,0.532748538,0.712212644,0.330316092,0.530656051,0.669848485,65,73,80,100
0.55,31,equal,0.001379,0.00316,0.005585,0.000645667,0.001453333,0.002414667,0.467059,0.47394,0.479348,0.471877333,0.474126667,0.476808,0,5.50E-05,0.000165276,0,0,0.000332733,0.259468035,0.533749686,0.712519521,0.368235166,0.534647404,0.656662656,0.265188172,0.532795699,0.713891941,0.365488215,0.536141939,0.660035211,65,73,80,100
0.55,32,equal,0.001535,0.00356,0.006155,0.000679333,0.001613333,0.002767667,0.476302,0.48314,0.488033,0.481304,0.483573333,0.48572,0,5.38E-05,0.000162113,0,0.000157332,0.000482001,0.288251866,0.542853926,0.688353113,0.367581851,0.533350768,0.664109276,0.287202381,0.54023406,0.68794877,0.368169935,0.532773109,0.661941721,65,73,80,100
0.55,33,equal,0.001754,0.00392,0.006951,0.000771333,0.001773333,0.003137333,0.485356,0.49174,0.497004,0.49,0.4928,0.494781667,0,5.26E-05,0.000185125,0,0.000155039,0.000479094,0.312239387,0.540662102,0.701672712,0.372313213,0.530243837,0.6530204,0.31199187,0.541103604,0.700343885,0.372578985,0.533050252,0.650735628,65,73,80,100
0.55,34,equal,0.001998,0.00434,0.007553,0.000905333,0.001986667,0.003455,0.493514,0.50018,0.505465,0.498858667,0.50144,0.503695667,0,5.15E-05,0.000205292,0,0.000152497,0.000546189,0.332710277,0.544681225,0.693302573,0.36513341,0.536253197,0.646254082,0.324772896,0.539773816,0.692777778,0.365205314,0.535218254,0.648344646,65,73,80,100
0.55,35,equal,0.002213,0.00478,0.008492,0.000958667,0.0022,0.003684333,0.501784,0.5085,0.514141,0.507593,0.51014,0.512483333,0,5.06E-05,0.000202236,0,0.000149813,0.000600116,0.322141874,0.531833637,0.681813223,0.395904478,0.551936902,0.64203489,0.31780303,0.530935975,0.683803763,0.394891026,0.549652325,0.644105505,65,73,80,100
0.55,36,equal,0.002476,0.00534,0.00944,0.001085667,0.002453333,0.004156667,0.510375,0.51702,0.522924,0.516016667,0.518473333,0.520828,0,9.76E-05,0.000197978,0,0.00014694,0.000595252,0.340298268,0.538442554,0.679015867,0.398257933,0.547897342,0.627915123,0.343910256,0.540975897,0.68052381,0.401233766,0.547344633,0.626491347,65,73,80,100
0.55,37,equal,0.002695,0.00586,0.010406,0.001191667,0.002726667,0.004537,0.518072,0.5253,0.53104,0.52417,0.526753333,0.529489667,0,9.59E-05,0.000239606,0,0.000144665,0.000583452,0.354341041,0.539895864,0.659666012,0.413912946,0.553501724,0.628795265,0.352530864,0.536835222,0.657973485,0.411985931,0.550516443,0.625254186,65,73,80,100
0.55,38,equal,0.003015,0.00652,0.011625,0.001279333,0.002986667,0.004998,0.525615,0.53324,0.538707,0.531985333,0.534806667,0.537792,0,9.44E-05,0.000260499,0,0.000142969,0.000574855,0.39618513,0.548889326,0.65712551,0.420165446,0.550086942,0.623552028,0.38609431,0.548195632,0.659095607,0.417952272,0.547111262,0.624015129,65,73,80,100
0.55,39,equal,0.003297,0.0072,0.012625,0.001397333,0.003306667,0.005535667,0.533122,0.5406,0.546071,0.539835667,0.542773333,0.545692333,0,9.29E-05,0.000257168,0,0.000274481,0.000630734,0.406252075,0.552727469,0.650567409,0.418170369,0.552530043,0.623090805,0.396643519,0.551371886,0.651611647,0.419261977,0.551169266,0.61802545,65,73,80,100
