,V1,Covid_infect_unvac,Covid_infect_vac,Covid_infect,Covid_propInfect_unvac,Covid_propInfect_vac,Covid_propInfect,Covid_cumInfect_unvac,Covid_cumInfect_vac,Covid_symptInfect_unvac,Covid_symptInfect_vac,Covid_symptInfect,Covid_propSymptInfect_unvac,Covid_propSymptInfect_vac,Covid_propSymptInfect,NonCovid_symptInfect_unvac,NonCovid_symptInfect_vac,NonCovid_symptInfect,NonCovid_propSymptInfect_unvac,NonCovid_propSymptInfect_vac,NonCovid_propSymptInfect,CoInfect_unvac,CoInfect_vac,Sympt_coInfect_unvac,Sympt_coInfect_vac,NeverInfect_unvac,NeverInfect_vac,Covid_cumSymptInfect_unvac,Covid_cumSymptInfect_vac,Covid_cumSymptInfect,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac,Covid_cumPropSymptInfect,NonCovid_cumSymptInfect_covidSusc_unvac,NonCovid_cumSymptInfect_covidSusc_vac,NonCovid_cumSymptInfect_unvac,NonCovid_cumSymptInfect_vac,NonCovid_cumSymptInfect,NonCovid_cumPropSymptInfect_unvac,NonCovid_cumPropSymptInfect_vac,NonCovid_cumPropSymptInfect,Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,Covid_cumSymptExpInfect_tested,Covid_cumPropSymptExpInfect_tested_unvac,Covid_cumPropSymptExpInfect_tested_vac,Covid_cumPropSymptExpInfect_tested,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,NonCovid_cumSymptInfect_tested,NonCovid_cumPropSymptInfect_tested_unvac,NonCovid_cumPropSymptInfect_tested_vac,NonCovid_cumPropSymptInfect_tested,EverTested_unvac,EverTested_vac,CumNum_falsePos_unvac,CumNum_falsePos_vac,CumProp_falsePos_unvac,CumProp_falsePos_vac,CumNum_falseNeg_unvac,CumNum_falseNeg_vac,CumProp_falseNeg_unvac,CumProp_falseNeg_vac,CumNum_misclass_unvac,CumNum_misclass_vac,CumProp_misclass_unvac,CumProp_misclass_vac,VE_symptRR,VE_symptOR,VE_symptSuscOR,VE_symptRR_observed,VE_symptOR_observed,Label_veSusc,Label_veInfect,Label_veJoint,t,TestedStarted_bin,Label_testingDiff,VE_symptRR_degUnder_highChange_trueVeff,VE_symptOR_degUnder_highChange_trueVeff,VE_symptRR_degUnder_highChange_targEst,VE_symptOR_degUnder_highChange_targEst,VE_symptRR_degUnder_peak_trueVeff,VE_symptOR_degUnder_peak_trueVeff,VE_symptRR_degUnder_peak_targEst,VE_symptOR_degUnder_peak_targEst,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,Covid_cumPropSymptInfect_final,t_highChange,t_peak,t_end,VE_susc,VE_infect,Covid_probTrans,NonCovid_propSympt,Epi_simNum,Seed_num,Avg_numContacts
50,50,9466,25310,34776,0.37864,0.337466667,0.34776,11439,30673,3585,9627,13212,0.1434,0.12836,0.13212,1244,3756,5000,0.04976,0.05008,0.05,461,1277,192,487,10260,33239,4872,13109,17981,0.19488,0.174786667,0.17981,3299,11080,4930,15487,20417,0.1972,0.206493333,0.20417,1921,5239,7160,0.07684,0.069853333,0.0716,2656,8099,10755,0.10624,0.107986667,0.10755,4577,13338,124,332,0.027091982,0.024891288,14,10,0.003058772,0.000749738,138,342,0.030150754,0.025641026,0.103106185,0.143471329,0.198866599,0.090924866,0.105629007,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.009075134,-0.005629007,0.012181319,0.037842322,8.84E-05,-0.053124657,0.00430395,0.034321244,0.17981,0.37729,0.57421,49,57,133,0.1,0.2,0.1,0.05,1,990980245,6.00488
501,48,9672,26050,35722,0.38688,0.347333333,0.35722,11724,31397,3615,9856,13471,0.1446,0.131413333,0.13471,1209,3791,5000,0.04836,0.050546667,0.05,472,1275,181,488,10180,32996,4950,13358,18308,0.198,0.178106667,0.18308,3092,10601,4712,15025,19737,0.18848,0.200333333,0.19737,2007,5457,7464,0.08028,0.07276,0.07464,2390,7772,10162,0.0956,0.103626667,0.10162,4397,13229,131,377,0.029793041,0.028497997,7,31,0.001591995,0.002343337,138,408,0.031385035,0.030841333,0.10047138,0.153694738,0.212901851,0.093672147,0.163874073,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,0.006327853,-0.063874073,0.006799233,-0.010179336,-0.009548536,-0.10928504,-0.000220584,-0.014388533,0.18308,0.38211,0.57333,47,55,1234,0.1,0.2,0.1,0.05,10,500026483,6.00474
961,55,9217,24637,33854,0.36868,0.328493333,0.33854,11042,29781,3495,9147,12642,0.1398,0.12196,0.12642,1214,3786,5000,0.04856,0.05048,0.05,465,1313,167,475,10177,33073,4662,12501,17163,0.18648,0.16668,0.17163,3780,12137,5561,16774,22335,0.22244,0.223653333,0.22335,1815,5079,6894,0.0726,0.06772,0.06894,2935,8956,11891,0.1174,0.119413333,0.11891,4750,14035,134,351,0.028210526,0.025008906,3,27,0.000631579,0.001923762,137,378,0.028842105,0.026932668,0.106177606,0.111026649,0.164872213,0.067217631,0.082944533,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,54,TRUE,equal,0.032782369,0.017055467,0.038959975,0.028082115,0.000786449,-0.044635954,0.005988569,-0.007664749,0.17163,0.37065,0.5746,54,62,1234,0.1,0.2,0.1,0.05,100,90014479,6.00472
1412,53,9225,24980,34205,0.369,0.333066667,0.34205,11112,30292,3470,9292,12762,0.1388,0.123893333,0.12762,1244,3756,5000,0.04976,0.05008,0.05,462,1203,156,469,10145,32993,4700,12710,17410,0.188,0.169466667,0.1741,3742,11706,5447,16320,21767,0.21788,0.2176,0.21767,1834,5093,6927,0.07336,0.067906667,0.06927,2911,8624,11535,0.11644,0.114986667,0.11535,4745,13717,108,359,0.022760801,0.026171903,11,16,0.00231823,0.001166436,119,375,0.025079031,0.027338339,0.09858156,0.097421647,0.135543875,0.074336605,0.06263701,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,0.025663395,0.03736299,0.024244955,0.034784637,-0.0018228,-0.028744559,0.011819515,0.042139062,0.1741,0.37264,0.57216,52,60,1234,0.1,0.2,0.1,0.05,11,432607740,6.00492
1862,50,10168,27341,37509,0.40672,0.364546667,0.37509,12460,33659,3890,10484,14374,0.1556,0.139786667,0.14374,1196,3804,5000,0.04784,0.05072,0.05,486,1464,184,543,9405,31099,5397,14590,19987,0.21588,0.194533333,0.19987,3132,10235,4924,15049,19973,0.19696,0.200653333,0.19973,2148,5909,8057,0.08592,0.078786667,0.08057,2685,7908,10593,0.1074,0.10544,0.10593,4833,13817,144,404,0.029795158,0.029239343,8,26,0.001655287,0.00188174,152,430,0.031450445,0.031121083,0.098882095,0.115468557,0.172749992,0.083022967,0.065977491,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.016977033,0.034022509,0.015859128,0.049491065,0.002044166,-0.018787409,-0.001494194,0.022502333,0.19987,0.37403,0.56932,49,56,124,0.1,0.2,0.1,0.05,12,611638146,6.0047
2313,48,10101,27222,37323,0.40404,0.36296,0.37323,12348,33249,3925,10465,14390,0.157,0.139533333,0.1439,1233,3767,5000,0.04932,0.050226667,0.05,496,1364,212,508,9611,31528,5405,14372,19777,0.2162,0.191626667,0.19777,3036,10218,4689,14833,19522,0.18756,0.197773333,0.19522,2180,5690,7870,0.0872,0.075866667,0.0787,2515,7796,10311,0.1006,0.103946667,0.10311,4695,13486,144,375,0.030670927,0.027806614,13,28,0.002768903,0.002076227,157,403,0.03343983,0.029882841,0.113660191,0.159432206,0.209944903,0.129969419,0.157980922,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,-0.029969419,-0.057980922,-0.016309228,0.001451284,-0.008075832,-0.078401091,-0.007043604,0.000522291,0.19777,0.37128,0.57178,47,54,119,0.1,0.2,0.1,0.05,13,470731545,6.0046
2772,54,10311,27714,38025,0.41244,0.36952,0.38025,12686,34028,3957,10741,14698,0.15828,0.143213333,0.14698,1254,3746,5000,0.05016,0.049946667,0.05,516,1431,201,518,9018,30177,5514,14891,20405,0.22056,0.198546667,0.20405,3295,10786,5175,15996,21171,0.207,0.21328,0.21171,2215,5998,8213,0.0886,0.079973333,0.08213,2907,8547,11454,0.11628,0.11396,0.11454,5122,14545,140,366,0.027333073,0.025163286,15,24,0.002928544,0.001650052,155,390,0.030261617,0.026813338,0.099806553,0.126312624,0.175003502,0.097366441,0.078990609,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,53,TRUE,equal,0.002633559,0.021009391,0.002440112,0.047322016,0.007818747,0.003104299,0.002138042,0.058055486,0.20405,0.37951,0.57386,53,60,1234,0.1,0.2,0.1,0.05,14,580034963,6.00452
3221,50,10798,28867,39665,0.43192,0.384893333,0.39665,13322,35788,4235,11385,15620,0.1694,0.1518,0.1562,1177,3823,5000,0.04708,0.050973333,0.05,511,1451,197,579,8821,29359,5879,15891,21770,0.23516,0.21188,0.2177,2855,9845,4710,14793,19503,0.1884,0.19724,0.19503,2380,6509,8889,0.0952,0.086786667,0.08889,2494,7859,10353,0.09976,0.104786667,0.10353,4874,14368,152,387,0.031185884,0.026934855,11,40,0.002256873,0.002783964,163,427,0.033442757,0.02971882,0.098996428,0.139378052,0.21614062,0.08837535,0.132106422,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.01162465,-0.032106422,0.010621078,0.00727163,-0.010389125,-0.077509032,-0.006583586,0.004394909,0.2177,0.37026,0.57402,49,55,1234,0.1,0.2,0.1,0.05,15,161189470,6.00472
3676,52,9950,26917,36867,0.398,0.358893333,0.36867,12152,32951,3738,10301,14039,0.14952,0.137346667,0.14039,1284,3716,5000,0.05136,0.049546667,0.05,508,1332,181,492,9438,31246,5158,14332,19490,0.20632,0.191093333,0.1949,3407,10796,5179,15506,20685,0.20716,0.206746667,0.20685,2137,5747,7884,0.08548,0.076626667,0.07884,2756,8175,10931,0.11024,0.109,0.10931,4893,13922,131,342,0.026772941,0.024565436,10,31,0.002043736,0.002226692,141,373,0.028816677,0.026792128,0.073801215,0.071949534,0.123130995,0.103571986,0.093374089,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,equal,-0.003571986,0.006625911,-0.029770771,-0.021424555,9.85E-05,-0.010899981,-0.005188249,0.020576219,0.1949,0.37088,0.57358,51,58,1234,0.1,0.2,0.1,0.05,16,700935704,6.00492
4125,48,9323,24992,34315,0.37292,0.333226667,0.34315,11294,30109,3524,9240,12764,0.14096,0.1232,0.12764,1248,3752,5000,0.04992,0.050026667,0.05,484,1191,168,452,10374,34015,4752,12612,17364,0.19008,0.16816,0.17364,3325,10873,4930,15017,19947,0.1972,0.200226667,0.19947,1898,5074,6972,0.07592,0.067653333,0.06972,2583,7970,10553,0.10332,0.106266667,0.10553,4481,13044,134,343,0.029904039,0.026295615,8,22,0.001785316,0.001686599,142,365,0.031689355,0.027982214,0.115319865,0.128692869,0.188385511,0.108886547,0.133596218,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,-0.008886547,-0.033596218,0.006433318,-0.004903349,0.009201152,-0.049980509,0.002957426,0.002238622,0.17364,0.37046,0.57104,47,55,112,0.1,0.2,0.1,0.05,17,994734943,6.005
