"","t","Label_testingDiff","Covid_propInfect.2.5.","Covid_propInfect.50.","Covid_propInfect.97.5.","NonCovid_cumSymptInfect_unvac.2.5.","NonCovid_cumSymptInfect_unvac.50.","NonCovid_cumSymptInfect_unvac.97.5.","NonCovid_cumSymptInfect_vac.2.5.","NonCovid_cumSymptInfect_vac.50.","NonCovid_cumSymptInfect_vac.97.5.","NonCovid_cumSymptInfect_tested_unvac.2.5.","NonCovid_cumSymptInfect_tested_unvac.50.","NonCovid_cumSymptInfect_tested_unvac.97.5.","NonCovid_cumSymptInfect_tested_vac.2.5.","NonCovid_cumSymptInfect_tested_vac.50.","NonCovid_cumSymptInfect_tested_vac.97.5.","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VE_symptOR_timeDep.2.5.","VE_symptOR_timeDep.50.","VE_symptOR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Intercept_coef_timeDep_VeOR.2.5.","Intercept_coef_timeDep_VeOR.50.","Intercept_coef_timeDep_VeOR.97.5.","VacStatus_coef_timeDep_VeOR.2.5.","VacStatus_coef_timeDep_VeOR.50.","VacStatus_coef_timeDep_VeOR.97.5.","TimeStep_coef_timeDep_VeOR.2.5.","TimeStep_coef_timeDep_VeOR.50.","TimeStep_coef_timeDep_VeOR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5.","Stats_sampleSizeNonCovid_unvac.2.5.","Stats_sampleSizeNonCovid_unvac.50.","Stats_sampleSizeNonCovid_unvac.97.5.","Stats_sampleSizeNonCovid_vac.2.5.","Stats_sampleSizeNonCovid_vac.50.","Stats_sampleSizeNonCovid_vac.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"11",30,"equal",0.01270975,0.02246,0.035512,11402.275,11524.5,11655.575,34299.2,34621,34824.725,5718.475,5833.5,5946.525,17331.275,17529.5,17674.725,-0.164633990904825,0.0987249186489725,0.275177588547126,-0.0639068395271121,0.0929630860893571,0.220316015057634,-0.154351395730706,0.0945917172362397,0.281648905939187,-0.0708048606874109,0.0924776111631782,0.222461988304094,-0.154494087957961,0.0946152991576115,0.282227264454822,-0.163031341517074,0.09530853057028,0.271974237066661,-0.331824678218222,-0.0993981536790081,0.143617476804023,-7.80755997778411,-7.22027579052896,-6.74035150377543,-0.317427157799806,-0.100161407799308,0.151028050162597,0.138967796688949,0.154573008083014,0.1686150635416,62,108,171.575,161.7,299,476.55,5718.475,5833.5,5946.525,17331.275,17529.5,17674.725,47,50,54,100
"12",31,"equal",0.014986,0.026545,0.04171725,11602.075,11736.5,11873.825,34939.525,35272,35454.15,5848.9,5974.5,6091.1,17734.325,17937.5,18092.775,-0.158416641144966,0.0904466290447307,0.268434909941145,-0.0312507455293039,0.0928406628243008,0.220482385810384,-0.159069000507357,0.0884166338711793,0.270408950617284,-0.038937106918239,0.0978696828016136,0.2199181041304,-0.159329098691574,0.088705427825353,0.27075016683465,-0.163726687672974,0.092332172997257,0.262321316911219,-0.316210273223026,-0.0928901150127885,0.147801107270163,-7.77099253973623,-7.17340091180469,-6.73232629962587,-0.304366186656372,-0.0968768019739646,0.151565888321454,0.137317545153303,0.155487412467426,0.165975792790361,71,125,201.575,187.275,350.5,555.4,5848.9,5974.5,6091.1,17734.325,17937.5,18092.775,47,50,54,100
"13",32,"equal",0.0175555,0.031215,0.04845425,11790.325,11941,12073.1,35532.05,35903.5,36117.35,5974,6105,6221.575,18126.675,18343.5,18519.625,-0.118957188572948,0.0906424820809903,0.270297836313882,-0.00882765309488088,0.101597083290805,0.212417866381472,-0.101027044731424,0.084920634920635,0.274729269661904,-0.00842047930283241,0.0951650598889863,0.206086704593342,-0.10121559092437,0.0851335668442527,0.275436679052219,-0.118202245740727,0.092923073146563,0.265186538291948,-0.322206717437475,-0.0889772209466501,0.0963207147080329,-7.73924414068107,-7.18068147305643,-6.67166144343187,-0.308145080279792,-0.0975300092919242,0.111634660456995,0.14049965994104,0.155075696015165,0.164794302777577,90,149.5,251.825,222.8,406.5,651.875,5974,6105,6221.575,18126.675,18343.5,18519.625,47,50,54,100
"14",33,"equal",0.020628,0.03657,0.0568695,11967.375,12145.5,12283.1,36098.8,36490,36731.5,6104.375,6234.5,6343.625,18494.8,18724.5,18924.55,-0.0878293926310235,0.0942356394371341,0.246558959393246,0.00238198555279222,0.0986778875605654,0.18878219288033,-0.0785851851851852,0.0943360217730426,0.250053418803419,-0.000247665260597846,0.100023052097741,0.185995066816536,-0.0787634807952578,0.0945333039491369,0.251073453571437,-0.105679245693002,0.0978681624767158,0.257942931022476,-0.289121982622242,-0.0993079124027308,0.075807684108612,-7.75379013124727,-7.18117630436898,-6.64317177990543,-0.298331737914049,-0.103003591137455,0.100322992952858,0.143145723922294,0.155739007791813,0.164498905998086,106,176.5,302.075,270.125,485.5,777.05,6104.375,6234.5,6343.625,18494.8,18724.5,18924.55,47,50,54,100
"15",34,"equal",0.0243395,0.043045,0.06675425,12126.8,12327,12465.05,36615.5,37057,37352.625,6220.6,6359.5,6480.675,18852.025,19102.5,19321.1,-0.056859281372769,0.0960670627000813,0.248558583271226,-0.00225164849172723,0.106236820742232,0.189979661049071,-0.0581273408239701,0.0902926941031588,0.237579676071055,-0.00464102564102571,0.101558342674049,0.189439144360558,-0.0583058565855995,0.090712121157785,0.238569725460899,-0.0630157062745516,0.105146520115671,0.259045612051018,-0.272665059274834,-0.0950936082201981,0.0566333064361437,-7.66001000889947,-7.14643934915953,-6.62890903263506,-0.299875885663812,-0.111095365116302,0.0611076035944686,0.142967233725188,0.155420979143518,0.164457203525973,125.425,207.5,353.7,312.95,565,903.675,6220.6,6359.5,6480.675,18852.025,19102.5,19321.1,47,50,54,100
"16",35,"equal",0.028393,0.050515,0.077616,12285.6,12501.5,12656.2,37105.65,37577.5,37951.25,6331.425,6472.5,6601.05,19139.475,19475,19699.975,-0.0331742805649394,0.107476530384143,0.229651849071516,-0.00131936741262621,0.105837404138807,0.191090326076493,-0.0277867369062338,0.10122968818621,0.227791571935703,0.00184346701164292,0.104200791700792,0.188004561549013,-0.0281628627450126,0.101609667633351,0.228889243059973,-0.0364772798153584,0.107375448078743,0.229577892465713,-0.259923604571301,-0.107150704764938,0.0277657313098989,-7.60723758116531,-7.13755725710928,-6.60495323840428,-0.260825404145543,-0.113589233758281,0.0358274687974989,0.145625745154644,0.155551287450982,0.16555851774113,147.85,248.5,409.625,368.9,666,1069.925,6331.425,6472.5,6601.05,19139.475,19475,19699.975,47,50,54,100
"17",36,"equal",0.03315075,0.059155,0.0904775,12420.475,12666,12853.55,37524.225,38085,38528.25,6429.35,6587,6731.05,19448.075,19814.5,20049.15,-0.0354573737284895,0.107304133166321,0.225005550257601,0.00182158286538837,0.108225644786683,0.179427315295637,-0.0333305065581185,0.105769560888522,0.223311151321794,0.00556372164322789,0.102886065899166,0.173885798654031,-0.0335725663025368,0.106370533853265,0.22485078098668,-0.0553329487064448,0.111643743056332,0.23759177155138,-0.254699731216243,-0.112464514150746,0.0330172923679062,-7.60305789265365,-7.12679546134843,-6.58228673479215,-0.271296440584531,-0.118382589046033,0.0536254065980409,0.147204217893136,0.154978243144891,0.164777561613059,175.375,293,477.05,434.275,785.5,1243.55,6429.35,6587,6731.05,19448.075,19814.5,20049.15,47,50,54,100
"18",37,"equal",0.03915525,0.06891,0.1047075,12509.65,12810.5,13023.9,37911.475,38548.5,39066.825,6534.8,6699,6834.575,19735.175,20159,20391.05,-0.0288138539607052,0.107818732247142,0.209746859623628,0.0152186478568197,0.108082300374927,0.170490645630857,-0.0294187565308254,0.107467654443162,0.208170349674033,0.0114125046633812,0.101560947921101,0.162215992148018,-0.0298454875298952,0.108014465165187,0.209752814651364,-0.0415243959936351,0.107358010378631,0.227154237734284,-0.235476548033905,-0.114305464414249,0.0293384154255497,-7.576233893586,-7.11049920097442,-6.56874704928288,-0.257706216247137,-0.11356984397285,0.0406848577765039,0.147703495217413,0.15513070074811,0.164712686916332,206.475,344,551.025,510.175,922.5,1467.825,6534.8,6699,6834.575,19735.175,20159,20391.05,47,50,54,100
"19",38,"equal",0.04580125,0.080585,0.12135675,12585.725,12945.5,13181.95,38181.25,38969,39531.9,6610.8,6791,6955.525,19987.775,20470.5,20743.55,-0.0293259549137221,0.103980440742279,0.20474735507295,0.024377176405308,0.107446599933163,0.16778061680018,-0.0242576974564926,0.0974616858237548,0.197560190950602,0.0270992201369377,0.103547468063597,0.156218051792077,-0.0244468065279565,0.0981247546726862,0.199364679464562,-0.0479632416978578,0.105409980399383,0.22086672907568,-0.22236583405344,-0.103279083260144,0.0241342804557925,-7.59981060054402,-7.08858696121298,-6.54143274509619,-0.249577632395013,-0.111389744520839,0.0468483807348399,0.148224592897217,0.155485661947078,0.163862875533682,236.75,400.5,648.25,608.575,1087.5,1717.575,6610.8,6791,6955.525,19987.775,20470.5,20743.55,47,50,54,100
"20",39,"equal",0.0537015,0.09387,0.14033825,12670.9,13055,13334.525,38409,39310.5,40004.75,6660.325,6882.5,7051.1,20224.675,20739.5,21074.725,-0.0249295380799634,0.109072209524778,0.194681346586567,0.0352508836653531,0.106450673733137,0.163334850525802,-0.0225771219638475,0.106429192990079,0.183988888888889,0.0274019181665805,0.101825090986941,0.152301550419197,-0.0227753882933516,0.107549293880516,0.185584389783652,-0.0279648341949161,0.107057431007039,0.218652512324349,-0.205285007148989,-0.113784000378941,0.022519775576679,-7.59202410225423,-7.07779024035631,-6.56530874339444,-0.246744302734808,-0.113233116711364,0.0275764401326038,0.14929803429207,0.155605061239423,0.163973532968569,276.375,469.5,749.525,715.725,1278.5,2001.525,6660.325,6882.5,7051.1,20224.675,20739.5,21074.725,47,50,54,100
