"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"82",0.55,"equal",81,81,0.05,0.1186,0.547483588621444,0.586872261116773,-0.00251641137855585,0.0368722611167727,4101,13476,100
"433",0.55,"modUnequal",81,81,0.05,0.1186,0.205226748654881,0.562096216144441,-0.344773251345119,0.0120962161444412,2475,13476,100
"784",0.55,"highUnequal",81,81,0.05,0.1186,-0.121475054229935,0.513411647218579,-0.671475054229935,-0.036588352781421,1949,13476,100
"1123",0.55,"equal",69,69,0.05,0.10527,0.536113936927772,0.579149711057528,-0.0138860630722279,0.0291497110575278,3615,11954,100
"1474",0.55,"modUnequal",69,69,0.05,0.10527,0.184986595174263,0.558403729039961,-0.365013404825737,0.00840372903996145,2159,11954,100
"1825",0.55,"highUnequal",69,69,0.05,0.10527,-0.150063051702396,0.506167505070403,-0.700063051702396,-0.0438324949295967,1711,11954,100
"2178",0.55,"equal",71,71,0.05,0.0836,0.545666454757364,0.576927769115029,-0.00433354524263618,0.0269277691150285,3848,12397,100
"2529",0.55,"modUnequal",71,71,0.05,0.0836,0.177598772535481,0.534700152501724,-0.372401227464519,-0.0152998474982765,2338,12397,100
"2880",0.55,"highUnequal",71,71,0.05,0.0836,-0.0961145194274029,0.529440875018743,-0.646114519427403,-0.0205591249812567,1774,12397,100
"3235",0.55,"equal",75,75,0.05,0.12088,0.555370755370755,0.596494985863281,0.00537075537075538,0.0464949858632814,3807,12585,100
"3586",0.55,"modUnequal",75,75,0.05,0.12088,0.199600798403194,0.548571034331813,-0.350399201596806,-0.00142896566818695,2366,12585,100
"3937",0.55,"highUnequal",75,75,0.05,0.12088,-0.101270168211466,0.511713346156537,-0.651270168211466,-0.0382866538434627,1860,12585,100
"4285",0.55,"equal",72,72,0.05,0.08139,0.568340750158932,0.607727577014563,0.0183407501589319,0.0577275770145631,3851,12713,100
"4636",0.55,"modUnequal",72,72,0.05,0.08139,0.23536036036036,0.588960332156273,-0.31463963963964,0.0389603321562733,2278,12713,100
"4987",0.55,"highUnequal",72,72,0.05,0.08139,0.00293685756240825,0.584249845192978,-0.547063142437592,0.0342498451929776,1767,12713,100
"5331",0.55,"equal",65,65,0.05,0.06667,0.559677419354839,0.57730852242898,0.00967741935483868,0.0273085224289797,3716,11613,100
"5682",0.55,"modUnequal",65,65,0.05,0.06667,0.214388489208633,0.540525843339795,-0.335611510791367,-0.00947415666020535,2264,11613,100
"6033",0.55,"highUnequal",65,65,0.05,0.06667,-0.161702127659574,0.49642568581432,-0.711702127659574,-0.0535743141856797,1678,11613,100
"6389",0.55,"equal",70,70,0.05,0.10186,0.540568475452196,0.575093120560475,-0.00943152454780372,0.0250931205604747,3684,11950,100
"6740",0.55,"modUnequal",70,70,0.05,0.10186,0.172253258845438,0.532028704331362,-0.377746741154563,-0.017971295668638,2252,11950,100
"7091",0.55,"highUnequal",70,70,0.05,0.10186,-0.108478802992519,0.511341729358612,-0.658478802992519,-0.0386582706413883,1756,11950,100
"7448",0.55,"equal",76,76,0.05,0.11582,0.533723021582734,0.581116640581265,-0.0162769784172663,0.0311166405812652,3883,12967,100
"7799",0.55,"modUnequal",76,76,0.05,0.11582,0.15,0.540618493097864,-0.4,-0.00938150690213613,2336,12967,100
