VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,VE_symptOR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,totalNum_sims
0.1,equal,0.5,Highest Growth,0.012392669,0.021632456,1300.5,3463,7969.5,24160,100
0.1,equal,0.5,Peak,0.023403184,0.035939225,2648.5,6965,8397.5,25558,100
0.1,modUnequal,0.5,Highest Growth,-0.811391154,-0.150954257,674.5,3463,4945.5,24160,100
0.1,modUnequal,0.5,Peak,-0.705578608,-0.120338358,1446,6965,5414,25558,100
0.1,highUnequal,0.5,Highest Growth,-1.37454844,-0.170572334,507.5,3463,3790.5,24160,100
0.1,highUnequal,0.5,Peak,-1.293355377,-0.189683461,1058.5,6965,4232.5,25558,100
0.1,equal,0.5,Highest Growth,-0.022052154,-0.018799766,1176,3253,8475,25515,100
0.1,equal,0.5,Peak,-0.011784928,-0.007370619,2424,6630.5,8873,26748.5,100
0.1,modUnequal,0.5,Highest Growth,-0.794270833,-0.151623249,640,3253,5279,25515,100
0.1,modUnequal,0.5,Peak,-0.725122549,-0.143296051,1360,6630.5,5724,26748.5,100
0.1,highUnequal,0.5,Highest Growth,-1.454686934,-0.248826976,460.5,3253,4149.5,25515,100
0.1,highUnequal,0.5,Peak,-1.417951407,-0.294960126,953.5,6630.5,4596.5,26748.5,100
0.1,equal,0.5,Highest Growth,-0.018929403,-0.019737324,1289,3553.5,8538,25591.5,100
0.1,equal,0.5,Peak,-0.020937624,-0.015266826,2517,6954,8877,26796,100
0.1,modUnequal,0.5,Highest Growth,-0.794563662,-0.148462225,699,3553.5,5278,25591.5,100
0.1,modUnequal,0.5,Peak,-0.743971631,-0.143034845,1410,6954,5667,26796,100
0.1,highUnequal,0.5,Highest Growth,-1.424828263,-0.23441154,509.5,3553.5,4162.5,25591.5,100
0.1,highUnequal,0.5,Peak,-1.318181818,-0.237650124,1045,6954,4581,26796,100
0.1,equal,0.5,Highest Growth,0.001484574,0.000350426,1437,3873.5,8329,24955.5,100
0.1,equal,0.5,Peak,-0.010208127,-0.007546089,2522.5,6888,8693.5,26157,100
0.1,modUnequal,0.5,Highest Growth,-0.756403678,-0.110449055,779.5,3873.5,5074.5,24955.5,100
0.1,modUnequal,0.5,Peak,-0.718040874,-0.108236732,1419,6888,5433,26157,100
0.1,highUnequal,0.5,Highest Growth,-1.328070175,-0.198567028,579.5,3873.5,4101.5,24955.5,100
0.1,highUnequal,0.5,Peak,-1.279401993,-0.220446087,1053.5,6888,4482.5,26157,100
0.1,equal,0.5,Highest Growth,0.024567952,0.019899502,1205.5,3166,8263.5,24659,100
0.1,equal,0.5,Peak,0.017829457,0.017084853,2472.5,6543.5,8695.5,26064.5,100
0.1,modUnequal,0.5,Highest Growth,-0.698989899,-0.078107938,660,3166,5028,24659,100
0.1,modUnequal,0.5,Peak,-0.661880893,-0.085954354,1396.5,6543.5,5484.5,26064.5,100
0.1,highUnequal,0.5,Highest Growth,-1.296323274,-0.145967897,480.5,3166,3914.5,24659,100
0.1,highUnequal,0.5,Peak,-1.269235869,-0.191962601,1005.5,6543.5,4373.5,26064.5,100
0.1,equal,0.5,Highest Growth,-0.019001812,-0.011634728,1195.5,3296,8146.5,24637,100
0.1,equal,0.5,Peak,-0.000305188,0.007266939,2457.5,6637.5,8606.5,26038.5,100
0.1,modUnequal,0.5,Highest Growth,-0.80998703,-0.127678815,642.5,3296,4935.5,24637,100
0.1,modUnequal,0.5,Peak,-0.713785558,-0.095844858,1371,6637.5,5356,26038.5,100
0.1,highUnequal,0.5,Highest Growth,-1.405701294,-0.208584027,476.5,3296,3948.5,24637,100
0.1,highUnequal,0.5,Peak,-1.285185185,-0.204362557,1012.5,6637.5,4386.5,26038.5,100
0.1,equal,0.5,Highest Growth,0.019775959,0.028492252,1160.5,3064.5,8365.5,25347.5,100
0.1,equal,0.5,Peak,0.01601715,0.032243531,2604.5,6907,8761.5,26776,100
0.1,modUnequal,0.5,Highest Growth,-0.756934307,-0.104554215,616.5,3064.5,5122.5,25347.5,100
0.1,modUnequal,0.5,Peak,-0.712842966,-0.115827241,1427.5,6907,5621.5,26776,100
0.1,highUnequal,0.5,Highest Growth,-1.37,-0.177080185,450,3064.5,4009,25347.5,100
0.1,highUnequal,0.5,Peak,-1.26283075,-0.187190786,1064.5,6907,4486.5,26776,100
0.1,equal,0.5,Highest Growth,0.017344173,0.01452661,1230,3257,8171,24435,100
0.1,equal,0.5,Peak,0.00439339,0.01062731,2481,6666,8560,25860,100
0.1,modUnequal,0.5,Highest Growth,-0.702460025,-0.076330003,677.5,3257,4962.5,24435,100
0.1,modUnequal,0.5,Peak,-0.712481858,-0.104901687,1378,6666,5372,25860,100
0.1,highUnequal,0.5,Highest Growth,-1.354759432,-0.191945805,481.5,3257,3944.5,24435,100
0.1,highUnequal,0.5,Peak,-1.303272186,-0.228346295,1008.5,6666,4414.5,25860,100
0.1,equal,0.5,Highest Growth,-0.014801923,-0.018437273,1005.5,2759.5,8084.5,24157.5,100
0.1,equal,0.5,Peak,0.003608283,0.006307164,2406.5,6471.5,8609.5,25906.5,100
0.1,modUnequal,0.5,Highest Growth,-0.812911235,-0.139765305,537,2759.5,4888,24157.5,100
0.1,modUnequal,0.5,Peak,-0.722539802,-0.121661765,1329.5,6471.5,5437.5,25906.5,100
0.1,highUnequal,0.5,Highest Growth,-1.290079365,-0.136225071,420,2759.5,3810,24157.5,100
0.1,highUnequal,0.5,Peak,-1.326178191,-0.210060018,969,6471.5,4306,25906.5,100
0.1,equal,0.5,Highest Growth,0.00932691,0.002339055,1245.5,3328,8328.5,24791,100
0.1,equal,0.5,Peak,0.003966346,0.008294185,2496,6709.5,8688,26190.5,100
0.1,modUnequal,0.5,Highest Growth,-0.707729469,-0.083275955,690,3328,5054,24791,100
0.1,modUnequal,0.5,Peak,-0.719478639,-0.122867667,1381,6709.5,5514,26190.5,100
0.1,highUnequal,0.5,Highest Growth,-1.396756384,-0.192837655,483,3328,3932,24791,100
0.1,highUnequal,0.5,Peak,-1.325373134,-0.212665325,1005,6709.5,4365,26190.5,100
0.1,equal,0.5,Highest Growth,-0.007986111,-0.009923831,1152,3138,8296,24835,100
0.1,equal,0.5,Peak,-0.009186022,-0.013979164,2389.5,6517.5,8771.5,26176.5,100
0.1,modUnequal,0.5,Highest Growth,-0.777626303,-0.122281363,623.5,3138,5044.5,24835,100
0.1,modUnequal,0.5,Peak,-0.738386124,-0.128415655,1326,6517.5,5477,26176.5,100
0.1,highUnequal,0.5,Highest Growth,-1.347046187,-0.15358282,465.5,3138,3881.5,24835,100
0.1,highUnequal,0.5,Peak,-1.40994152,-0.236637891,940.5,6517.5,4293.5,26176.5,100
0.1,equal,0.5,Highest Growth,0.00868788,0.005996645,1398.5,3739.5,8415.5,25170.5,100
0.1,equal,0.5,Peak,0.009926277,0.01232996,2532,6761,8740,26291,100
0.1,modUnequal,0.5,Highest Growth,-0.719883041,-0.066021906,769.5,3739.5,5003.5,25170.5,100
0.1,modUnequal,0.5,Peak,-0.696081209,-0.086023772,1412,6761,5414,26291,100
0.1,highUnequal,0.5,Highest Growth,-1.368425842,-0.199448205,549.5,3739.5,4066.5,25170.5,100
0.1,highUnequal,0.5,Peak,-1.381039136,-0.258522521,988,6761,4451,26291,100
0.1,equal,0.5,Highest Growth,-0.010331384,-0.00346906,940.5,2568.5,7855.5,23745.5,100
0.1,equal,0.5,Peak,0.003613707,0.016508744,2675,7193.5,8530,25963.5,100
0.1,modUnequal,0.5,Highest Growth,-0.8707687,-0.168143669,483.5,2568.5,4774.5,23745.5,100
0.1,modUnequal,0.5,Peak,-0.692186808,-0.106695501,1506,7193.5,5472,25963.5,100
0.1,highUnequal,0.5,Highest Growth,-1.455341586,-0.191647337,363.5,2568.5,3668.5,23745.5,100
0.1,highUnequal,0.5,Peak,-1.302878579,-0.194375926,1088.5,7193.5,4299.5,25963.5,100
0.1,equal,0.5,Highest Growth,-0.000207361,0.004983291,1286,3473,8449,25494,100
0.1,equal,0.5,Peak,0.005218855,0.02017439,2574,6909.5,8795,26833.5,100
0.1,modUnequal,0.5,Highest Growth,-0.694582185,-0.07142292,726,3473,5177,25494,100
0.1,modUnequal,0.5,Peak,-0.664651268,-0.082575457,1472,6909.5,5617,26833.5,100
0.1,highUnequal,0.5,Highest Growth,-1.324143452,-0.195452156,520.5,3473,4185.5,25494,100
0.1,highUnequal,0.5,Peak,-1.238502012,-0.214139345,1077,6909.5,4660,26833.5,100
0.1,equal,0.5,Highest Growth,-0.020066485,0.003208865,1103,3044.5,7905,24330.5,100
0.1,equal,0.5,Peak,-0.01496326,0.008311209,2495,6848.5,8435,25965.5,100
0.1,modUnequal,0.5,Highest Growth,-0.774642464,-0.104971317,606,3044.5,4867,24330.5,100
0.1,modUnequal,0.5,Peak,-0.766910065,-0.140859846,1369.5,6848.5,5404.5,25965.5,100
0.1,highUnequal,0.5,Highest Growth,-1.350184775,-0.172908225,451,3044.5,3867,24330.5,100
0.1,highUnequal,0.5,Peak,-1.260750907,-0.196082516,1056.5,6848.5,4390.5,25965.5,100
0.1,equal,0.5,Highest Growth,-0.013331013,-0.01687062,1436.5,3936,8159.5,24384,100
0.1,equal,0.5,Peak,-0.0068781,-0.00294749,2554,6948.5,8538,25725.5,100
0.1,modUnequal,0.5,Highest Growth,-0.797283312,-0.13678785,773,3936,4965,24384,100
0.1,modUnequal,0.5,Peak,-0.746173892,-0.131262306,1407,6948.5,5372,25725.5,100
0.1,highUnequal,0.5,Highest Growth,-1.45125448,-0.232814043,558,3936,3916,24384,100
0.1,highUnequal,0.5,Peak,-1.378570257,-0.242983028,1016.5,6948.5,4301.5,25725.5,100
0.1,equal,0.5,Highest Growth,-0.014794007,-0.008141776,1068,2931,8100,24478,100
0.1,equal,0.5,Peak,-0.006281765,0.004895988,2459.5,6687,8608.5,26148,100
0.1,modUnequal,0.5,Highest Growth,-0.778694158,-0.11923166,582,2931,4954,24478,100
0.1,modUnequal,0.5,Peak,-0.728195763,-0.119210198,1369,6687,5456,26148,100
0.1,highUnequal,0.5,Highest Growth,-1.320454545,-0.136296786,440,2931,3808,24478,100
0.1,highUnequal,0.5,Peak,-1.267233836,-0.188714244,1028.5,6687,4378.5,26148,100
0.1,equal,0.5,Highest Growth,0.031287298,0.046055919,1173,3057,7883,24058,100
0.1,equal,0.5,Peak,0.017620694,0.028230294,2603,6890.5,8477,25740.5,100
0.1,modUnequal,0.5,Highest Growth,-0.649809886,-0.046873415,657.5,3057,4899.5,24058,100
0.1,modUnequal,0.5,Peak,-0.656647464,-0.083952626,1475.5,6890.5,5423.5,25740.5,100
0.1,highUnequal,0.5,Highest Growth,-1.284351554,-0.111776604,466.5,3057,3714.5,24058,100
0.1,highUnequal,0.5,Peak,-1.226697531,-0.14746494,1080,6890.5,4226,25740.5,100
0.1,equal,0.5,Highest Growth,0.001536694,0.013811559,1160.5,3128,8314.5,25289,100
0.1,equal,0.5,Peak,0.001008023,0.013933314,2430.5,6555,8740.5,26604,100
0.1,modUnequal,0.5,Highest Growth,-0.805096757,-0.131088305,611.5,3128,5097.5,25289,100
0.1,modUnequal,0.5,Peak,-0.793142193,-0.162796123,1290.5,6555,5566.5,26604,100
0.1,highUnequal,0.5,Highest Growth,-1.443071161,-0.216824698,445,3128,4018,25289,100
0.1,highUnequal,0.5,Peak,-1.350257467,-0.23096499,971,6555,4457,26604,100
0.1,equal,0.5,Highest Growth,0.009186871,0.005924019,1010.5,2700.5,8220.5,24571.5,100
0.1,equal,0.5,Peak,-0.007262278,-0.00403016,2552,6946,8764,26386,100
0.1,modUnequal,0.5,Highest Growth,-0.798427673,-0.136620467,530,2700.5,4999,24571.5,100
0.1,modUnequal,0.5,Peak,-0.738014385,-0.144881343,1413.5,6946,5610.5,26386,100
0.1,highUnequal,0.5,Highest Growth,-1.423010753,-0.200313804,387.5,2700.5,3879.5,24571.5,100
0.1,highUnequal,0.5,Peak,-1.339200516,-0.234705908,1034,6946,4457,26386,100
0.1,equal,0.5,Highest Growth,0.006365834,0.018283744,1241,3327,8434,25644,100
0.1,equal,0.5,Peak,0.004560844,0.020597717,2510.5,6744,8819.5,26941,100
0.1,modUnequal,0.5,Highest Growth,-0.734487841,-0.093255392,678.5,3327,5194.5,25644,100
0.1,modUnequal,0.5,Peak,-0.715522817,-0.110923552,1391.5,6744,5619.5,26941,100
0.1,highUnequal,0.5,Highest Growth,-1.300396825,-0.165704593,504,3327,4140,25644,100
0.1,highUnequal,0.5,Peak,-1.298533007,-0.218933422,1022.5,6744,4570.5,26941,100
0.1,equal,0.5,Highest Growth,-0.0100958,-0.011091295,1357,3705,8542,25598,100
0.1,equal,0.5,Peak,0.005656278,0.010048616,2454.5,6585.5,8847.5,26673.5,100
0.1,modUnequal,0.5,Highest Growth,-0.755495979,-0.124806207,746,3705,5282,25598,100
0.1,modUnequal,0.5,Peak,-0.697646773,-0.102665829,1374,6585.5,5580,26673.5,100
0.1,highUnequal,0.5,Highest Growth,-1.533497537,-0.271164658,507.5,3705,4106.5,25598,100
0.1,highUnequal,0.5,Peak,-1.3456948,-0.232424238,977.5,6585.5,4483.5,26673.5,100
0.1,equal,0.5,Highest Growth,-0.017090461,-0.019586467,1081.5,2975.5,7982.5,23882.5,100
0.1,equal,0.5,Peak,-0.007607248,-0.001782329,2502,6812.5,8489,25631.5,100
0.1,modUnequal,0.5,Highest Growth,-0.704908306,-0.094697069,618,2975.5,4934,23882.5,100
0.1,modUnequal,0.5,Peak,-0.708808596,-0.120871483,1411.5,6812.5,5421.5,25631.5,100
0.1,highUnequal,0.5,Highest Growth,-1.43372549,-0.196677533,425,2975.5,3741,23882.5,100
0.1,highUnequal,0.5,Peak,-1.336172657,-0.216406898,1015.5,6812.5,4265.5,25631.5,100
0.1,equal,0.5,Highest Growth,-0.019154229,-0.025968235,1072,2956,8380,24955,100
0.1,equal,0.5,Peak,-0.006091884,-0.017199449,2470.5,6715.5,8890.5,26348.5,100
0.1,modUnequal,0.5,Highest Growth,-0.756022409,-0.106553713,595,2956,5056,24955,100
0.1,modUnequal,0.5,Peak,-0.723277737,-0.128360324,1379,6715.5,5564,26348.5,100
0.1,highUnequal,0.5,Highest Growth,-1.339393939,-0.171193967,440,2956,3979,24955,100
0.1,highUnequal,0.5,Peak,-1.316336634,-0.231279253,1010,6715.5,4483,26348.5,100
0.1,equal,0.5,Highest Growth,-0.010326087,0.002590993,920,2512.5,7978,24278.5,100
0.1,equal,0.5,Peak,0.000854701,0.017747049,2437.5,6575,8591.5,26268,100
0.1,modUnequal,0.5,Highest Growth,-0.753504442,-0.09859995,506.5,2512.5,4887.5,24278.5,100
0.1,modUnequal,0.5,Peak,-0.705616606,-0.104152185,1365,6575,5476,26268,100
0.1,highUnequal,0.5,Highest Growth,-1.385129604,-0.154772944,366.5,2512.5,3735.5,24278.5,100
0.1,highUnequal,0.5,Peak,-1.352483727,-0.204632837,973,6575,4294,26268,100
0.1,equal,0.5,Highest Growth,-0.015361493,-0.017579283,1053.5,2893,8619.5,25796,100
0.1,equal,0.5,Peak,0.003581604,0.00359807,2457,6607.5,9073,27219.5,100
