Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,t,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,t_highChange,t_peak,VE_susc,Epi_simNum,Seed_num,totalNum_sims
2143,2746,9659,31234,75,0.09444,0.17852,75,86,0.55,1,627738822,100
4144,5551,9038,31764,86,0.09444,0.17852,75,86,0.55,1,627738822,100
1143,2746,6229,31234,75,0.09444,0.17852,75,86,0.55,1,627738822,100
2329,5551,6152,31764,86,0.09444,0.17852,75,86,0.55,1,627738822,100
913,2746,5068,31234,75,0.09444,0.17852,75,86,0.55,1,627738822,100
1749,5551,5172,31764,86,0.09444,0.17852,75,86,0.55,1,627738822,100
2103,2922,9220,30579,72,0.09958,0.18693,72,83,0.55,10,494543171,100
4188,5746,8655,31172,83,0.09958,0.18693,72,83,0.55,10,494543171,100
1211,2922,5844,30579,72,0.09958,0.18693,72,83,0.55,10,494543171,100
2435,5746,5744,31172,83,0.09958,0.18693,72,83,0.55,10,494543171,100
893,2922,4862,30579,72,0.09958,0.18693,72,83,0.55,10,494543171,100
1787,5746,5000,31172,83,0.09958,0.18693,72,83,0.55,10,494543171,100
1802,2304,8991,29071,66,0.07904,0.17747,66,79,0.55,100,409497404,100
4095,5465,8491,30260,79,0.07904,0.17747,66,79,0.55,100,409497404,100
1013,2304,5709,29071,66,0.07904,0.17747,66,79,0.55,100,409497404,100
2327,5465,5734,30260,79,0.07904,0.17747,66,79,0.55,100,409497404,100
683,2304,4566,29071,66,0.07904,0.17747,66,79,0.55,100,409497404,100
1675,5465,4736,30260,79,0.07904,0.17747,66,79,0.55,100,409497404,100
1827,2429,9374,30250,70,0.08433,0.17651,70,82,0.55,11,2112960,100
4047,5381,8758,31146,82,0.08433,0.17651,70,82,0.55,11,2112960,100
1023,2429,5950,30250,70,0.08433,0.17651,70,82,0.55,11,2112960,100
2305,5381,5965,31146,82,0.08433,0.17651,70,82,0.55,11,2112960,100
772,2429,4758,30250,70,0.08433,0.17651,70,82,0.55,11,2112960,100
1687,5381,4887,31146,82,0.08433,0.17651,70,82,0.55,11,2112960,100
1835,2624,10113,32410,80,0.08616,0.18252,80,93,0.55,12,348437993,100
4153,5718,9379,33032,93,0.08616,0.18252,80,93,0.55,12,348437993,100
1005,2624,6579,32410,80,0.08616,0.18252,80,93,0.55,12,348437993,100
2299,5718,6482,33032,93,0.08616,0.18252,80,93,0.55,12,348437993,100
701,2624,5414,32410,80,0.08616,0.18252,80,93,0.55,12,348437993,100
1691,5718,5538,33032,93,0.08616,0.18252,80,93,0.55,12,348437993,100
2387,3167,9418,30694,74,0.10884,0.18781,74,84,0.55,13,420820680,100
4315,5781,8794,31194,84,0.10884,0.18781,74,84,0.55,13,420820680,100
1248,3167,6012,30694,74,0.10884,0.18781,74,84,0.55,13,420820680,100
2332,5781,5938,31194,84,0.10884,0.18781,74,84,0.55,13,420820680,100
954,3167,4972,30694,74,0.10884,0.18781,74,84,0.55,13,420820680,100
1794,5781,5007,31194,84,0.10884,0.18781,74,84,0.55,13,420820680,100
1796,2474,9425,30163,70,0.08481,0.18469,70,83,0.55,14,726061388,100
4254,5702,8796,31116,83,0.08481,0.18469,70,83,0.55,14,726061388,100
1013,2474,6000,30163,70,0.08481,0.18469,70,83,0.55,14,726061388,100
2399,5702,5965,31116,83,0.08481,0.18469,70,83,0.55,14,726061388,100
745,2474,4854,30163,70,0.08481,0.18469,70,83,0.55,14,726061388,100
1762,5702,5023,31116,83,0.08481,0.18469,70,83,0.55,14,726061388,100
1963,2572,9107,29858,69,0.08915,0.18024,69,81,0.55,15,781331243,100
4159,5433,8559,30936,81,0.08915,0.18024,69,81,0.55,15,781331243,100
1074,2572,5817,29858,69,0.08915,0.18024,69,81,0.55,15,781331243,100
2335,5433,5786,30936,81,0.08915,0.18024,69,81,0.55,15,781331243,100
764,2572,4801,29858,69,0.08915,0.18024,69,81,0.55,15,781331243,100
1650,5433,4980,30936,81,0.08915,0.18024,69,81,0.55,15,781331243,100
1437,1943,8726,27683,60,0.06629,0.18332,60,76,0.55,16,81227118,100
4157,5680,8252,29519,76,0.06629,0.18332,60,76,0.55,16,81227118,100
805,1943,5447,27683,60,0.06629,0.18332,60,76,0.55,16,81227118,100
2354,5680,5521,29519,76,0.06629,0.18332,60,76,0.55,16,81227118,100
618,1943,4242,27683,60,0.06629,0.18332,60,76,0.55,16,81227118,100
1857,5680,4525,29519,76,0.06629,0.18332,60,76,0.55,16,81227118,100
2321,3116,9725,31860,79,0.10653,0.18511,79,89,0.55,17,658943916,100
4238,5682,9097,32351,89,0.10653,0.18511,79,89,0.55,17,658943916,100
1311,3116,6311,31860,79,0.10653,0.18511,79,89,0.55,17,658943916,100
2429,5682,6172,32351,89,0.10653,0.18511,79,89,0.55,17,658943916,100
916,3116,5182,31860,79,0.10653,0.18511,79,89,0.55,17,658943916,100
1744,5682,5195,32351,89,0.10653,0.18511,79,89,0.55,17,658943916,100
1983,2639,10084,32591,80,0.09123,0.18334,80,92,0.55,18,912084367,100
4210,5669,9275,33029,92,0.09123,0.18334,80,92,0.55,18,912084367,100
1144,2639,6526,32591,80,0.09123,0.18334,80,92,0.55,18,912084367,100
2394,5669,6405,33029,92,0.09123,0.18334,80,92,0.55,18,912084367,100
828,2639,5341,32591,80,0.09123,0.18334,80,92,0.55,18,912084367,100
1737,5669,5482,33029,92,0.09123,0.18334,80,92,0.55,18,912084367,100
2111,2823,9672,31650,77,0.09638,0.1912,77,89,0.55,19,197643976,100
4376,5895,8946,32123,89,0.09638,0.1912,77,89,0.55,19,197643976,100
1113,2823,6334,31650,77,0.09638,0.1912,77,89,0.55,19,197643976,100
2419,5895,6160,32123,89,0.09638,0.1912,77,89,0.55,19,197643976,100
870,2823,5180,31650,77,0.09638,0.1912,77,89,0.55,19,197643976,100
1841,5895,5302,32123,89,0.09638,0.1912,77,89,0.55,19,197643976,100
2087,2835,8649,28578,65,0.09579,0.18938,65,77,0.55,2,303826513,100
4349,5899,8098,29571,77,0.09579,0.18938,65,77,0.55,2,303826513,100
1212,2835,5405,28578,65,0.09579,0.18938,65,77,0.55,2,303826513,100
2492,5899,5380,29571,77,0.09579,0.18938,65,77,0.55,2,303826513,100
