VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,VE_symptOR_degUnderNeg_testSens,totalNum_sims
0.55,equal,0.5,Highest Growth,0.02287292,1071.5,1373,10730.5,32607,0.028315656,100
0.55,equal,0.5,Peak,0.003490991,2072,2775.5,11110,34539.5,0.019126789,100
0.55,modUnequal,0.5,Highest Growth,-0.350816565,571.5,1373,6800.5,32607,-0.051053735,100
0.55,modUnequal,0.5,Peak,-0.344475454,1164.5,2775.5,7316.5,34539.5,-0.054881049,100
0.55,highUnequal,0.5,Highest Growth,-0.552555677,456.5,1373,5524.5,32607,-0.059579431,100
0.55,highUnequal,0.5,Peak,-0.607937869,874.5,2775.5,6046.5,34539.5,-0.1056092,100
0.55,equal,0.5,Highest Growth,-0.013147884,1051.5,1461,10271.5,32040,0.004567089,100
0.55,equal,0.5,Peak,-0.007338427,2094,2873,10749,34045,0.016814737,100
0.55,modUnequal,0.5,Highest Growth,-0.354293972,605.5,1461,6449.5,32040,-0.035701683,100
0.55,modUnequal,0.5,Peak,-0.336584531,1217.5,2873,6961.5,34045,-0.032520918,100
0.55,highUnequal,0.5,Highest Growth,-0.640705487,446.5,1461,5308.5,32040,-0.092135775,100
0.55,highUnequal,0.5,Peak,-0.62181496,893.5,2873,5893.5,34045,-0.106622834,100
0.55,equal,0.5,Highest Growth,0.023806881,901,1152,9892,30223,0.031520465,100
0.55,equal,0.5,Peak,0.005148555,2047.5,2732.5,10538.5,32992.5,0.023715212,100
0.55,modUnequal,0.5,Highest Growth,-0.308144126,506.5,1152,6215.5,30223,-0.017747558,100
0.55,modUnequal,0.5,Peak,-0.332839135,1163.5,2732.5,6897.5,32992.5,-0.040987309,100
0.55,highUnequal,0.5,Highest Growth,-0.674450952,341.5,1152,4907.5,30223,-0.097752676,100
0.55,highUnequal,0.5,Peak,-0.637562189,837.5,2732.5,5573.5,32992.5,-0.101173254,100
0.55,equal,0.5,Highest Growth,0.006832695,913.5,1214.5,10287.5,31464.5,0.01531167,100
0.55,equal,0.5,Peak,0.006791039,2023.5,2690.5,10781.5,33836.5,0.02633407,100
0.55,modUnequal,0.5,Highest Growth,-0.341463017,511.5,1214.5,6461.5,31464.5,-0.037600784,100
0.55,modUnequal,0.5,Peak,-0.328163413,1152.5,2690.5,7117.5,33836.5,-0.041059485,100
0.55,highUnequal,0.5,Highest Growth,-0.598791019,386,1214.5,5144,31464.5,-0.064387421,100
0.55,highUnequal,0.5,Peak,-0.613228611,843.5,2690.5,5730.5,33836.5,-0.090200513,100
0.55,equal,0.5,Highest Growth,-0.026657584,917.5,1312,11030.5,33722,-0.01774552,100
0.55,equal,0.5,Peak,-0.008945341,2076.5,2859,11455.5,35891,0.010548743,100
0.55,modUnequal,0.5,Highest Growth,-0.420315091,502.5,1312,7081.5,33722,-0.098289216,100
0.55,modUnequal,0.5,Peak,-0.379056111,1149.5,2859,7631.5,35891,-0.078846372,100
0.55,highUnequal,0.5,Highest Growth,-0.797741322,350.5,1312,5764.5,33722,-0.189873511,100
0.55,highUnequal,0.5,Peak,-0.677143702,845.5,2859,6383.5,35891,-0.151414434,100
0.55,equal,0.5,Highest Growth,0.007743332,1193.5,1583.5,10611.5,32277.5,0.013813186,100
0.55,equal,0.5,Peak,0.003418308,2157.5,2890.5,10951.5,34084.5,0.019534005,100
0.55,modUnequal,0.5,Highest Growth,-0.395886752,624,1583.5,6636,32277.5,-0.071722979,100
0.55,modUnequal,0.5,Peak,-0.376329331,1166,2890.5,7104,34084.5,-0.06667857,100
0.55,highUnequal,0.5,Highest Growth,-0.656568833,477,1583.5,5449,32277.5,-0.110423847,100
0.55,highUnequal,0.5,Peak,-0.624136009,897,2890.5,5904,34084.5,-0.108174449,100
0.55,equal,0.5,Highest Growth,-0.009168523,898,1237,10323,31400,-0.002865923,100
0.55,equal,0.5,Peak,0.003204827,2127,2851,10923,33967,0.018963081,100
0.55,modUnequal,0.5,Highest Growth,-0.36408358,506.5,1237,6506.5,31400,-0.05606702,100
0.55,modUnequal,0.5,Peak,-0.342274559,1199.5,2851,7164.5,33967,-0.05133227,100
0.55,highUnequal,0.5,Highest Growth,-0.656935123,372.5,1237,5226.5,31400,-0.102744881,100
0.55,highUnequal,0.5,Peak,-0.628698449,881,2851,5904,33967,-0.11248438,100
0.55,equal,0.5,Highest Growth,0.013253524,981.5,1286,10088.5,31144,0.025573129,100
0.55,equal,0.5,Peak,0.014558788,2079.5,2716.5,10638.5,33652.5,0.037034425,100
0.55,modUnequal,0.5,Highest Growth,-0.348261949,537,1286,6354,31144,-0.038584295,100
0.55,modUnequal,0.5,Peak,-0.325588865,1167.5,2716.5,6953.5,33652.5,-0.030771756,100
0.55,highUnequal,0.5,Highest Growth,-0.672164049,382,1286,5183,31144,-0.110253301,100
0.55,highUnequal,0.5,Peak,-0.647575758,825,2716.5,5805,33652.5,-0.117989951,100
0.55,equal,0.5,Highest Growth,-0.000707492,718.5,971.5,9444.5,28654.5,0.004341526,100
0.55,equal,0.5,Peak,-0.005456659,2078.5,2840,10330.5,32359,0.013791061,100
0.55,modUnequal,0.5,Highest Growth,-0.354554865,402.5,971.5,5849.5,28654.5,-0.042722995,100
0.55,modUnequal,0.5,Peak,-0.35430473,1177,2840,6698,32359,-0.049449898,100
0.55,highUnequal,0.5,Highest Growth,-0.598004315,309,971.5,4551,28654.5,-0.049342264,100
0.55,highUnequal,0.5,Peak,-0.569565608,928.5,2840,5453.5,32359,-0.065485742,100
0.55,equal,0.5,Highest Growth,0.002491742,1160.5,1558,10885.5,33418,0.012689167,100
0.55,equal,0.5,Peak,0.003091081,2119,2841,11216,35192,0.022698587,100
0.55,modUnequal,0.5,Highest Growth,-0.342270531,655.5,1558,6966.5,33418,-0.045483212,100
0.55,modUnequal,0.5,Peak,-0.329744751,1214.5,2841,7386.5,35192,-0.040985275,100
0.55,highUnequal,0.5,Highest Growth,-0.683915575,458,1558,5640,33418,-0.124117288,100
0.55,highUnequal,0.5,Peak,-0.636009174,872,2841,6067,35192,-0.111674613,100
0.55,equal,0.5,Highest Growth,0.006396033,991.5,1319.5,11075.5,33910.5,0.015343855,100
0.55,equal,0.5,Peak,0.00114806,2105,2834.5,11380,35863.5,0.022718635,100
0.55,modUnequal,0.5,Highest Growth,-0.318939394,572,1319.5,7098,33910.5,-0.032853259,100
0.55,modUnequal,0.5,Peak,-0.339334447,1197,2834.5,7602,35863.5,-0.051946586,100
0.55,highUnequal,0.5,Highest Growth,-0.612399356,414,1319.5,5755,33910.5,-0.090903994,100
0.55,highUnequal,0.5,Peak,-0.637891,868.5,2834.5,6350.5,35863.5,-0.127912233,100
0.55,equal,0.5,Highest Growth,0.004239697,1055.5,1411.5,10727.5,33061.5,0.016091044,100
0.55,equal,0.5,Peak,0.000959781,2188,2947.5,11134,35070.5,0.022323137,100
0.55,modUnequal,0.5,Highest Growth,-0.395462713,556.5,1411.5,6890.5,33061.5,-0.078620374,100
0.55,modUnequal,0.5,Peak,-0.36231914,1209.5,2947.5,7369.5,35070.5,-0.062087302,100
0.55,highUnequal,0.5,Highest Growth,-0.631609195,435,1411.5,5615,33061.5,-0.101085308,100
0.55,highUnequal,0.5,Peak,-0.617354699,920.5,2947.5,6222.5,35070.5,-0.118136862,100
0.55,equal,0.5,Highest Growth,-0.002803067,1043.5,1417.5,9692.5,29995.5,0.011054786,100
0.55,equal,0.5,Peak,-0.00213459,2174.5,2949.5,10272.5,32520.5,0.021542328,100
0.55,modUnequal,0.5,Highest Growth,-0.32970297,606,1417.5,6011,29995.5,-0.018749768,100
0.55,modUnequal,0.5,Peak,-0.33905832,1246,2949.5,6626,32520.5,-0.032308122,100
0.55,highUnequal,0.5,Highest Growth,-0.619004525,442,1417.5,4840,29995.5,-0.067475811,100
0.55,highUnequal,0.5,Peak,-0.629216978,911,2949.5,5487,32520.5,-0.096270527,100
0.55,equal,0.5,Highest Growth,0.014804869,931,1215.5,10214,31409.5,0.025438985,100
0.55,equal,0.5,Peak,0.007809984,2070,2746,10783,33996,0.029232709,100
0.55,modUnequal,0.5,Highest Growth,-0.363587684,498,1215.5,6426,31409.5,-0.049350304,100
0.55,modUnequal,0.5,Peak,-0.361465721,1128,2746,7066,33996,-0.055984538,100
