,Label_testingDiff,Covid_probTrans,VE_susc,totalNum_sims,t_highChange.50.,Covid_cumSymptExpInfect_tested_unvac.50.,Covid_cumSymptExpInfect_tested_vac.50.,NonCovid_cumSymptInfect_tested_unvac.50.,NonCovid_cumSymptInfect_tested_vac.50.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_vac.50.,NonCovid_cumPropSymptInfect_unvac.50.,NonCovid_cumPropSymptInfect_vac.50.,VE_symptRR_observed.50.,VE_symptOR_observed.50.,VE_symptRR_degUnderNeg_highChange_trueVeff.50.,VE_symptOR_degUnderNeg_highChange_trueVeff.50.
1,equal,0.03,0.1,100,224.5,1043.5,2851,16778,50656.5,0.0723,0.065113333,0.90856,0.91464,0.08851507,0.093439015,-0.01148493,-0.006560985
2,highUnequal,0.03,0.1,100,224.5,442.5,2851,11530.5,50656.5,0.0723,0.065113333,0.90856,0.91464,-1.122472871,-0.438430818,-1.222472871,-0.538430818
3,modUnequal,0.03,0.1,100,224.5,584.5,2851,12808.5,50656.5,0.0723,0.065113333,0.90856,0.91464,-0.599740349,-0.2156648,-0.699740349,-0.3156648
4,equal,0.05,0.1,100,90,1824.5,4961,10888.5,33036.5,0.13982,0.126053333,0.70104,0.71056,0.097954835,0.109086091,-0.002045165,0.009086091
5,highUnequal,0.05,0.1,100,90,757,4961,5892.5,33036.5,0.13982,0.126053333,0.70104,0.71056,-1.200398908,-0.176146601,-1.300398908,-0.276146601
6,modUnequal,0.05,0.1,100,90,1027.5,4961,7115,33036.5,0.13982,0.126053333,0.70104,0.71056,-0.611165174,-0.04334512,-0.711165174,-0.14334512
7,equal,0.07,0.1,100,65,2229,6030.5,8704,26406,0.18166,0.162086667,0.58748,0.598373333,0.096523521,0.116303366,-0.003476479,0.016303366
8,highUnequal,0.07,0.1,100,65,903.5,6030.5,4448.5,26406,0.18166,0.162086667,0.58748,0.598373333,-1.233244967,-0.130998888,-1.333244967,-0.230998888
9,modUnequal,0.07,0.1,100,65,1230,6030.5,5505,26406,0.18166,0.162086667,0.58748,0.598373333,-0.626827682,-0.017152951,-0.726827682,-0.117152951
10,equal,0.09,0.1,100,54,2332,6333,7521.5,23004.5,0.19598,0.176253333,0.52368,0.537066667,0.10023106,0.117719055,0.00023106,0.017719055
11,highUnequal,0.09,0.1,100,54,944.5,6333,3780,23004.5,0.19598,0.176253333,0.52368,0.537066667,-1.258954342,-0.112795693,-1.358954342,-0.212795693
12,modUnequal,0.09,0.1,100,54,1300,6333,4707,23004.5,0.19598,0.176253333,0.52368,0.537066667,-0.646601989,-0.009150364,-0.746601989,-0.109150364
13,equal,0.11,0.1,100,47,2364.5,6392.5,6750,20588,0.20506,0.185066667,0.48066,0.493326667,0.099209043,0.11839306,-0.000790957,0.01839306
14,highUnequal,0.11,0.1,100,47,943.5,6392.5,3315.5,20588,0.20506,0.185066667,0.48066,0.493326667,-1.275922221,-0.090731457,-1.375922221,-0.190731457
15,modUnequal,0.11,0.1,100,47,1305.5,6392.5,4172,20588,0.20506,0.185066667,0.48066,0.493326667,-0.650322016,-0.000941525,-0.750322016,-0.100941525
