"","Covid_probTrans","t","Label_testingDiff","totalNum_sims","Covid_cumPropSymptInfect_vac.2.5.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.97.5.","Covid_cumPropSymptInfect_unvac.2.5.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","Covid_cumPropSymptExpInfect_tested_vac.2.5.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.97.5.","Covid_cumPropSymptExpInfect_tested_unvac.2.5.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.97.5.","NonCovid_cumPropSymptInfect_tested_vac.2.5.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.97.5.","NonCovid_cumPropSymptInfect_tested_unvac.2.5.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.97.5."
"1",0.05,0,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.4e-05,0,8e-05,0.000221,0.150886333333333,0.152033333333334,0.153222333333333,0.148314,0.15188,0.15524,0,0,2.66666666666667e-05,0,0,4e-05,0.0148773333333333,0.0156666666666667,0.0165606666666667,0.01456,0.01568,0.017341
"2",0.07,0,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8.69999999999999e-05,0,0.00012,2e-04,0.150958,0.151986666666667,0.15315,0.14851,0.15194,0.155065,0,0,2.66666666666667e-05,0,0,8e-05,0.014791,0.0157733333333333,0.0165003333333333,0.014371,0.01582,0.017103
"3",0.09,0,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8e-05,1.9e-05,0.00012,2e-04,0.150192333333333,0.15202,0.153009666666667,0.148912,0.15184,0.157364,0,0,2.66666666666667e-05,0,0,4e-05,0.0147326666666667,0.0157533333333333,0.0163873333333333,0.014478,0.01576,0.017221
"4",0.11,0,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.33333333333333e-05,0,0.00012,0.00024,0.150784333333333,0.15206,0.152927666666667,0.149175,0.1518,0.155567,0,0,2.66666666666667e-05,0,0,8e-05,0.014838,0.0156666666666667,0.016715,0.014499,0.0156,0.01724
"5",0.05,1,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.4e-05,0,8e-05,0.000221,0.151024666666667,0.1521,0.153282666666667,0.148314,0.15194,0.155301,0,1.33333333333333e-05,3.36666666666666e-05,0,0,8e-05,0.0278793333333333,0.0290266666666667,0.0299543333333333,0.027419,0.02888,0.030922
"6",0.07,1,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8.69999999999999e-05,0,0.00012,2e-04,0.151051333333333,0.15206,0.153262333333333,0.14855,0.152,0.155164,0,1.33333333333333e-05,4e-05,0,0,8e-05,0.0280316666666667,0.0289866666666667,0.0301043333333333,0.02728,0.02894,0.030861
"7",0.09,1,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8e-05,1.9e-05,0.00012,2e-04,0.150273,0.152086666666666,0.153074333333333,0.148931,0.1519,0.157423,0,1.33333333333333e-05,4e-05,0,0,8e-05,0.0276933333333333,0.02886,0.0300143333333333,0.027158,0.02896,0.030886
"8",0.11,1,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.33333333333333e-05,0,0.00012,0.00024,0.150863666666667,0.152133333333334,0.152995,0.149276,0.15188,0.155664,0,1.33333333333333e-05,4e-05,0,0,0.00012,0.0279516666666667,0.0288466666666667,0.0299963333333333,0.027177,0.02896,0.030764
"9",0.05,2,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.4e-05,0,8e-05,0.000221,0.15129,0.152453333333333,0.153593666666667,0.148611,0.15232,0.155701,0,1.33333333333333e-05,4e-05,0,0,0.00012,0.0388113333333333,0.0398866666666667,0.0410973333333333,0.038068,0.03984,0.041922
"10",0.07,2,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8.69999999999999e-05,0,0.00012,2e-04,0.151379666666667,0.15244,0.153574,0.148925,0.15238,0.155465,0,1.33333333333333e-05,4e-05,0,4e-05,0.000101,0.038946,0.04006,0.041237,0.03812,0.04016,0.042488
"11",0.09,2,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8e-05,1.9e-05,0.00012,2e-04,0.150664666666667,0.152446666666667,0.153434333333333,0.149272,0.15222,0.157703,0,1.33333333333333e-05,5.33333333333333e-05,0,4e-05,0.00012,0.038878,0.0399933333333334,0.04115,0.037796,0.04004,0.042402
"12",0.11,2,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.33333333333333e-05,0,0.00012,0.00024,0.151190666666667,0.152486666666667,0.153353666666667,0.149636,0.1522,0.156163,0,1.33333333333333e-05,4.69999999999999e-05,0,4e-05,0.000141,0.038946,0.03996,0.0413886666666667,0.037878,0.03998,0.042429
"13",0.05,3,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.4e-05,0,8e-05,0.000221,0.152433,0.153586666666667,0.154740333333333,0.149758,0.15346,0.156966,0,1.33333333333333e-05,4.69999999999999e-05,0,4e-05,0.00012,0.048113,0.0492466666666667,0.0507836666666667,0.047179,0.04914,0.051461
"14",0.07,3,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8.69999999999999e-05,0,0.00012,2e-04,0.152504666666667,0.1536,0.154675,0.15003,0.1536,0.156604,0,1.33333333333333e-05,5.33333333333333e-05,0,4e-05,0.00012,0.048299,0.0493333333333334,0.050668,0.047238,0.0495,0.051644
"15",0.09,3,"equal",100,1.33333333333333e-05,5.33333333333333e-05,8e-05,1.9e-05,0.00012,2e-04,0.151892666666667,0.1536,0.154669333333333,0.150116,0.15334,0.15888,0,2.66666666666667e-05,5.33333333333333e-05,0,4e-05,0.00012,0.04801,0.0492666666666667,0.0504876666666667,0.047019,0.04944,0.052362
"16",0.11,3,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.33333333333333e-05,0,0.00012,0.00024,0.152356,0.153593333333333,0.154616666666667,0.150497,0.15342,0.157342,0,1.33333333333333e-05,5.33333333333333e-05,0,4e-05,0.00016,0.048186,0.0493266666666667,0.050821,0.046969,0.04924,0.051566
"17",0.05,4,"equal",100,1.33333333333333e-05,5.33333333333333e-05,0.000100333333333333,0,8e-05,0.000221,0.155391666666667,0.156473333333334,0.157614666666667,0.152609,0.15632,0.160061,0,1.33333333333333e-05,5.33333333333333e-05,0,4e-05,0.000141,0.0561326666666667,0.0573066666666667,0.0588273333333333,0.054859,0.0574,0.059509
"18",0.07,4,"equal",100,1.33333333333333e-05,5.33333333333333e-05,9.33333333333333e-05,0,0.00012,0.000221,0.155326333333333,0.15636,0.157613333333333,0.152975,0.1564,0.159465,0,2.66666666666667e-05,5.33333333333333e-05,0,4e-05,0.000141,0.0562233333333333,0.0573466666666666,0.0587766666666667,0.054897,0.05744,0.060124
"19",0.09,4,"equal",100,2.66666666666667e-05,5.33333333333333e-05,9.33333333333333e-05,1.9e-05,0.00012,2e-04,0.154783333333333,0.156433333333333,0.157477,0.152752,0.1561,0.161724,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.00012,0.0560303333333333,0.05726,0.0587246666666667,0.054834,0.05754,0.060545
"20",0.11,4,"equal",100,1.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,0.00012,0.00024,0.155384666666667,0.156533333333333,0.157511333333333,0.15299,0.15626,0.159865,0,1.33333333333333e-05,6.03333333333332e-05,0,4e-05,0.00016,0.0561273333333333,0.0574666666666667,0.0586673333333333,0.054215,0.05732,0.059863
"21",0.05,5,"equal",100,1.96666666666667e-05,5.33333333333333e-05,0.000100333333333333,0,0.00012,0.00024,0.160826666666667,0.16212,0.163453333333333,0.158832,0.16182,0.165768,0,2.66666666666667e-05,5.33333333333333e-05,0,4e-05,0.00016,0.0632596666666667,0.0645066666666667,0.066121,0.061998,0.0646,0.066905
"22",0.07,5,"equal",100,1.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,0.00012,0.00028,0.160886333333333,0.162166666666667,0.163261,0.158335,0.16226,0.165383,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.00016,0.0632063333333333,0.0643866666666667,0.0660383333333333,0.062339,0.06458,0.06777
"23",0.09,5,"equal",100,2.66666666666667e-05,5.33333333333333e-05,0.000113666666666667,1.9e-05,0.00012,0.00024,0.160538333333333,0.16212,0.163167666666667,0.158291,0.16192,0.167216,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.000141,0.0629896666666667,0.06446,0.0659803333333333,0.061958,0.06448,0.068056
"24",0.11,5,"equal",100,1.96666666666667e-05,6.66666666666667e-05,0.000140333333333333,0,0.00016,0.00032,0.160921666666667,0.162253333333333,0.163403333333333,0.15875,0.16198,0.1664,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.000181,0.0629923333333333,0.0645133333333333,0.0657963333333333,0.061409,0.06442,0.067362
"25",0.05,6,"equal",100,1.96666666666667e-05,5.33333333333333e-05,0.000106666666666667,0,0.00012,0.00024,0.17032,0.171593333333333,0.172927,0.167958,0.17118,0.174901,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.00016,0.0698196666666667,0.0711666666666667,0.0726866666666667,0.068655,0.07114,0.073922
"26",0.07,6,"equal",100,1.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,0.00016,0.000301,0.170132666666667,0.171533333333334,0.172961333333333,0.168057,0.17132,0.174781,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.00016,0.069944,0.07108,0.0725766666666667,0.068699,0.07118,0.0743
"27",0.09,6,"equal",100,2.66666666666667e-05,6.66666666666667e-05,0.000133333333333333,1.9e-05,0.00012,0.000261,0.169774333333333,0.171446666666667,0.172743,0.167561,0.17124,0.177108,1.33333333333333e-05,4e-05,8e-05,0,8e-05,0.00016,0.0694893333333333,0.0712133333333334,0.0726133333333333,0.068657,0.07126,0.074793
"28",0.11,6,"equal",100,2.66666666666667e-05,8e-05,0.000146666666666667,4e-05,0.00016,0.000381,0.170058666666667,0.171533333333333,0.173083333333333,0.168175,0.1716,0.176079,0,2.66666666666667e-05,8e-05,0,4e-05,2e-04,0.0697866666666667,0.0712666666666667,0.0728476666666667,0.06807,0.07116,0.074065
"29",0.05,7,"equal",100,1.96666666666667e-05,6.66666666666667e-05,0.000113666666666667,0,0.00012,0.000261,0.183350333333333,0.18488,0.186108666666667,0.180472,0.18454,0.18836,0,2.66666666666667e-05,6.66666666666667e-05,0,4e-05,0.00016,0.0765053333333333,0.0777266666666666,0.0793536666666667,0.074937,0.07756,0.080364
"30",0.07,7,"equal",100,1.96666666666667e-05,6.66666666666667e-05,0.00012,1.9e-05,0.00016,0.00032,0.183117333333333,0.184733333333333,0.186674,0.181129,0.1845,0.18792,0,2.66666666666667e-05,6.66666666666667e-05,0,8e-05,0.000181,0.0763263333333333,0.0778,0.079392,0.075068,0.07782,0.081012
"31",0.09,7,"equal",100,2.66666666666667e-05,7.33333333333333e-05,0.000140333333333333,4e-05,0.00016,0.000301,0.182899666666667,0.18468,0.186054666666667,0.179889,0.18456,0.190486,1.33333333333333e-05,4e-05,8e-05,0,8e-05,0.000181,0.0761986666666667,0.0778,0.0792496666666667,0.075758,0.07802,0.081546
"32",0.11,7,"equal",100,3.3e-05,8e-05,0.000173333333333333,4e-05,2e-04,4e-04,0.183039,0.18488,0.186249,0.181268,0.18476,0.189275,0,4e-05,8.69999999999999e-05,0,8e-05,0.000221,0.076398,0.0778266666666667,0.079557,0.074457,0.07772,0.081159
"33",0.05,8,"equal",100,2.66666666666667e-05,6.66666666666667e-05,0.00012,0,0.00012,0.00028,0.199371,0.201213333333333,0.202743666666667,0.19668,0.20076,0.204983,6.33333333333332e-06,4e-05,6.66666666666667e-05,0,8e-05,0.000181,0.083379,0.08464,0.0862026666666667,0.081958,0.0844,0.08741
"34",0.07,8,"equal",100,2.66666666666667e-05,8e-05,0.000133333333333333,4e-05,0.00016,0.00036,0.199617666666667,0.201106666666667,0.202945666666667,0.196694,0.20058,0.20461,0,4e-05,8e-05,0,8e-05,2e-04,0.0831713333333333,0.0847133333333333,0.0860406666666667,0.082055,0.0847,0.088279
"35",0.09,8,"equal",100,3.3e-05,9.33333333333333e-05,0.000167,4e-05,0.00016,0.000341,0.198585333333333,0.200906666666667,0.202616666666667,0.196998,0.20118,0.20674,1.33333333333333e-05,4e-05,9.33333333333333e-05,0,8e-05,0.000221,0.08302,0.0847266666666667,0.0862083333333333,0.082272,0.08518,0.088227
"36",0.11,8,"equal",100,4.63333333333333e-05,0.000106666666666667,0.000193666666666667,5.9e-05,2e-04,0.00044,0.199224333333333,0.201246666666667,0.202708666666667,0.197335,0.20094,0.204741,1.33333333333333e-05,4e-05,9.33333333333333e-05,0,8e-05,0.00024,0.083144,0.0847866666666667,0.0863603333333333,0.081649,0.08456,0.087776
"37",0.05,9,"equal",100,2.66666666666667e-05,6.66666666666667e-05,0.000146666666666667,0,0.00016,0.00032,0.217579666666667,0.219073333333334,0.220977333333333,0.214076,0.21866,0.223225,1.33333333333333e-05,4e-05,8e-05,0,8e-05,2e-04,0.0906106666666667,0.09194,0.0933746666666667,0.088779,0.09168,0.094831
"38",0.07,9,"equal",100,2.66666666666667e-05,8e-05,0.00016,4e-05,2e-04,0.00036,0.217379,0.219066666666667,0.220588,0.215251,0.21898,0.223386,6.33333333333332e-06,4e-05,8.69999999999999e-05,0,8e-05,2e-04,0.0903396666666667,0.09202,0.093402,0.088756,0.09212,0.095504
"39",0.09,9,"equal",100,5.33333333333333e-05,1e-04,0.000173333333333333,4e-05,2e-04,4e-04,0.216919333333333,0.21892,0.220631333333333,0.214718,0.21904,0.223583,1.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,8e-05,0.000261,0.0903223333333333,0.0919133333333333,0.0934383333333333,0.089316,0.09228,0.095296
"40",0.11,9,"equal",100,5.96666666666667e-05,0.00012,0.000213333333333333,8e-05,0.00028,0.000541,0.216678666666667,0.219173333333333,0.220680666666667,0.214499,0.219,0.223181,1.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,8e-05,0.00028,0.0902793333333333,0.0920333333333334,0.0938976666666667,0.088476,0.09196,0.095286
"41",0.05,10,"equal",100,2.66666666666667e-05,6.66666666666667e-05,0.000146666666666667,4e-05,0.00016,0.00032,0.235213666666667,0.23698,0.239124,0.232028,0.23648,0.241842,1.33333333333333e-05,4e-05,8e-05,0,8e-05,2e-04,0.098165,0.09956,0.101268,0.096293,0.09924,0.102522
"42",0.07,10,"equal",100,3.3e-05,9.33333333333333e-05,0.000173333333333333,5.9e-05,2e-04,0.000461,0.235455,0.23686,0.238676333333333,0.232897,0.23674,0.240869,1.33333333333333e-05,4e-05,9.33333333333333e-05,0,8e-05,0.000221,0.0980526666666667,0.09958,0.101253333333333,0.096112,0.09974,0.103023
"43",0.09,10,"equal",100,5.33333333333333e-05,0.000106666666666667,0.000220333333333333,8e-05,2e-04,0.000421,0.234793333333333,0.2367,0.238594666666667,0.23312,0.23716,0.241421,1.96666666666667e-05,5.33333333333333e-05,0.00012,0,0.00012,0.000301,0.0979083333333333,0.0994933333333333,0.101388666666667,0.096857,0.09988,0.103362
