"","VE_infect","Label_testingDiff","t","Covid_cumPropSymptInfect_vac.0.","Covid_cumPropSymptInfect_vac.25.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.75.","Covid_cumPropSymptInfect_vac.100.","Covid_cumPropSymptInfect_unvac.0.","Covid_cumPropSymptInfect_unvac.25.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.75.","Covid_cumPropSymptInfect_unvac.100.","NonCovid_cumPropSymptInfect_vac.0.","NonCovid_cumPropSymptInfect_vac.25.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.75.","NonCovid_cumPropSymptInfect_vac.100.","NonCovid_cumPropSymptInfect_unvac.0.","NonCovid_cumPropSymptInfect_unvac.25.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.75.","NonCovid_cumPropSymptInfect_unvac.100.","Covid_cumPropSymptExpInfect_tested_vac.0.","Covid_cumPropSymptExpInfect_tested_vac.25.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.75.","Covid_cumPropSymptExpInfect_tested_vac.100.","Covid_cumPropSymptExpInfect_tested_unvac.0.","Covid_cumPropSymptExpInfect_tested_unvac.25.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.75.","Covid_cumPropSymptExpInfect_tested_unvac.100.","NonCovid_cumPropSymptInfect_tested_vac.0.","NonCovid_cumPropSymptInfect_tested_vac.25.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.75.","NonCovid_cumPropSymptInfect_tested_vac.100.","NonCovid_cumPropSymptInfect_tested_unvac.0.","NonCovid_cumPropSymptInfect_tested_unvac.25.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.75.","NonCovid_cumPropSymptInfect_tested_unvac.100.","CumProp_falseNeg_vac.0.","CumProp_falseNeg_vac.25.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.75.","CumProp_falseNeg_vac.100.","CumProp_falseNeg_unvac.0.","CumProp_falseNeg_unvac.25.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.75.","CumProp_falseNeg_unvac.100."
"1",0.1,"equal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150586666666667,0.151646666666667,0.15198,0.15224,0.15316,0.14848,0.15121,0.152,0.15304,0.1562,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,4e-05,0.00012,0.01484,0.0154533333333333,0.0157133333333333,0.01604,0.0167466666666667,0.0136,0.01508,0.0158,0.01624,0.0188,0,0,0,0,0,0,0,0,0,0
"2",0.3,"equal",0,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.149933333333333,0.15135,0.151886666666667,0.15231,0.154066666666667,0.14568,0.15104,0.1523,0.15392,0.15812,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,8e-05,0.0147333333333333,0.01536,0.0157533333333333,0.0160133333333333,0.0166,0.01396,0.01524,0.01576,0.01625,0.01748,0,0,0,0,0,0,0,0,0,0
"3",0.5,"equal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00024,0.150586666666667,0.151476666666667,0.15186,0.152266666666667,0.153426666666667,0.14768,0.1512,0.15238,0.1535,0.15616,0,0,0,1.33333333333333e-05,4e-05,0,0,0,4e-05,8e-05,0.01452,0.0153466666666667,0.0157,0.01596,0.0168,0.01376,0.01524,0.01572,0.01625,0.018,0,0,0,0,0,0,0,0,0,0
"4",0.7,"equal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00024,0.1502,0.15145,0.151946666666667,0.152413333333333,0.15336,0.14788,0.15073,0.15212,0.15355,0.15732,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,4e-05,0.00012,0.0143333333333333,0.0154266666666667,0.0157533333333333,0.0160166666666667,0.0172,0.01292,0.01523,0.01572,0.01613,0.01732,0,0,0,0,0,0,0,0,0,0
"5",0.9,"equal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00032,0.150253333333333,0.151576666666667,0.152073333333334,0.15239,0.1536,0.14716,0.15082,0.15174,0.15326,0.1572,0,0,0,0,4e-05,0,0,0,4e-05,8e-05,0.01464,0.0155333333333333,0.0157866666666667,0.01603,0.0167733333333333,0.0142,0.01519,0.0157,0.01616,0.01768,0,0,0,0,0,0,0,0,0,0
"6",0.1,"highUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150586666666667,0.151646666666667,0.15198,0.15224,0.15316,0.14848,0.15121,0.152,0.15304,0.1562,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,4e-05,0.01484,0.0154533333333333,0.0157133333333333,0.01604,0.0167466666666667,0.00428,0.00484,0.0052,0.00553,0.0064,0,0,0,0,0,0,0,0,0,0
"7",0.3,"highUnequal",0,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.149933333333333,0.15135,0.151886666666667,0.15231,0.154066666666667,0.14568,0.15104,0.1523,0.15392,0.15812,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,4e-05,0.0147333333333333,0.01536,0.0157533333333333,0.0160133333333333,0.0166,0.00412,0.00484,0.00516,0.00545,0.00636,0,0,0,0,0,0,0,0,0,0
"8",0.5,"highUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00024,0.150586666666667,0.151476666666667,0.15186,0.152266666666667,0.153426666666667,0.14768,0.1512,0.15238,0.1535,0.15616,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,4e-05,0.01452,0.0153466666666667,0.0157,0.01596,0.0168,0.00412,0.00492,0.0052,0.00552,0.00628,0,0,0,0,0,0,0,0,0,0
"9",0.7,"highUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00024,0.1502,0.15145,0.151946666666667,0.152413333333333,0.15336,0.14788,0.15073,0.15212,0.15355,0.15732,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,4e-05,0.0143333333333333,0.0154266666666667,0.0157533333333333,0.0160166666666667,0.0172,0.00408,0.00484,0.00516,0.00545,0.00612,0,0,0,0,0,0,0,0,0,0
"10",0.9,"highUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00032,0.150253333333333,0.151576666666667,0.152073333333334,0.15239,0.1536,0.14716,0.15082,0.15174,0.15326,0.1572,0,0,0,0,4e-05,0,0,0,0,8e-05,0.01464,0.0155333333333333,0.0157866666666667,0.01603,0.0167733333333333,0.00376,0.00484,0.00506,0.00544,0.00616,0,0,0,0,0,0,0,0,0,0
"11",0.1,"modUnequal",0,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150586666666667,0.151646666666667,0.15198,0.15224,0.15316,0.14848,0.15121,0.152,0.15304,0.1562,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,4e-05,0.01484,0.0154533333333333,0.0157133333333333,0.01604,0.0167466666666667,0.0066,0.00751,0.00788,0.00832,0.00932,0,0,0,0,0,0,0,0,0,0
"12",0.3,"modUnequal",0,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.149933333333333,0.15135,0.151886666666667,0.15231,0.154066666666667,0.14568,0.15104,0.1523,0.15392,0.15812,0,0,0,1.33333333333333e-05,2.66666666666667e-05,0,0,0,0,8e-05,0.0147333333333333,0.01536,0.0157533333333333,0.0160133333333333,0.0166,0.00588,0.00751,0.00782,0.00812,0.00944,0,0,0,0,0,0,0,0,0,0
