"","Label_testingDiff","VE_susc","totalNum_sims","t_highChange.50.","Covid_cumSymptExpInfect_tested_unvac.50.","Covid_cumSymptExpInfect_tested_vac.50.","NonCovid_cumSymptInfect_tested_unvac.50.","NonCovid_cumSymptInfect_tested_vac.50.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_vac.50.","VE_symptRR_observed.50.","VE_symptOR_observed.50.","VE_symptRR_degUnderNeg_highChange_trueVeff.50.","VE_symptOR_degUnderNeg_highChange_trueVeff.50."
"1","equal",0.1,100,50,2365.5,6370,7074,21648.5,0.20318,0.18252,0.4991,0.51246,0.0968285544843619,0.114163467210599,-0.00317144551563817,0.0141634672105986
"2","highUnequal",0.1,100,50,943.5,6370,3498,21648.5,0.20318,0.18252,0.4991,0.51246,-1.26548825604136,-0.0967631945655038,-1.36548825604137,-0.196763194565504
"3","modUnequal",0.1,100,50,1282.5,6370,4403.5,21648.5,0.20318,0.18252,0.4991,0.51246,-0.655759193757932,-0.00655834445057468,-0.755759193757932,-0.106558344450574
"4","equal",0.3,100,57.5,2278,4721.5,7881.5,25013.5,0.1878,0.130886666666666,0.54646,0.582233333333333,0.298440715368194,0.333863835196424,-0.00155928463180538,0.0338638351964246
"5","highUnequal",0.3,100,57.5,906,4721.5,3977.5,25013.5,0.1878,0.130886666666666,0.54646,0.582233333333333,-0.747888241905152,0.168012424244347,-1.04788824190515,-0.131987575755653
"6","modUnequal",0.3,100,57.5,1252.5,4721.5,4948,25013.5,0.1878,0.130886666666666,0.54646,0.582233333333333,-0.263584626810619,0.245363749796106,-0.563584626810619,-0.0546362502038944
"7","equal",0.5,100,68,2052,3059,9007.5,29181.5,0.1617,0.08058,0.60706,0.667746666666667,0.498019291339897,0.533657767972889,-0.00198070866010341,0.033657767972889
"8","highUnequal",0.5,100,68,833,3059,4619.5,29181.5,0.1617,0.08058,0.60706,0.667746666666667,-0.223937410724885,0.416120407652587,-0.723937410724885,-0.0838795923474134
"9","modUnequal",0.5,100,68,1140,3059,5732,29181.5,0.1617,0.08058,0.60706,0.667746666666667,0.0968862931535128,0.468161850968799,-0.403113706846487,-0.031838149031201
"10","equal",0.7,100,92,1697.5,1545,11113.5,36050,0.12738,0.0381133333333333,0.71692,0.79026,0.698764648162945,0.721990805124634,-0.00123535183705558,0.0219908051246335
"11","highUnequal",0.7,100,92,711,1545,6003,36050,0.12738,0.0381133333333333,0.71692,0.79026,0.275486975345313,0.63825708713957,-0.424513024654687,-0.0617429128604301
"12","modUnequal",0.7,100,92,955.5,1545,7310.5,36050,0.12738,0.0381133333333333,0.71692,0.79026,0.465131320019279,0.674043507945733,-0.234868679980721,-0.0259564920542673
"13","equal",0.9,97,185,934,265,15936,50334,0.0654,0.00589333333333333,0.89972,0.959866666666667,0.904100529100529,0.908357525982365,0.00410052910052905,0.00835752598236539
"14","highUnequal",0.9,97,185,397,265,10222,50334,0.0654,0.00589333333333333,0.89972,0.959866666666667,0.779132791327913,0.863769137926113,-0.120867208672087,-0.0362308620738875
"15","modUnequal",0.9,97,185,539,265,11657,50334,0.0654,0.00589333333333333,0.89972,0.959866666666667,0.833597464342314,0.882493583082252,-0.0664025356576862,-0.0175064169177485
