"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,2,8,10,8e-05,0.000106666666666667,1e-04,0,0,2,7,9,8e-05,9.33333333333333e-05,9e-05,3814,11386,15200,0.15256,0.151813333333333,0.152,1,1,1,0,21185,63607,2,7,9,8e-05,9.33333333333333e-05,9e-05,3813,11385,3813,11386,15199,0.15252,0.151813333333333,0.15199,0,0,0,0,0,0,368,1205,1573,0.01472,0.0160666666666667,0.01573,368,1205,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.172097312489022,-0.172200263504611,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"2",2,2,11,13,8e-05,0.000146666666666667,0.00013,0,4,2,6,8,8e-05,8e-05,8e-05,3814,11386,15200,0.15256,0.151813333333333,0.152,1,2,1,0,21184,63603,2,7,9,8e-05,9.33333333333333e-05,9e-05,3814,11385,3814,11387,15201,0.15256,0.151826666666667,0.15201,0,2,2,0,2.66666666666667e-05,2e-05,732,2163,2895,0.02928,0.02884,0.02895,732,2165,0,1,0,0.00046189376443418,0,0,0,0,0,1,0,0.00046189376443418,-0.166666666666667,-0.17230174760692,-0.172507685551164,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"3",3,4,11,15,0.00016,0.000146666666666667,0.00015,2,4,2,8,10,8e-05,0.000106666666666667,1e-04,3814,11386,15200,0.15256,0.151813333333333,0.152,1,2,1,0,21172,63576,2,9,11,8e-05,0.00012,0.00011,3824,11412,3824,11414,15238,0.15296,0.152186666666667,0.15238,0,2,2,0,2.66666666666667e-05,2e-05,986,2985,3971,0.03944,0.0398,0.03971,986,2987,0,1,0,0.00033478406427854,0,0,0,0,0,1,0,0.00033478406427854,-0.5,-0.507622218328369,-0.50788643533123,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"4",4,5,15,20,2e-04,2e-04,2e-04,3,8,2,8,10,8e-05,0.000106666666666667,1e-04,3812,11388,15200,0.15248,0.15184,0.152,1,2,1,0,21146,63490,2,9,11,8e-05,0.00012,0.00011,3849,11494,3849,11496,15345,0.15396,0.15328,0.15345,0,3,3,0,4e-05,3e-05,1261,3656,4917,0.05044,0.0487466666666667,0.04917,1261,3659,0,1,0,0.000273298715496037,0,0,0,0,0,1,0,0.000273298715496037,-0.5,-0.506654488517745,-0.506916652166348,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"5",5,6,19,25,0.00024,0.000253333333333333,0.00025,4,12,2,8,10,8e-05,0.000106666666666667,1e-04,3804,11396,15200,0.15216,0.151946666666667,0.152,1,3,1,0,21082,63273,2,9,11,8e-05,0.00012,0.00011,3912,11707,3912,11710,15622,0.15648,0.156133333333333,0.15622,0,5,5,0,6.66666666666667e-05,5e-05,1438,4241,5679,0.05752,0.0565466666666667,0.05679,1438,4246,0,2,0,0.000471031559114461,0,0,0,0,0,2,0,0.000471031559114461,-0.5,-0.50333048676345,-0.503715725634236,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"6",6,9,22,31,0.00036,0.000293333333333333,0.00031,7,15,2,10,12,8e-05,0.000133333333333333,0.00012,3816,11384,15200,0.15264,0.151786666666667,0.152,3,3,1,1,20933,62863,2,11,13,8e-05,0.000146666666666667,0.00013,4058,12114,4060,12116,16176,0.1624,0.161546666666667,0.16176,0,8,8,0,0.000106666666666667,8e-05,1607,4790,6397,0.06428,0.0638666666666667,0.06397,1607,4798,0,1,0,0.000208420175072947,0,0,0,0,0,1,0,0.000208420175072947,-0.833333333333333,-0.843017497523936,-0.842413736173023,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"7",7,11,23,34,0.00044,0.000306666666666667,0.00034,9,17,2,9,11,8e-05,0.00012,0.00011,3782,11418,15200,0.15128,0.15224,0.152,4,4,1,1,20704,62126,2,11,13,8e-05,0.000146666666666667,0.00013,4285,12849,4288,12852,17140,0.17152,0.17136,0.1714,1,8,9,4e-05,0.000106666666666667,9e-05,1775,5322,7097,0.071,0.07096,0.07097,1776,5330,1,1,0.000563063063063063,0.000187617260787992,0,0,0,0,1,1,0.000563063063063063,0.000187617260787992,-0.833333333333333,-0.835045129162776,-0.834189431084131,-1.66666666666667,-1.66816986095453,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"8",8,11,27,38,0.00044,0.00036,0.00038,10,22,3,13,16,0.00012,0.000173333333333333,0.00016,3771,11429,15200,0.15084,0.152386666666667,0.152,4,4,2,2,20347,61114,4,15,19,0.00016,2e-04,0.00019,4641,13856,4643,13859,18502,0.18572,0.184786666666667,0.18502,1,8,9,4e-05,0.000106666666666667,9e-05,1949,5853,7802,0.07796,0.07804,0.07802,1950,5861,1,1,0.000512820512820513,0.00017061934823409,0,0,0,0,1,1,0.000512820512820513,0.00017061934823409,-0.25,-0.256313586838877,-0.256044312933025,-1.66666666666667,-1.66393302579874,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"9",9,16,33,49,0.00064,0.00044,0.00049,15,30,4,11,15,0.00016,0.000146666666666667,0.00015,3784,11416,15200,0.15136,0.152213333333333,0.152,4,5,2,2,19945,59892,5,15,20,2e-04,2e-04,2e-04,5038,15070,5040,15075,20115,0.2016,0.201,0.20115,2,9,11,8e-05,0.00012,0.00011,2123,6378,8501,0.08492,0.08504,0.08501,2125,6387,1,2,0.000470588235294118,0.000313136057617035,0,0,0,0,1,2,0.000470588235294118,0.000313136057617035,0,-0.00298507462686559,-0.00291970802919717,-0.5,-0.49788334901223,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
"10",10,19,40,59,0.00076,0.000533333333333333,0.00059,19,37,6,11,17,0.00024,0.000146666666666667,0.00017,3764,11436,15200,0.15056,0.15248,0.152,2,6,2,2,19530,58596,7,15,22,0.00028,2e-04,0.00022,5449,16359,5450,16365,21815,0.218,0.2182,0.21815,3,9,12,0.00012,0.00012,0.00012,2306,6941,9247,0.09224,0.0925466666666667,0.09247,2309,6950,1,2,0.00043308791684712,0.000287769784172662,0,0,0,0,1,2,0.00043308791684712,0.000287769784172662,0.285714285714286,0.286368993060102,0.286238243692856,0,0.00331364356720931,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",-0.0129860601614087,-0.036345940650306,-0.0166187250843962,-0.022741723770643,-0.00251085520105729,-0.0510627835218713,0.00117315543320018,0.00820649305785981,0.21282,0.38852,0.57164,51,58,0.1,0.2,0.1,46,781854991,6.0055
