"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"2",2,2,6,6,12,0.00024,8e-05,0.00012,2,0,2,3,5,8e-05,4e-05,5e-05,3825,11375,15200,0.153,0.151666666666667,0.152,0,1,0,0,21168,63615,2,3,5,8e-05,4e-05,5e-05,3826,11379,3826,11380,15206,0.15304,0.151733333333333,0.15206,1,0,1,4e-05,0,1e-05,724,2186,2910,0.02896,0.0291466666666667,0.0291,725,2186,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.495694200351494,0.495649881360401,1,1,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"equal",-0.45,-0.45,-0.5,-0.504305799648506,-0.283333333333333,-0.280563645708412,-0.0833333333333334,-0.0817543796335038,5e-05,7e-05,0.00028,1,7,0.55,0.2,0.03,1,269936452,6.00522
"353",353,353,6,6,12,0.00024,8e-05,0.00012,2,0,2,3,5,8e-05,4e-05,5e-05,3825,11375,15200,0.153,0.151666666666667,0.152,0,1,0,0,21168,63615,2,3,5,8e-05,4e-05,5e-05,3826,11379,3826,11380,15206,0.15304,0.151733333333333,0.15206,0,0,0,0,0,0,383,2186,2569,0.01532,0.0291466666666667,0.02569,383,2186,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.495694200351494,0.495649881360401,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"modUnequal",NA,NA,NA,NA,-0.116666666666667,-0.259833818742505,0.0833333333333333,-0.0610245526675968,5e-05,7e-05,0.00028,1,7,0.55,0.2,0.03,1,269936452,6.00522
"704",704,704,6,6,12,0.00024,8e-05,0.00012,2,0,2,3,5,8e-05,4e-05,5e-05,3825,11375,15200,0.153,0.151666666666667,0.152,0,1,0,0,21168,63615,2,3,5,8e-05,4e-05,5e-05,3826,11379,3826,11380,15206,0.15304,0.151733333333333,0.15206,1,0,1,4e-05,0,1e-05,211,2186,2397,0.00844,0.0291466666666667,0.02397,212,2186,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.495694200351494,0.495649881360401,1,1,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"highUnequal",-0.45,-0.45,-0.5,-0.504305799648506,-0.283333333333333,-0.387896179544286,-0.0833333333333334,-0.189086913469378,5e-05,7e-05,0.00028,1,7,0.55,0.2,0.03,1,269936452,6.00522
"1055",2,2,4,9,13,0.00016,0.00012,0.00013,0,3,3,2,5,0.00012,2.66666666666667e-05,5e-05,3842,11358,15200,0.15368,0.15144,0.152,1,2,1,1,21155,63630,3,2,5,0.00012,2.66666666666667e-05,5e-05,3841,11361,3841,11362,15203,0.15364,0.151493333333333,0.15203,0,1,1,0,1.33333333333333e-05,1e-05,744,2148,2892,0.02976,0.02864,0.02892,744,2149,0,0,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0.774628879892038,0.774609042631224,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"equal",NA,NA,NA,NA,0.55,0.540422289943404,0.555555555555556,0.53254795921536,5e-05,7e-05,0.00045,1,9,0.55,0.2,0.03,10,752242332,6.00506
"1406",353,353,4,9,13,0.00016,0.00012,0.00013,0,3,3,2,5,0.00012,2.66666666666667e-05,5e-05,3842,11358,15200,0.15368,0.15144,0.152,1,2,1,1,21155,63630,3,2,5,0.00012,2.66666666666667e-05,5e-05,3841,11361,3841,11362,15203,0.15364,0.151493333333333,0.15203,0,1,1,0,1.33333333333333e-05,1e-05,377,2148,2525,0.01508,0.02864,0.02525,377,2149,0,0,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0.774628879892038,0.774609042631224,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"modUnequal",NA,NA,NA,NA,0.05,-0.156573791902481,0.0555555555555556,-0.164448122630526,5e-05,7e-05,0.00045,1,9,0.55,0.2,0.03,10,752242332,6.00506
"1757",704,704,4,9,13,0.00016,0.00012,0.00013,0,3,3,2,5,0.00012,2.66666666666667e-05,5e-05,3842,11358,15200,0.15368,0.15144,0.152,1,2,1,1,21155,63630,3,2,5,0.00012,2.66666666666667e-05,5e-05,3841,11361,3841,11362,15203,0.15364,0.151493333333333,0.15203,0,1,1,0,1.33333333333333e-05,1e-05,266,2148,2414,0.01064,0.02864,0.02414,266,2149,0,0,0,0,0,0,0,0,0,0,0,0,0.777777777777778,0.774628879892038,0.774609042631224,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"highUnequal",NA,NA,NA,NA,0.55,-0.0412059207662168,0.555555555555556,-0.0490802514942617,5e-05,7e-05,0.00045,1,9,0.55,0.2,0.03,10,752242332,6.00506
"2108",2,2,5,7,12,2e-04,9.33333333333333e-05,0.00012,1,1,3,4,7,0.00012,5.33333333333333e-05,7e-05,3758,11442,15200,0.15032,0.15256,0.152,0,2,0,1,21233,63548,3,4,7,0.00012,5.33333333333333e-05,7e-05,3762,11445,3762,11446,15208,0.15048,0.152613333333333,0.15208,0,0,0,0,0,0,713,2120,2833,0.02852,0.0282666666666667,0.02833,713,2120,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.56176830333741,0.56173001310616,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"equal",NA,NA,NA,NA,NA,NA,NA,NA,7e-05,0.00013,0.00052,1,31,0.55,0.2,0.03,100,434387391,6.0047
"2459",353,353,5,7,12,2e-04,9.33333333333333e-05,0.00012,1,1,3,4,7,0.00012,5.33333333333333e-05,7e-05,3758,11442,15200,0.15032,0.15256,0.152,0,2,0,1,21233,63548,3,4,7,0.00012,5.33333333333333e-05,7e-05,3762,11445,3762,11446,15208,0.15048,0.152613333333333,0.15208,1,0,1,4e-05,0,1e-05,368,2120,2488,0.01472,0.0282666666666667,0.02488,369,2120,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.56176830333741,0.56173001310616,1,1,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"modUnequal",-0.45,-0.45,-0.444444444444444,-0.43823169666259,-0.116666666666667,-0.254460352422907,-0.416666666666667,-0.556755153680487,7e-05,0.00013,0.00052,1,31,0.55,0.2,0.03,100,434387391,6.0047
"2810",704,704,5,7,12,2e-04,9.33333333333333e-05,0.00012,1,1,3,4,7,0.00012,5.33333333333333e-05,7e-05,3758,11442,15200,0.15032,0.15256,0.152,0,2,0,1,21233,63548,3,4,7,0.00012,5.33333333333333e-05,7e-05,3762,11445,3762,11446,15208,0.15048,0.152613333333333,0.15208,0,0,0,0,0,0,204,2120,2324,0.00816,0.0282666666666667,0.02324,204,2120,0,0,0,0,0,0,0,0,0,0,0,0,0.555555555555556,0.56176830333741,0.56173001310616,NA,NA,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"highUnequal",NA,NA,NA,NA,0.216666666666667,-0.153414096916299,-0.0833333333333334,-0.455708898173879,7e-05,0.00013,0.00052,1,31,0.55,0.2,0.03,100,434387391,6.0047
"3161",2,2,5,5,10,2e-04,6.66666666666667e-05,1e-04,0,0,4,4,8,0.00016,5.33333333333333e-05,8e-05,3784,11416,15200,0.15136,0.152213333333333,0.152,1,2,1,2,21209,63571,4,4,8,0.00016,5.33333333333333e-05,8e-05,3786,11424,3786,11424,15210,0.15144,0.15232,0.1521,1,0,1,4e-05,0,1e-05,711,2212,2923,0.02844,0.0294933333333333,0.02923,712,2212,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0.66859243697479,0.66859243697479,1,1,"VE Susc.= 0.55","VE Infect.= 0.2","VE Susc.= 0.55 VE Infect.= 0.2",1,TRUE,"equal",-0.45,-0.45,-0.333333333333333,-0.33140756302521,-0.283333333333333,-0.287707607135534,-0.166666666666667,-0.168633411469086,8e-05,8e-05,0.00011,1,5,0.55,0.2,0.03,11,109521586,6.00468
