"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"47",47,47,9972,26935,36907,0.39888,0.359133333333333,0.36907,11851,32086,3724,10033,13757,0.14896,0.133773333333333,0.13757,3767,11433,15200,0.15068,0.15244,0.152,1504,4136,571,1532,5232,17314,4936,13337,18273,0.19744,0.177826666666667,0.18273,7912,25595,12083,36726,48809,0.48332,0.48968,0.48809,2273,6162,8435,0.09092,0.08216,0.08435,6729,20333,27062,0.26916,0.271106666666667,0.27062,9002,26495,398,1120,0.0442123972450567,0.0422721268163804,20,59,0.00222172850477672,0.00222683525193433,418,1179,0.0464341257498334,0.0444989620683148,0.0993381955699623,0.111036057594499,0.164754499318172,0.0963484381874176,0.102837059051266,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",46,TRUE,"equal",0.00365156181258244,-0.00283705905126627,0.0029897573825447,0.00819899854323236,-0.00488036976617731,-0.049198996409676,0.000463040469834364,0.00667241907460858,0.18273,0.37046,0.57992,46,53,0.1,0.1,0.1,1,63213986,6.00486
"198",198,198,9972,26935,36907,0.39888,0.359133333333333,0.36907,11851,32086,3724,10033,13757,0.14896,0.133773333333333,0.13757,3767,11433,15200,0.15068,0.15244,0.152,1504,4136,571,1532,5232,17314,4936,13337,18273,0.19744,0.177826666666667,0.18273,7912,25595,12083,36726,48809,0.48332,0.48968,0.48809,1246,6162,7408,0.04984,0.08216,0.07408,4047,20333,24380,0.16188,0.271106666666667,0.2438,5293,26495,231,1120,0.0436425467598715,0.0422721268163804,16,59,0.00302286038163612,0.00222683525193433,247,1179,0.0466654071415077,0.0444989620683148,0.0993381955699623,0.111036057594499,0.164754499318172,-0.648475120385233,0.015682071676727,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",46,TRUE,"modUnequal",0.748475120385233,0.084317928323273,0.747813315955195,0.0953539859177717,0.691612279429538,0.0751865464517791,0.69695568966555,0.131057961936064,0.18273,0.37046,0.57992,46,53,0.1,0.1,0.1,1,63213986,6.00486
"349",349,349,9972,26935,36907,0.39888,0.359133333333333,0.36907,11851,32086,3724,10033,13757,0.14896,0.133773333333333,0.13757,3767,11433,15200,0.15068,0.15244,0.152,1504,4136,571,1532,5232,17314,4936,13337,18273,0.19744,0.177826666666667,0.18273,7912,25595,12083,36726,48809,0.48332,0.48968,0.48809,898,6162,7060,0.03592,0.08216,0.0706,3192,20333,23525,0.12768,0.271106666666667,0.23525,4090,26495,161,1120,0.0393643031784841,0.0422721268163804,20,59,0.00488997555012225,0.00222683525193433,181,1179,0.0442542787286064,0.0444989620683148,0.0993381955699623,0.111036057594499,0.164754499318172,-1.28730512249443,-0.0772258817197009,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",46,TRUE,"highUnequal",1.38730512249443,0.177225881719701,1.38664331806439,0.1882619393142,1.32599729546991,0.232575822646255,1.33134070570592,0.28844723813054,0.18273,0.37046,0.57992,46,53,0.1,0.1,0.1,1,63213986,6.00486
"502",49,49,9947,26854,36801,0.39788,0.358053333333333,0.36801,11788,31863,3743,9973,13716,0.14972,0.132973333333333,0.13716,3796,11404,15200,0.15184,0.152053333333333,0.152,1497,4081,564,1493,5150,16730,4935,13263,18198,0.1974,0.17684,0.18198,8060,26399,12233,37801,50034,0.48932,0.504013333333333,0.50034,2221,6177,8398,0.08884,0.08236,0.08398,6922,21125,28047,0.27688,0.281666666666667,0.28047,9143,27302,374,1090,0.0409056108498305,0.0399238151051205,17,70,0.00185934594771957,0.0025639147315215,391,1160,0.04276495679755,0.042487729836642,0.104154002026342,0.130270302911689,0.179455425167505,0.0729401170643854,0.0886946495128534,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",48,TRUE,"equal",0.0270598829356146,0.0113053504871466,0.031213884961957,0.0415756533988352,0.0100999655291279,-0.0263896671713865,0.0118941678455234,0.0353585195606869,0.18198,0.36791,0.58001,48,55,0.1,0.1,0.1,10,648975254,6.00498
"653",200,200,9947,26854,36801,0.39788,0.358053333333333,0.36801,11788,31863,3743,9973,13716,0.14972,0.132973333333333,0.13716,3796,11404,15200,0.15184,0.152053333333333,0.152,1497,4081,564,1493,5150,16730,4935,13263,18198,0.1974,0.17684,0.18198,8060,26399,12233,37801,50034,0.48932,0.504013333333333,0.50034,1178,6177,7355,0.04712,0.08236,0.07355,4252,21125,25377,0.17008,0.281666666666667,0.25377,5430,27302,198,1090,0.0364640883977901,0.0399238151051205,18,70,0.00331491712707182,0.0025639147315215,216,1160,0.0397790055248619,0.042487729836642,0.104154002026342,0.130270302911689,0.179455425167505,-0.747877758913412,-0.0554285771692065,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",48,TRUE,"modUnequal",0.847877758913412,0.155428577169206,0.852031760939755,0.185698880080895,0.761129986158299,0.134190179568496,0.762924188474694,0.19593836630057,0.18198,0.36791,0.58001,48,55,0.1,0.1,0.1,10,648975254,6.00498
"804",351,351,9947,26854,36801,0.39788,0.358053333333333,0.36801,11788,31863,3743,9973,13716,0.14972,0.132973333333333,0.13716,3796,11404,15200,0.15184,0.152053333333333,0.152,1497,4081,564,1493,5150,16730,4935,13263,18198,0.1974,0.17684,0.18198,8060,26399,12233,37801,50034,0.48932,0.504013333333333,0.50034,881,6177,7058,0.03524,0.08236,0.07058,3297,21125,24422,0.13188,0.281666666666667,0.24422,4178,27302,161,1090,0.0385351842987075,0.0399238151051205,11,70,0.00263283867879368,0.0025639147315215,172,1160,0.0411680229775012,0.042487729836642,0.104154002026342,0.130270302911689,0.179455425167505,-1.33711691259932,-0.0942685624861472,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",48,TRUE,"highUnequal",1.43711691259932,0.194268562486147,1.44127091462566,0.224538865397836,1.32351355903655,0.223496187226728,1.32530776135295,0.285244373958801,0.18198,0.36791,0.58001,48,55,0.1,0.1,0.1,10,648975254,6.00498
"953",47,47,10986,29534,40520,0.43944,0.393786666666667,0.4052,13222,35577,4242,11099,15341,0.16968,0.147986666666667,0.15341,3823,11377,15200,0.15292,0.151693333333333,0.152,1647,4533,632,1700,4643,15915,5679,15041,20720,0.22716,0.200546666666667,0.2072,7133,23500,11680,35817,47497,0.4672,0.47756,0.47497,2653,7128,9781,0.10612,0.09504,0.09781,6580,19984,26564,0.2632,0.266453333333333,0.26564,9233,27112,443,1254,0.047980071482725,0.0462525818825612,34,82,0.00368244340950937,0.00302449100029507,477,1336,0.0516625148922344,0.0492770728828563,0.117156776427775,0.136308832287161,0.196086717394807,0.104410101771579,0.115345046485737,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",46,TRUE,"equal",-0.00441010177157938,-0.0153450464857374,0.0127466746561954,0.0209637858014232,-0.0122905400894586,-0.0569900784690251,-0.0173735798478885,-0.0113519228049782,0.2072,0.36911,0.57534,46,52,0.1,0.1,0.1,100,187629394,6.00514
"1104",198,198,10986,29534,40520,0.43944,0.393786666666667,0.4052,13222,35577,4242,11099,15341,0.16968,0.147986666666667,0.15341,3823,11377,15200,0.15292,0.151693333333333,0.152,1647,4533,632,1700,4643,15915,5679,15041,20720,0.22716,0.200546666666667,0.2072,7133,23500,11680,35817,47497,0.4672,0.47756,0.47497,1431,7128,8559,0.05724,0.09504,0.08559,4074,19984,24058,0.16296,0.266453333333333,0.24058,5505,27112,240,1254,0.0435967302452316,0.0462525818825612,23,82,0.0041780199818347,0.00302449100029507,263,1336,0.0477747502270663,0.0492770728828563,0.117156776427775,0.136308832287161,0.196086717394807,-0.660377358490566,-0.0154689789567504,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",46,TRUE,"modUnequal",0.760377358490566,0.11546897895675,0.777534134918341,0.151777811243911,0.718821524226929,0.124783018545499,0.7137384844685,0.170421174209546,0.2072,0.36911,0.57534,46,52,0.1,0.1,0.1,100,187629394,6.00514
"1255",349,349,10986,29534,40520,0.43944,0.393786666666667,0.4052,13222,35577,4242,11099,15341,0.16968,0.147986666666667,0.15341,3823,11377,15200,0.15292,0.151693333333333,0.152,1647,4533,632,1700,4643,15915,5679,15041,20720,0.22716,0.200546666666667,0.2072,7133,23500,11680,35817,47497,0.4672,0.47756,0.47497,1012,7128,8140,0.04048,0.09504,0.0814,3255,19984,23239,0.1302,0.266453333333333,0.23239,4267,27112,163,1254,0.0382001406140145,0.0462525818825612,22,82,0.00515584719943754,0.00302449100029507,185,1336,0.0433559878134521,0.0492770728828563,0.117156776427775,0.136308832287161,0.196086717394807,-1.34782608695652,-0.147243882062172,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",46,TRUE,"highUnequal",1.44782608695652,0.247243882062172,1.4649828633843,0.283552714349332,1.36717817561807,0.285260007230314,1.36209513585964,0.330898162894361,0.2072,0.36911,0.57534,46,52,0.1,0.1,0.1,100,187629394,6.00514
"1407",48,48,10478,28561,39039,0.41912,0.380813333333333,0.39039,12553,33924,4074,10699,14773,0.16296,0.142653333333333,0.14773,3807,11393,15200,0.15228,0.151906666666667,0.152,1607,4275,629,1569,4881,16083,5466,14213,19679,0.21864,0.189506666666667,0.19679,7564,24985,11907,36849,48756,0.47628,0.49132,0.48756,2479,6535,9014,0.09916,0.0871333333333333,0.09014,6681,20623,27304,0.26724,0.274973333333333,0.27304,9160,27158,442,1180,0.0482532751091703,0.0434494439944031,25,61,0.0027292576419214,0.0022461153251344,467,1241,0.0509825327510917,0.0456955593195375,0.133247957067935,0.159780462819173,0.212794182180732,0.121285464569047,0.145998378817699,"VE Susc.= 0.1","VE Infect.= 0.1","VE Susc.= 0.1 VE Infect.= 0.1",47,TRUE,"equal",-0.0212854645690468,-0.0459983788176987,0.0119624924988884,0.0137820840014745,-0.0143184859491493,-0.0557499433275523,-0.003260184301494,0.0186966369601864,0.19679,0.38575,0.58027,47,54,0.1,0.1,0.1,11,554489626,6.00474
