VE_susc,VE_infect,Covid_probTrans,totalNum_sims,t,Label_testingDiff,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Avg_numContacts.2.5.,Avg_numContacts.50.,Avg_numContacts.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.
0.55,0.2,0.1,100,30,equal,0.293833235,0.539269404,0.709736717,0.285092593,0.532748538,0.712212644,0.000566333,0.001306667,0.002169,0.001278,0.0028,0.005183,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,31,equal,0.259468035,0.533749686,0.712519521,0.265188172,0.532795699,0.713891941,0.000645667,0.001453333,0.002414667,0.001379,0.00316,0.005585,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,32,equal,0.288251866,0.542853926,0.688353113,0.287202381,0.54023406,0.68794877,0.000679333,0.001613333,0.002767667,0.001535,0.00356,0.006155,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,33,equal,0.312239387,0.540662102,0.701672712,0.31199187,0.541103604,0.700343885,0.000771333,0.001773333,0.003137333,0.001754,0.00392,0.006951,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,34,equal,0.332710277,0.544681225,0.693302573,0.324772896,0.539773816,0.692777778,0.000905333,0.001986667,0.003455,0.001998,0.00434,0.007553,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,35,equal,0.322141874,0.531833637,0.681813223,0.31780303,0.530935975,0.683803763,0.000958667,0.0022,0.003684333,0.002213,0.00478,0.008492,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,36,equal,0.340298268,0.538442554,0.679015867,0.343910256,0.540975897,0.68052381,0.001085667,0.002453333,0.004156667,0.002476,0.00534,0.00944,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,37,equal,0.354341041,0.539895864,0.659666012,0.352530864,0.536835222,0.657973485,0.001191667,0.002726667,0.004537,0.002695,0.00586,0.010406,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,38,equal,0.39618513,0.548889326,0.65712551,0.38609431,0.548195632,0.659095607,0.001279333,0.002986667,0.004998,0.003015,0.00652,0.011625,6.004359,6.00493,6.00552,65,73,80
0.55,0.2,0.1,100,39,equal,0.406252075,0.552727469,0.650567409,0.396643519,0.551371886,0.651611647,0.001397333,0.003306667,0.005535667,0.003297,0.0072,0.012625,6.004359,6.00493,6.00552,65,73,80
