VE_infect,VE_susc,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.1,0.1,equal,46,46,0.18273,0.096348438,0.102837059,-0.003651562,0.002837059,0.19744,0.177826667
0.1,0.1,0.1,modUnequal,46,46,0.18273,-0.64847512,0.015682072,-0.74847512,-0.084317928,0.19744,0.177826667
0.1,0.1,0.1,highUnequal,46,46,0.18273,-1.287305122,-0.077225882,-1.387305122,-0.177225882,0.19744,0.177826667
0.1,0.1,0.1,equal,48,48,0.18198,0.072940117,0.08869465,-0.027059883,-0.01130535,0.1974,0.17684
0.1,0.1,0.1,modUnequal,48,48,0.18198,-0.747877759,-0.055428577,-0.847877759,-0.155428577,0.1974,0.17684
0.1,0.1,0.1,highUnequal,48,48,0.18198,-1.337116913,-0.094268562,-1.437116913,-0.194268562,0.1974,0.17684
0.1,0.1,0.1,equal,46,46,0.2072,0.104410102,0.115345046,0.004410102,0.015345046,0.22716,0.200546667
0.1,0.1,0.1,modUnequal,46,46,0.2072,-0.660377358,-0.015468979,-0.760377358,-0.115468979,0.22716,0.200546667
0.1,0.1,0.1,highUnequal,46,46,0.2072,-1.347826087,-0.147243882,-1.447826087,-0.247243882,0.22716,0.200546667
0.1,0.1,0.1,equal,47,47,0.19679,0.121285465,0.145998379,0.021285465,0.045998379,0.21864,0.189506667
0.1,0.1,0.1,modUnequal,47,47,0.19679,-0.704486176,-0.029733466,-0.804486176,-0.129733466,0.21864,0.189506667
0.1,0.1,0.1,highUnequal,47,47,0.19679,-1.135620915,-0.05036139,-1.235620915,-0.15036139,0.21864,0.189506667
0.1,0.1,0.1,equal,47,47,0.18725,0.09939033,0.115378003,-0.00060967,0.015378003,0.2014,0.182533333
0.1,0.1,0.1,modUnequal,47,47,0.18725,-0.649013499,-0.018954161,-0.749013499,-0.118954161,0.2014,0.182533333
0.1,0.1,0.1,highUnequal,47,47,0.18725,-1.219426974,-0.054716257,-1.319426974,-0.154716257,0.2014,0.182533333
0.1,0.1,0.1,equal,47,47,0.17406,0.121510673,0.166778243,0.021510673,0.066778243,0.19224,0.168
0.1,0.1,0.1,modUnequal,47,47,0.17406,-0.644314054,0.009314749,-0.744314054,-0.090685251,0.19224,0.168
0.1,0.1,0.1,highUnequal,47,47,0.17406,-1.262591311,-0.059869005,-1.362591311,-0.159869005,0.19224,0.168
0.1,0.1,0.1,equal,49,49,0.17733,0.098669114,0.128276241,-0.001330886,0.028276241,0.19112,0.172733333
0.1,0.1,0.1,modUnequal,49,49,0.17733,-0.591572123,0.026306396,-0.691572123,-0.073693604,0.19112,0.172733333
0.1,0.1,0.1,highUnequal,49,49,0.17733,-1.196868009,-0.049563968,-1.296868009,-0.149563968,0.19112,0.172733333
0.1,0.1,0.1,equal,48,48,0.22157,0.106353106,0.131076428,0.006353106,0.031076428,0.24236,0.21464
0.1,0.1,0.1,modUnequal,48,48,0.22157,-0.645765999,-0.022993367,-0.745765999,-0.122993367,0.24236,0.21464
0.1,0.1,0.1,highUnequal,48,48,0.22157,-1.316651501,-0.124911411,-1.416651501,-0.224911411,0.24236,0.21464
0.1,0.1,0.1,equal,49,49,0.18995,0.109812109,0.120784504,0.009812109,0.020784504,0.20772,0.184026667
0.1,0.1,0.1,modUnequal,49,49,0.18995,-0.569955817,0.053417682,-0.669955817,-0.046582318,0.20772,0.184026667
0.1,0.1,0.1,highUnequal,49,49,0.18995,-1.253699789,-0.103099953,-1.353699789,-0.203099953,0.20772,0.184026667
0.1,0.1,0.1,equal,47,47,0.18514,0.123920913,0.15838339,0.023920913,0.05838339,0.20104,0.17984
0.1,0.1,0.1,modUnequal,47,47,0.18514,-0.623323013,0.050332646,-0.723323013,-0.049667354,0.20104,0.17984
0.1,0.1,0.1,highUnequal,47,47,0.18514,-1.433101315,-0.173077377,-1.533101315,-0.273077377,0.20104,0.17984
