VE_susc,VE_infect,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.2,0.1,equal,48,48,0.20328,0.112392669,0.141983869,0.012392669,0.041983869,0.22088,0.197413333
0.1,0.2,0.1,modUnequal,48,48,0.20328,-0.711391154,-0.059479869,-0.811391154,-0.159479869,0.22088,0.197413333
0.1,0.2,0.1,highUnequal,48,48,0.20328,-1.27454844,-0.082380422,-1.37454844,-0.182380422,0.22088,0.197413333
0.1,0.2,0.1,equal,52,52,0.18926,0.077947846,0.093065492,-0.022052154,-0.006934508,0.20444,0.1842
0.1,0.2,0.1,modUnequal,52,52,0.18926,-0.694270833,-0.059166615,-0.794270833,-0.159166615,0.20444,0.1842
0.1,0.2,0.1,highUnequal,52,52,0.18926,-1.354686934,-0.170574086,-1.454686934,-0.270574086,0.20444,0.1842
0.1,0.2,0.1,equal,53,53,0.20357,0.081070597,0.093204569,-0.018929403,-0.006795431,0.2198,0.19816
0.1,0.2,0.1,modUnequal,53,53,0.20357,-0.694563662,-0.056276478,-0.794563662,-0.156276478,0.2198,0.19816
0.1,0.2,0.1,highUnequal,53,53,0.20357,-1.324828263,-0.156084624,-1.424828263,-0.256084624,0.2198,0.19816
0.1,0.2,0.1,equal,51,51,0.22244,0.101484574,0.118788306,0.001484574,0.018788306,0.24544,0.214773333
0.1,0.2,0.1,modUnequal,51,51,0.22244,-0.656403678,-0.012368911,-0.756403678,-0.112368911,0.24544,0.214773333
0.1,0.2,0.1,highUnequal,51,51,0.22244,-1.228070175,-0.116677235,-1.328070175,-0.216677235,0.24544,0.214773333
0.1,0.2,0.1,equal,50,50,0.1872,0.124567952,0.137561151,0.024567952,0.037561151,0.20612,0.180893333
0.1,0.2,0.1,modUnequal,50,50,0.1872,-0.598989899,0.025116846,-0.698989899,-0.074883154,0.20612,0.180893333
0.1,0.2,0.1,highUnequal,50,50,0.1872,-1.196323274,-0.052739142,-1.296323274,-0.152739142,0.20612,0.180893333
0.1,0.2,0.1,equal,49,49,0.18934,0.080998188,0.102012802,-0.019001812,0.002012802,0.20396,0.184466667
0.1,0.2,0.1,modUnequal,49,49,0.18934,-0.70998703,-0.031953655,-0.80998703,-0.131953655,0.20396,0.184466667
0.1,0.2,0.1,highUnequal,49,49,0.18934,-1.305701294,-0.125354233,-1.405701294,-0.225354233,0.20396,0.184466667
0.1,0.2,0.1,equal,51,51,0.17928,0.119775959,0.146163324,0.019775959,0.046163324,0.19464,0.17416
0.1,0.2,0.1,modUnequal,51,51,0.17928,-0.656934307,-0.005180539,-0.756934307,-0.105180539,0.19464,0.17416
0.1,0.2,0.1,highUnequal,51,51,0.17928,-1.27,-0.087680743,-1.37,-0.187680743,0.19464,0.17416
0.1,0.2,0.1,equal,49,49,0.19026,0.117344173,0.132139849,0.017344173,0.032139849,0.20712,0.18464
0.1,0.2,0.1,modUnequal,49,49,0.19026,-0.602460025,0.027310246,-0.702460025,-0.072689754,0.20712,0.18464
0.1,0.2,0.1,highUnequal,49,49,0.19026,-1.254759432,-0.106086304,-1.354759432,-0.206086304,0.20712,0.18464
0.1,0.2,0.1,equal,48,48,0.16214,0.085198077,0.092081109,-0.014801923,-0.007918891,0.17412,0.158146667
0.1,0.2,0.1,modUnequal,48,48,0.16214,-0.712911235,-0.044893465,-0.812911235,-0.144893465,0.17412,0.158146667
0.1,0.2,0.1,highUnequal,48,48,0.16214,-1.190079365,-0.040896679,-1.290079365,-0.140896679,0.17412,0.158146667
0.1,0.2,0.1,equal,50,50,0.19391,0.10932691,0.118207497,0.00932691,0.018207497,0.21336,0.187426667
0.1,0.2,0.1,modUnequal,50,50,0.19391,-0.607729469,0.019317234,-0.707729469,-0.080682766,0.21336,0.187426667
0.1,0.2,0.1,highUnequal,50,50,0.19391,-1.296756384,-0.107232833,-1.396756384,-0.207232833,0.21336,0.187426667
0.1,0.2,0.1,equal,50,50,0.18275,0.092013889,0.103103732,-0.007986111,0.003103732,0.19896,0.177346667
0.1,0.2,0.1,modUnequal,50,50,0.18275,-0.677626303,-0.025503879,-0.777626303,-0.125503879,0.19896,0.177346667
0.1,0.2,0.1,highUnequal,50,50,0.18275,-1.247046187,-0.061332411,-1.347046187,-0.161332411,0.19896,0.177346667
0.1,0.2,0.1,equal,51,51,0.21757,0.10868788,0.124492024,0.00868788,0.024492024,0.23584,0.21148
0.1,0.2,0.1,modUnequal,51,51,0.21757,-0.619883041,0.039906939,-0.719883041,-0.060093061,0.23584,0.21148
0.1,0.2,0.1,highUnequal,51,51,0.21757,-1.268425842,-0.116800945,-1.368425842,-0.216800945,0.23584,0.21148
0.1,0.2,0.1,equal,46,46,0.14821,0.089668616,0.108238912,-0.010331384,0.008238912,0.15896,0.144626667
0.1,0.2,0.1,modUnequal,46,46,0.14821,-0.7707687,-0.076408626,-0.8707687,-0.176408626,0.15896,0.144626667
0.1,0.2,0.1,highUnequal,46,46,0.14821,-1.355341586,-0.10276299,-1.455341586,-0.20276299,0.15896,0.144626667
0.1,0.2,0.1,equal,52,52,0.20318,0.099792639,0.12154053,-0.000207361,0.02154053,0.22052,0.1974
0.1,0.2,0.1,modUnequal,52,52,0.20318,-0.594582185,0.03308406,-0.694582185,-0.06691594,0.22052,0.1974
0.1,0.2,0.1,highUnequal,52,52,0.20318,-1.224143452,-0.11050621,-1.324143452,-0.21050621,0.22052,0.1974
0.1,0.2,0.1,equal,48,48,0.17809,0.079933515,0.117970652,-0.020066485,0.017970652,0.19216,0.1734
0.1,0.2,0.1,modUnequal,48,48,0.17809,-0.674642464,-0.005682356,-0.774642464,-0.105682356,0.19216,0.1734
0.1,0.2,0.1,highUnequal,48,48,0.17809,-1.250184775,-0.083336163,-1.350184775,-0.183336163,0.19216,0.1734
0.1,0.2,0.1,equal,49,49,0.224,0.086668987,0.09913081,-0.013331013,-0.00086919,0.23832,0.219226667
0.1,0.2,0.1,modUnequal,49,49,0.224,-0.697283312,-0.043869079,-0.797283312,-0.143869079,0.23832,0.219226667
0.1,0.2,0.1,highUnequal,49,49,0.224,-1.35125448,-0.158379188,-1.45125448,-0.258379188,0.23832,0.219226667
0.1,0.2,0.1,equal,49,49,0.17101,0.085205993,0.104353535,-0.014794007,0.004353535,0.18752,0.165506667
0.1,0.2,0.1,modUnequal,49,49,0.17101,-0.678694158,-0.021847709,-0.778694158,-0.121847709,0.18752,0.165506667
0.1,0.2,0.1,highUnequal,49,49,0.17101,-1.220454545,-0.041234173,-1.320454545,-0.141234173,0.18752,0.165506667
0.1,0.2,0.1,equal,47,47,0.18267,0.131287298,0.167316475,0.031287298,0.067316475,0.19628,0.178133333
0.1,0.2,0.1,modUnequal,47,47,0.18267,-0.549809886,0.06085993,-0.649809886,-0.03914007,0.19628,0.178133333
0.1,0.2,0.1,highUnequal,47,47,0.18267,-1.184351554,-0.01349086,-1.284351554,-0.11349086,0.19628,0.178133333
0.1,0.2,0.1,equal,51,51,0.18628,0.101536694,0.129875932,0.001536694,0.029875932,0.19832,0.182266667
0.1,0.2,0.1,modUnequal,51,51,0.18628,-0.705096757,-0.035476384,-0.805096757,-0.135476384,0.19832,0.182266667
0.1,0.2,0.1,highUnequal,51,51,0.18628,-1.343071161,-0.133314371,-1.443071161,-0.233314371,0.19832,0.182266667
0.1,0.2,0.1,equal,49,49,0.15993,0.109186871,0.119002882,0.009186871,0.019002882,0.17232,0.1558
0.1,0.2,0.1,modUnequal,49,49,0.15993,-0.698427673,-0.041142143,-0.798427673,-0.141142143,0.17232,0.1558
0.1,0.2,0.1,highUnequal,49,49,0.15993,-1.323010753,-0.112699952,-1.423010753,-0.212699952,0.17232,0.1558
0.1,0.2,0.1,equal,52,52,0.19247,0.106365834,0.135917387,0.006365834,0.035917387,0.20688,0.187666667
0.1,0.2,0.1,modUnequal,52,52,0.19247,-0.634487841,0.007750089,-0.734487841,-0.092249911,0.20688,0.187666667
0.1,0.2,0.1,highUnequal,52,52,0.19247,-1.200396825,-0.075499779,-1.300396825,-0.175499779,0.20688,0.187666667
0.1,0.2,0.1,equal,53,53,0.21427,0.0899042,0.103954919,-0.0100958,0.003954919,0.23068,0.2088
0.1,0.2,0.1,modUnequal,53,53,0.21427,-0.655495979,-0.029004215,-0.755495979,-0.129004215,0.23068,0.2088
0.1,0.2,0.1,highUnequal,53,53,0.21427,-1.433497537,-0.200131225,-1.533497537,-0.300131225,0.23068,0.2088
0.1,0.2,0.1,equal,47,47,0.17777,0.082909539,0.091858047,-0.017090461,-0.008141953,0.19348,0.172533333
0.1,0.2,0.1,modUnequal,47,47,0.17777,-0.604908306,0.006057648,-0.704908306,-0.093942352,0.19348,0.172533333
0.1,0.2,0.1,highUnequal,47,47,0.17777,-1.33372549,-0.110436752,-1.43372549,-0.210436752,0.19348,0.172533333
0.1,0.2,0.1,equal,50,50,0.17186,0.080845771,0.083979394,-0.019154229,-0.016020606,0.18472,0.167573333
0.1,0.2,0.1,modUnequal,50,50,0.17186,-0.656022409,-0.007434333,-0.756022409,-0.107434333,0.18472,0.167573333
