Covid_probTrans,VE_infect,VE_susc,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.03,0.2,0.55,equal,1,1,5.00E-05,1,1,0.45,0.45,8.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,8.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,1,1,0.45,0.45,8.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,0.00012,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,0.00012,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,0.00012,2.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,1,1,0.45,0.45,0.00012,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00012,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,1,1,0.45,0.45,0.00016,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,1,1,0.45,0.45,8.00E-05,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00024,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00024,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00024,2.67E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,1,1,0.45,0.45,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,0.666666667,0.671889401,0.116666667,0.121889401,4.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,0.666666667,0.82718894,0.116666667,0.27718894,4.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,1,1,0.45,0.45,0.00028,0
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,0.00028,0
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,1,1,0.45,0.45,0.00028,0
0.03,0.2,0.55,equal,1,1,7.00E-05,0.833333333,0.835027726,0.283333333,0.285027726,4.00E-05,8.00E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,NA,NA,NA,NA,4.00E-05,8.00E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,4.00E-05,8.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,0,0.054812834,-0.55,-0.495187166,0.00012,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,0,0.526737968,-0.55,-0.023262032,0.00012,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,0,0.648395722,-0.55,0.098395722,0.00012,6.67E-05
0.03,0.2,0.55,equal,1,1,4.00E-05,0.333333333,0.334250344,-0.216666667,-0.215749656,4.00E-05,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,4.00E-05,NA,NA,NA,NA,4.00E-05,4.00E-05
0.03,0.2,0.55,equal,1,1,9.00E-05,0.5,0.470628729,-0.05,-0.079371271,0.00024,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,9.00E-05,0.666666667,0.832033043,0.116666667,0.282033043,0.00024,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,9.00E-05,NA,NA,NA,NA,0.00024,4.00E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,1,1,0.45,0.45,0.00016,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,5.00E-05,NA,NA,NA,NA,0,6.67E-05
0.03,0.2,0.55,equal,1,1,9.00E-05,-0.333333333,-0.394025605,-0.883333333,-0.944025605,8.00E-05,9.33E-05
0.03,0.2,0.55,modUnequal,1,1,9.00E-05,NA,NA,NA,NA,8.00E-05,9.33E-05
0.03,0.2,0.55,highUnequal,1,1,9.00E-05,NA,NA,NA,NA,8.00E-05,9.33E-05
0.03,0.2,0.55,equal,1,1,5.00E-05,NA,NA,NA,NA,4.00E-05,5.33E-05
