"","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"1",1,2,8,10,8e-05,0.000106666666666667,1e-04,0,0,2,5,7,8e-05,6.66666666666667e-05,7e-05,3764,11436,15200,0.15056,0.15248,0.152,0,1,0,1,21234,63557,2,5,7,8e-05,6.66666666666667e-05,7e-05,3764,11435,3764,11435,15199,0.15056,0.152466666666667,0.15199,0,1,1,0,1.33333333333333e-05,1e-05,447,1174,1621,0.01788,0.0156533333333333,0.01621,447,1175,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.177087888062964,0.177087888062964,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",0,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"2",2,2,10,12,8e-05,0.000133333333333333,0.00012,0,2,2,5,7,8e-05,6.66666666666667e-05,7e-05,3760,11440,15200,0.1504,0.152533333333333,0.152,0,1,0,1,21234,63545,2,5,7,8e-05,6.66666666666667e-05,7e-05,3764,11445,3764,11445,15209,0.15056,0.1526,0.15209,0,1,1,0,1.33333333333333e-05,1e-05,755,2151,2906,0.0302,0.02868,0.02906,755,2152,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.177806902577545,0.177806902577545,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",1,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"3",3,3,12,15,0.00012,0.00016,0.00015,1,4,2,5,7,8e-05,6.66666666666667e-05,7e-05,3761,11439,15200,0.15044,0.15252,0.152,1,1,0,1,21224,63517,2,5,7,8e-05,6.66666666666667e-05,7e-05,3773,11471,3774,11471,15245,0.15096,0.152946666666667,0.15245,0,1,1,0,1.33333333333333e-05,1e-05,1003,2943,3946,0.04012,0.03924,0.03946,1003,2944,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.177491064423328,0.177709005317758,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",2,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"4",4,3,16,19,0.00012,0.000213333333333333,0.00019,1,8,2,5,7,8e-05,6.66666666666667e-05,7e-05,3770,11430,15200,0.1508,0.1524,0.152,1,1,0,1,21193,63430,2,5,7,8e-05,6.66666666666667e-05,7e-05,3804,11554,3805,11554,15359,0.1522,0.154053333333333,0.15359,0,1,1,0,1.33333333333333e-05,1e-05,1255,3691,4946,0.0502,0.0492133333333333,0.04946,1255,3692,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.176692054699671,0.176908429980959,NA,NA,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",3,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"5",5,3,17,20,0.00012,0.000226666666666667,2e-04,1,9,2,5,7,8e-05,6.66666666666667e-05,7e-05,3764,11436,15200,0.15056,0.15248,0.152,1,1,0,1,21125,63208,2,5,7,8e-05,6.66666666666667e-05,7e-05,3872,11775,3873,11775,15648,0.15492,0.157,0.15648,1,2,3,4e-05,2.66666666666667e-05,3e-05,1452,4247,5699,0.05808,0.0566266666666667,0.05699,1453,4249,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.177707006369427,0.17791932059448,0.333333333333333,0.316223216388039,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",4,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"6",6,4,20,24,0.00016,0.000266666666666667,0.00024,2,12,2,6,8,8e-05,8e-05,8e-05,3748,11452,15200,0.14992,0.152693333333333,0.152,1,1,0,1,20996,62793,2,6,8,8e-05,8e-05,8e-05,4000,12187,4001,12187,16188,0.16004,0.162493333333333,0.16188,1,2,3,4e-05,2.66666666666667e-05,3e-05,1644,4794,6438,0.06576,0.06392,0.06438,1645,4796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150980553048331,0.0153442192500205,0.333333333333333,0.314142678347935,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",5,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"7",7,7,22,29,0.00028,0.000293333333333333,0.00029,5,14,2,8,10,8e-05,0.000106666666666667,1e-04,3773,11427,15200,0.15092,0.15236,0.152,3,1,0,1,20745,62090,2,8,10,8e-05,0.000106666666666667,1e-04,4248,12888,4251,12888,17139,0.17004,0.17184,0.17139,2,2,4,8e-05,2.66666666666667e-05,4e-05,1789,5265,7054,0.07156,0.0702,0.07054,1791,5267,1,0,0.000558347292015634,0,0,0,0,0,1,0,0.000558347292015634,0,-0.333333333333333,-0.319366852886406,-0.318435754189944,0.666666666666667,0.660208926875594,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",6,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"8",8,9,25,34,0.00036,0.000333333333333333,0.00034,7,18,2,9,11,8e-05,0.00012,0.00011,3775,11425,15200,0.151,0.152333333333333,0.152,2,1,0,1,20430,61157,2,9,11,8e-05,0.00012,0.00011,4561,13817,4564,13817,18381,0.18256,0.184226666666667,0.18381,2,3,5,8e-05,4e-05,5e-05,1934,5798,7732,0.07736,0.0773066666666667,0.07732,1936,5801,1,0,0.000516528925619835,0,0,0,0,0,1,0,0.000516528925619835,0,-0.5,-0.486429760440038,-0.48545270319172,0.5,0.499655053466713,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",7,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"9",9,10,34,44,4e-04,0.000453333333333333,0.00044,9,27,3,12,15,0.00012,0.00016,0.00015,3787,11413,15200,0.15148,0.152173333333333,0.152,2,2,1,1,20013,59936,4,12,16,0.00016,0.00016,0.00016,4976,15029,4978,15031,20009,0.19912,0.200413333333333,0.20009,2,3,5,8e-05,4e-05,5e-05,2109,6275,8384,0.08436,0.0836666666666667,0.08384,2111,6278,1,0,0.000473709142586452,0,0,0,0,0,1,0,0.000473709142586452,0,0,0.00645332978511071,0.00672034067469562,0.5,0.495856573705179,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",8,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
"10",10,13,42,55,0.00052,0.00056,0.00055,12,36,5,12,17,2e-04,0.00016,0.00017,3808,11392,15200,0.15232,0.151893333333333,0.152,3,3,2,2,19570,58631,6,13,19,0.00024,0.000173333333333333,0.00019,5416,16325,5417,16327,21744,0.21668,0.217693333333333,0.21744,3,3,6,0.00012,4e-05,6e-05,2311,6833,9144,0.09244,0.0911066666666667,0.09144,2314,6836,1,0,0.000432152117545376,0,0,0,0,0,1,0,0.000432152117545376,0,0.277777777777778,0.281139625569098,0.2811842776927,0.666666666666667,0.661788379920972,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",9,TRUE,"equal",0.0396703472555609,0.0413616946834609,0.0119549914503174,0.0260757133899429,0.00299425758818708,-0.0292507188892634,0.0066252220209333,0.0310569580804132,0.16835,0.36441,0.57311,51,59,0.1,0.2,0.1,38,744124184,6.00524
