"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"220",220,220,878,2384,3262,0.03512,0.0317866666666667,0.03262,4192,11187,430,1090,1520,0.0172,0.0145333333333333,0.0152,3841,11359,15200,0.15364,0.151453333333333,0.152,145,384,68,169,368,1176,2559,6830,9389,0.10236,0.0910666666666667,0.09389,20438,62629,22047,66903,88950,0.88188,0.89204,0.8895,1466,3955,5421,0.05864,0.0527333333333333,0.05421,16460,49489,65949,0.6584,0.659853333333333,0.65949,17926,53444,177,471,0.00987392614080107,0.00881296310156425,163,440,0.00909293763248912,0.00823291669785196,340,911,0.0189668637732902,0.0170458797994162,0.110329555816074,0.120462567466794,0.129009666213843,0.100727603456116,0.102708259586232,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",219,TRUE,"equal",-0.000727603456116416,-0.00270825958623175,0.00960195235995753,0.0177543078805626,-0.00941475826972013,-0.014604481519711,-0.0162537458841521,-0.00995767125717906,0.09389,0.11515,0.22472,219,233,0.1,0.2,0.03,1,811731804,6.00488
"771",771,771,878,2384,3262,0.03512,0.0317866666666667,0.03262,4192,11187,430,1090,1520,0.0172,0.0145333333333333,0.0152,3841,11359,15200,0.15364,0.151453333333333,0.152,145,384,68,169,368,1176,2559,6830,9389,0.10236,0.0910666666666667,0.09389,20438,62629,22047,66903,88950,0.88188,0.89204,0.8895,846,3955,4801,0.03384,0.0527333333333333,0.04801,12523,49489,62012,0.50092,0.659853333333333,0.62012,13369,53444,105,471,0.00785399057521131,0.00881296310156425,148,440,0.0110703867155359,0.00823291669785196,253,911,0.0189243772907473,0.0170458797994162,0.110329555816074,0.120462567466794,0.129009666213843,-0.558313632781718,-0.18297570914701,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",219,TRUE,"modUnequal",0.658313632781718,0.28297570914701,0.668643188597792,0.303438276613804,0.664495530012771,0.308719012944496,0.657656542398339,0.313365823207028,0.09389,0.11515,0.22472,219,233,0.1,0.2,0.03,1,811731804,6.00488
"1322",1322,1322,878,2384,3262,0.03512,0.0317866666666667,0.03262,4192,11187,430,1090,1520,0.0172,0.0145333333333333,0.0152,3841,11359,15200,0.15364,0.151453333333333,0.152,145,384,68,169,368,1176,2559,6830,9389,0.10236,0.0910666666666667,0.09389,20438,62629,22047,66903,88950,0.88188,0.89204,0.8895,628,3955,4583,0.02512,0.0527333333333333,0.04583,11238,49489,60727,0.44952,0.659853333333333,0.60727,11866,53444,87,471,0.00733187257711107,0.00881296310156425,149,440,0.0125568852182707,0.00823291669785196,236,911,0.0198887577953818,0.0170458797994162,0.110329555816074,0.120462567466794,0.129009666213843,-1.09925690021231,-0.430102591156782,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",219,TRUE,"highUnequal",1.19925690021231,0.530102591156782,1.20958645602839,0.550565158623576,1.21297973264338,0.579861233891906,1.20614074502895,0.584508044154438,0.09389,0.11515,0.22472,219,233,0.1,0.2,0.03,1,811731804,6.00488
"1857",204,204,844,2186,3030,0.03376,0.0291466666666667,0.0303,3712,9924,392,1001,1393,0.01568,0.0133466666666667,0.01393,3747,11453,15200,0.14988,0.152706666666667,0.152,123,341,62,155,538,1654,2270,5995,8265,0.0908,0.0799333333333333,0.08265,20748,63414,22161,67245,89406,0.88644,0.8966,0.89406,1328,3489,4817,0.05312,0.04652,0.04817,16176,48814,64990,0.64704,0.650853333333333,0.6499,17504,52303,149,443,0.00851234003656307,0.00846987744488844,158,406,0.00902650822669104,0.00776246104429956,307,849,0.0175388482632541,0.016232338489188,0.119676945668135,0.12965250024321,0.135919068441786,0.124246987951807,0.129378002854208,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",203,TRUE,"equal",-0.0242469879518072,-0.0293780028542079,-0.00457004228367197,0.000274497389001649,-0.0241765480895915,-0.0343285922579631,-0.00822179872349049,-0.00192674269679727,0.08265,0.12483,0.23089,203,230,0.1,0.2,0.03,10,960152285,6.00544
"2408",755,755,844,2186,3030,0.03376,0.0291466666666667,0.0303,3712,9924,392,1001,1393,0.01568,0.0133466666666667,0.01393,3747,11453,15200,0.14988,0.152706666666667,0.152,123,341,62,155,538,1654,2270,5995,8265,0.0908,0.0799333333333333,0.08265,20748,63414,22161,67245,89406,0.88644,0.8966,0.89406,741,3489,4230,0.02964,0.04652,0.0423,12027,48814,60841,0.48108,0.650853333333333,0.60841,12768,52303,82,443,0.00642230576441103,0.00846987744488844,146,406,0.0114348370927318,0.00776246104429956,228,849,0.0178571428571429,0.016232338489188,0.119676945668135,0.12965250024321,0.135919068441786,-0.569500674763833,-0.160100664689512,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",203,TRUE,"modUnequal",0.669500674763833,0.260100664689512,0.689177620431968,0.289753164932722,0.694124700239808,0.323651782615629,0.71007944960591,0.356053632176794,0.08265,0.12483,0.23089,203,230,0.1,0.2,0.03,10,960152285,6.00544
"2959",1306,1306,844,2186,3030,0.03376,0.0291466666666667,0.0303,3712,9924,392,1001,1393,0.01568,0.0133466666666667,0.01393,3747,11453,15200,0.14988,0.152706666666667,0.152,123,341,62,155,538,1654,2270,5995,8265,0.0908,0.0799333333333333,0.08265,20748,63414,22161,67245,89406,0.88644,0.8966,0.89406,556,3489,4045,0.02224,0.04652,0.04045,10726,48814,59540,0.42904,0.650853333333333,0.5954,11282,52303,58,443,0.0051409324587839,0.00846987744488844,161,406,0.0142705194114519,0.00776246104429956,219,849,0.0194114518702358,0.016232338489188,0.119676945668135,0.12965250024321,0.135919068441786,-1.09172661870504,-0.378858096789664,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",203,TRUE,"highUnequal",1.19172661870504,0.478858096789664,1.21140356437317,0.508510597032873,1.18549019607843,0.555654143339213,1.20144494544453,0.588055992900379,0.08265,0.12483,0.23089,203,230,0.1,0.2,0.03,10,960152285,6.00544
"3582",276,276,521,1501,2022,0.02084,0.0200133333333333,0.02022,2106,5892,227,639,866,0.00908,0.00852,0.00866,3866,11334,15200,0.15464,0.15112,0.152,80,246,27,96,145,478,1195,3491,4686,0.0478,0.0465466666666667,0.04686,22746,68623,23656,71009,94665,0.94624,0.946786666666667,0.94665,703,1970,2673,0.02812,0.0262666666666667,0.02673,18259,54835,73094,0.73036,0.731133333333333,0.73094,18962,56805,103,238,0.00543191646450796,0.00418977202711029,89,228,0.00469359772175931,0.00401373118563507,192,466,0.0101255141862673,0.00820350321274536,0.0262203626220363,0.0267826148032033,0.0316836207190374,0.0659080132764343,0.0668960197545955,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",275,TRUE,"equal",0.0340919867235658,0.0331039802454045,-0.0396876506543979,-0.0401134049513922,0.0068901303538175,-0.00158032571061248,-0.0174912163877777,-0.0153721413755731,0.04686,0.12757,0.22368,275,333,0.1,0.2,0.03,100,879947773,6.00514
"4133",827,827,521,1501,2022,0.02084,0.0200133333333333,0.02022,2106,5892,227,639,866,0.00908,0.00852,0.00866,3866,11334,15200,0.15464,0.15112,0.152,80,246,27,96,145,478,1195,3491,4686,0.0478,0.0465466666666667,0.04686,22746,68623,23656,71009,94665,0.94624,0.946786666666667,0.94665,401,1970,2371,0.01604,0.0262666666666667,0.02371,14484,54835,69319,0.57936,0.731133333333333,0.69319,14885,56805,63,238,0.00423244877393349,0.00418977202711029,89,228,0.00597917366476318,0.00401373118563507,152,466,0.0102116224386967,0.00820350321274536,0.0262203626220363,0.0267826148032033,0.0316836207190374,-0.637572734829593,-0.297634913354891,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",275,TRUE,"modUnequal",0.737572734829593,0.397634913354891,0.663793097451629,0.324417528158095,0.628824200913242,0.378892622141198,0.604442854171647,0.365100806476237,0.04686,0.12757,0.22368,275,333,0.1,0.2,0.03,100,879947773,6.00514
"4684",1378,1378,521,1501,2022,0.02084,0.0200133333333333,0.02022,2106,5892,227,639,866,0.00908,0.00852,0.00866,3866,11334,15200,0.15464,0.15112,0.152,80,246,27,96,145,478,1195,3491,4686,0.0478,0.0465466666666667,0.04686,22746,68623,23656,71009,94665,0.94624,0.946786666666667,0.94665,329,1970,2299,0.01316,0.0262666666666667,0.02299,13197,54835,68032,0.52788,0.731133333333333,0.68032,13526,56805,47,238,0.0034747892946917,0.00418977202711029,87,228,0.00643205677953571,0.00401373118563507,134,466,0.00990684607422741,0.00820350321274536,0.0262203626220363,0.0267826148032033,0.0316836207190374,-0.995947315096251,-0.441078693388815,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",275,TRUE,"highUnequal",1.09594731509625,0.541078693388815,1.02216767771829,0.467861308192019,1.15249042145594,0.720757330704236,1.12810907471434,0.706965515039276,0.04686,0.12757,0.22368,275,333,0.1,0.2,0.03,100,879947773,6.00514
"5123",164,164,456,1241,1697,0.01824,0.0165466666666667,0.01697,1621,4333,189,558,747,0.00756,0.00744,0.00747,3777,11423,15200,0.15108,0.152306666666667,0.152,68,205,30,90,1110,3496,924,2554,3478,0.03696,0.0340533333333333,0.03478,22264,67166,22924,68862,91786,0.91696,0.91816,0.91786,545,1494,2039,0.0218,0.01992,0.02039,15631,46858,62489,0.62524,0.624773333333333,0.62489,16176,48352,75,181,0.00463649851632047,0.0037433818663137,52,142,0.00321463897131553,0.00293679682329583,127,323,0.007851137487636,0.00668017868960953,0.0786435786435787,0.0798477562440271,0.0837739615990517,0.0862385321100917,0.0855560093524806,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",163,TRUE,"equal",0.0137614678899083,0.0144439906475194,-0.00759495346651295,-0.00570825310845358,0.00803943875616234,0.00206525171256758,0.00480651367616669,0.00899739374037845,0.03478,0.11207,0.21808,163,224,0.1,0.2,0.03,11,97406114,6.00506
"5674",715,715,456,1241,1697,0.01824,0.0165466666666667,0.01697,1621,4333,189,558,747,0.00756,0.00744,0.00747,3777,11423,15200,0.15108,0.152306666666667,0.152,68,205,30,90,1110,3496,924,2554,3478,0.03696,0.0340533333333333,0.03478,22264,67166,22924,68862,91786,0.91696,0.91816,0.91786,300,1494,1794,0.012,0.01992,0.01794,11187,46858,58045,0.44748,0.624773333333333,0.58045,11487,48352,27,181,0.00235048315487072,0.0037433818663137,62,142,0.00539740576303648,0.00293679682329583,89,323,0.0077478889179072,0.00668017868960953,0.0786435786435787,0.0798477562440271,0.0837739615990517,-0.66,-0.188938068206069,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",163,TRUE,"modUnequal",0.76,0.288938068206069,0.738643578643579,0.268785824450096,0.637893384714194,0.283257563466192,0.634660459634198,0.290189705494003,0.03478,0.11207,0.21808,163,224,0.1,0.2,0.03,11,97406114,6.00506
"6225",1266,1266,456,1241,1697,0.01824,0.0165466666666667,0.01697,1621,4333,189,558,747,0.00756,0.00744,0.00747,3777,11423,15200,0.15108,0.152306666666667,0.152,68,205,30,90,1110,3496,924,2554,3478,0.03696,0.0340533333333333,0.03478,22264,67166,22924,68862,91786,0.91696,0.91816,0.91786,202,1494,1696,0.00808,0.01992,0.01696,9474,46858,56332,0.37896,0.624773333333333,0.56332,9676,48352,22,181,0.00227366680446465,0.0037433818663137,57,142,0.0058908639933857,0.00293679682329583,79,323,0.00816453079785035,0.00668017868960953,0.0786435786435787,0.0798477562440271,0.0837739615990517,-1.46534653465347,-0.495370677534696,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",163,TRUE,"highUnequal",1.56534653465347,0.595370677534696,1.54399011329704,0.575218433778723,1.26598824061511,0.589287877341498,1.26275531553511,0.596220019369309,0.03478,0.11207,0.21808,163,224,0.1,0.2,0.03,11,97406114,6.00506
"6903",291,291,869,2352,3221,0.03476,0.03136,0.03221,4428,12075,383,1070,1453,0.01532,0.0142666666666667,0.01453,3713,11487,15200,0.14852,0.15316,0.152,130,369,49,165,122,322,2694,7400,10094,0.10776,0.0986666666666667,0.10094,20448,62595,22179,67254,89433,0.88716,0.89672,0.89433,1567,4408,5975,0.06268,0.0587733333333333,0.05975,17720,53197,70917,0.7088,0.709293333333333,0.70917,19287,57605,191,520,0.00990304350080365,0.00902699418453259,172,508,0.0089179239902525,0.0088186789341203,363,1028,0.0188209674910562,0.0178456731186529,0.0843850532046523,0.0941464936669633,0.102684187295889,0.0623271644330994,0.0629793420919141,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",290,TRUE,"equal",0.0376728355669006,0.0370206579080859,0.0220578887715529,0.0311671515750491,0.0195999230621271,0.0162935663935494,0.0147740357034887,0.0236644043962652,0.10094,0.11058,0.22252,290,296,0.1,0.2,0.03,12,263978969,6.00562
"7454",842,842,869,2352,3221,0.03476,0.03136,0.03221,4428,12075,383,1070,1453,0.01532,0.0142666666666667,0.01453,3713,11487,15200,0.14852,0.15316,0.152,130,369,49,165,122,322,2694,7400,10094,0.10776,0.0986666666666667,0.10094,20448,62595,22179,67254,89433,0.88716,0.89672,0.89433,944,4408,5352,0.03776,0.0587733333333333,0.05352,14161,53197,67358,0.56644,0.709293333333333,0.67358,15105,57605,109,520,0.00721615359152598,0.00902699418453259,183,508,0.0121151936444886,0.0088186789341203,292,1028,0.0193313472360146,0.0178456731186529,0.0843850532046523,0.0941464936669633,0.102684187295889,-0.556497175141243,-0.243015010085633,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",290,TRUE,"modUnequal",0.656497175141243,0.343015010085633,0.640882228345895,0.337161503752596,0.642755727654082,0.340030247070038,0.637929840295443,0.347401085072754,0.10094,0.11058,0.22252,290,296,0.1,0.2,0.03,12,263978969,6.00562
"8005",1393,1393,869,2352,3221,0.03476,0.03136,0.03221,4428,12075,383,1070,1453,0.01532,0.0142666666666667,0.01453,3713,11487,15200,0.14852,0.15316,0.152,130,369,49,165,122,322,2694,7400,10094,0.10776,0.0986666666666667,0.10094,20448,62595,22179,67254,89433,0.88716,0.89672,0.89433,708,4408,5116,0.02832,0.0587733333333333,0.05116,13149,53197,66346,0.52596,0.709293333333333,0.66346,13857,57605,77,520,0.00555675831709605,0.00902699418453259,158,508,0.0114021794039114,0.0088186789341203,235,1028,0.0169589377210074,0.0178456731186529,0.0843850532046523,0.0941464936669633,0.102684187295889,-1.07532956685499,-0.53891244663663,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",290,TRUE,"highUnequal",1.17532956685499,0.63891244663663,1.15971462005964,0.633058940303593,1.17508680555556,0.65482098541749,1.17026091819692,0.662191823420206,0.10094,0.11058,0.22252,290,296,0.1,0.2,0.03,12,263978969,6.00562
