"","V1","X","Covid_infect_unvac","Covid_infect_vac","Covid_infect","Covid_propInfect_unvac","Covid_propInfect_vac","Covid_propInfect","Covid_cumInfect_unvac","Covid_cumInfect_vac","Covid_symptInfect_unvac","Covid_symptInfect_vac","Covid_symptInfect","Covid_propSymptInfect_unvac","Covid_propSymptInfect_vac","Covid_propSymptInfect","NonCovid_symptInfect_unvac","NonCovid_symptInfect_vac","NonCovid_symptInfect","NonCovid_propSymptInfect_unvac","NonCovid_propSymptInfect_vac","NonCovid_propSymptInfect","CoInfect_unvac","CoInfect_vac","Sympt_coInfect_unvac","Sympt_coInfect_vac","NeverInfect_unvac","NeverInfect_vac","Covid_cumSymptInfect_unvac","Covid_cumSymptInfect_vac","Covid_cumSymptInfect","Covid_cumPropSymptInfect_unvac","Covid_cumPropSymptInfect_vac","Covid_cumPropSymptInfect","NonCovid_cumSymptInfect_covidSusc_unvac","NonCovid_cumSymptInfect_covidSusc_vac","NonCovid_cumSymptInfect_unvac","NonCovid_cumSymptInfect_vac","NonCovid_cumSymptInfect","NonCovid_cumPropSymptInfect_unvac","NonCovid_cumPropSymptInfect_vac","NonCovid_cumPropSymptInfect","Covid_cumSymptExpInfect_tested_unvac","Covid_cumSymptExpInfect_tested_vac","Covid_cumSymptExpInfect_tested","Covid_cumPropSymptExpInfect_tested_unvac","Covid_cumPropSymptExpInfect_tested_vac","Covid_cumPropSymptExpInfect_tested","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","NonCovid_cumSymptInfect_tested","NonCovid_cumPropSymptInfect_tested_unvac","NonCovid_cumPropSymptInfect_tested_vac","NonCovid_cumPropSymptInfect_tested","EverTested_unvac","EverTested_vac","CumNum_falsePos_unvac","CumNum_falsePos_vac","CumProp_falsePos_unvac","CumProp_falsePos_vac","CumNum_falseNeg_unvac","CumNum_falseNeg_vac","CumProp_falseNeg_unvac","CumProp_falseNeg_vac","CumNum_misclass_unvac","CumNum_misclass_vac","CumProp_misclass_unvac","CumProp_misclass_vac","VE_symptRR","VE_symptOR","VE_symptSuscOR","VE_symptRR_observed","VE_symptOR_observed","Label_veSusc","Label_veInfect","Label_veJoint","t","TestedStarted_bin","Label_testingDiff","VE_symptRR_degUnder_highChange_trueVeff","VE_symptOR_degUnder_highChange_trueVeff","VE_symptRR_degUnder_highChange_targEst","VE_symptOR_degUnder_highChange_targEst","VE_symptRR_degUnder_peak_trueVeff","VE_symptOR_degUnder_peak_trueVeff","VE_symptRR_degUnder_peak_targEst","VE_symptOR_degUnder_peak_targEst","Covid_cumPropSymptInfect_highChange","Covid_cumPropSymptInfect_peak","Covid_cumPropSymptInfect_final","t_highChange","t_peak","VE_susc","VE_infect","Covid_probTrans","Epi_simNum","Seed_num","Avg_numContacts"
"49",49,49,10455,27878,38333,0.4182,0.371706666666667,0.38333,12784,34115,4033,10717,14750,0.16132,0.142893333333333,0.1475,3809,11391,15200,0.15236,0.15188,0.152,1644,4239,620,1587,4811,15762,5522,14806,20328,0.22088,0.197413333333333,0.20328,7404,25114,11909,36901,48810,0.47636,0.492013333333333,0.4881,2601,6926,9527,0.10404,0.0923466666666667,0.09527,6669,20697,27366,0.26676,0.27596,0.27366,9270,27623,464,1155,0.0500539374325782,0.0418129819353437,23,61,0.00248112189859763,0.00220830467364153,487,1216,0.0525350593311758,0.0440212866089853,0.106241699867198,0.134676491454307,0.209518222403846,0.112392669486095,0.141983869082877,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",48,TRUE,"equal",-0.012392669486095,-0.041983869082877,-0.00615096961889716,-0.00730737762857003,-0.0234031841923101,-0.0868625137290794,-0.00922642331299195,-0.00382437347613118,0.20328,0.38045,0.573,48,55,0.1,0.2,0.1,1,355862870,6.00502
"200",200,200,10455,27878,38333,0.4182,0.371706666666667,0.38333,12784,34115,4033,10717,14750,0.16132,0.142893333333333,0.1475,3809,11391,15200,0.15236,0.15188,0.152,1644,4239,620,1587,4811,15762,5522,14806,20328,0.22088,0.197413333333333,0.20328,7404,25114,11909,36901,48810,0.47636,0.492013333333333,0.4881,1349,6926,8275,0.05396,0.0923466666666667,0.08275,4271,20697,24968,0.17084,0.27596,0.24968,5620,27623,204,1155,0.0362989323843416,0.0418129819353437,27,61,0.00480427046263345,0.00220830467364153,231,1216,0.0411032028469751,0.0440212866089853,0.106241699867198,0.134676491454307,0.209518222403846,-0.711391153941191,-0.0594798693263991,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",48,TRUE,"modUnequal",0.811391153941191,0.159479869326399,0.817632853808389,0.194156360780706,0.705578607653296,0.127957174501417,0.719755368532614,0.210995314754365,0.20328,0.38045,0.573,48,55,0.1,0.2,0.1,1,355862870,6.00502
"351",351,351,10455,27878,38333,0.4182,0.371706666666667,0.38333,12784,34115,4033,10717,14750,0.16132,0.142893333333333,0.1475,3809,11391,15200,0.15236,0.15188,0.152,1644,4239,620,1587,4811,15762,5522,14806,20328,0.22088,0.197413333333333,0.20328,7404,25114,11909,36901,48810,0.47636,0.492013333333333,0.4881,1015,6926,7941,0.0406,0.0923466666666667,0.07941,3283,20697,23980,0.13132,0.27596,0.2398,4298,27623,183,1155,0.042577943229409,0.0418129819353437,23,61,0.00535132619823174,0.00220830467364153,206,1216,0.0479292694276408,0.0440212866089853,0.106241699867198,0.134676491454307,0.209518222403846,-1.27454844006568,-0.0823804216169925,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",48,TRUE,"highUnequal",1.37454844006568,0.182380421616993,1.38079013993288,0.217056913071299,1.29335537710597,0.223279185758244,1.30753213798529,0.306317326011192,0.20328,0.38045,0.573,48,55,0.1,0.2,0.1,1,355862870,6.00502
"506",53,53,9711,26259,35970,0.38844,0.35012,0.3597,11850,32142,3732,9986,13718,0.14928,0.133146666666667,0.13718,3771,11429,15200,0.15084,0.152386666666667,0.152,1431,4028,560,1494,4634,15493,5111,13815,18926,0.20444,0.1842,0.18926,8512,27359,12820,39089,51909,0.5128,0.521186666666667,0.51909,2352,6506,8858,0.09408,0.0867466666666667,0.08858,7299,22262,29561,0.29196,0.296826666666667,0.29561,9651,28768,382,1140,0.0395813905294788,0.0396273637374861,23,76,0.00238317272821469,0.00264182424916574,405,1216,0.0419645632576935,0.0422691879866518,0.0990021522207005,0.113500544255625,0.159037938488534,0.0779478458049886,0.0930654918512189,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",52,TRUE,"equal",0.0220521541950114,0.00693450814878108,0.0210543064157119,0.0204350524044065,0.0117849284928492,-0.0231582159483471,0.0086119499872197,0.016855473011967,0.18926,0.36242,0.57343,52,59,0.1,0.2,0.1,10,182265034,6.00462
"657",204,204,9711,26259,35970,0.38844,0.35012,0.3597,11850,32142,3732,9986,13718,0.14928,0.133146666666667,0.13718,3771,11429,15200,0.15084,0.152386666666667,0.152,1431,4028,560,1494,4634,15493,5111,13815,18926,0.20444,0.1842,0.18926,8512,27359,12820,39089,51909,0.5128,0.521186666666667,0.51909,1280,6506,7786,0.0512,0.0867466666666667,0.07786,4639,22262,26901,0.18556,0.296826666666667,0.26901,5919,28768,197,1140,0.0332826490961311,0.0396273637374861,23,76,0.00388579151883764,0.00264182424916574,220,1216,0.0371684406149687,0.0422691879866518,0.0990021522207005,0.113500544255625,0.159037938488534,-0.694270833333333,-0.0591666151962986,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",52,TRUE,"modUnequal",0.794270833333333,0.159166615196299,0.793272985554034,0.172667159451924,0.725122549019608,0.157565583644732,0.721949570513978,0.197579272605046,0.18926,0.36242,0.57343,52,59,0.1,0.2,0.1,10,182265034,6.00462
"808",355,355,9711,26259,35970,0.38844,0.35012,0.3597,11850,32142,3732,9986,13718,0.14928,0.133146666666667,0.13718,3771,11429,15200,0.15084,0.152386666666667,0.152,1431,4028,560,1494,4634,15493,5111,13815,18926,0.20444,0.1842,0.18926,8512,27359,12820,39089,51909,0.5128,0.521186666666667,0.51909,921,6506,7427,0.03684,0.0867466666666667,0.07427,3689,22262,25951,0.14756,0.296826666666667,0.25951,4610,28768,147,1140,0.0318872017353579,0.0396273637374861,21,76,0.00455531453362256,0.00264182424916574,168,1216,0.0364425162689805,0.0422691879866518,0.0990021522207005,0.113500544255625,0.159037938488534,-1.35468693449149,-0.170574086066722,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",52,TRUE,"highUnequal",1.45468693449149,0.270574086066722,1.4536890867122,0.284074630322348,1.41795140709666,0.35921517686447,1.41477842859103,0.399228865824784,0.18926,0.36242,0.57343,52,59,0.1,0.2,0.1,10,182265034,6.00462
"960",54,54,10257,27793,38050,0.41028,0.370573333333333,0.3805,12625,34061,3934,10781,14715,0.15736,0.143746666666667,0.14715,3859,11341,15200,0.15436,0.151213333333333,0.152,1543,4207,577,1631,4373,14719,5495,14862,20357,0.2198,0.19816,0.20357,7999,26213,12548,38696,51244,0.50192,0.515946666666667,0.51244,2578,7107,9685,0.10312,0.09476,0.09685,7249,22038,29287,0.28996,0.29384,0.29287,9827,29145,450,1210,0.0457922051490791,0.0415165551552582,32,78,0.00325633458837896,0.00267627380339681,482,1288,0.049048539737458,0.044192828958655,0.0984531392174703,0.122962837830847,0.174668293663512,0.0810705973622964,0.0932045685106571,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",53,TRUE,"equal",0.0189294026377036,0.00679543148934295,0.017382541855174,0.02975826932019,0.0209376241557409,-0.0144294996022811,0.0211686762563624,0.0477256048018081,0.20357,0.37892,0.5717,53,60,0.1,0.2,0.1,100,912133022,6.00518
"1111",205,205,10257,27793,38050,0.41028,0.370573333333333,0.3805,12625,34061,3934,10781,14715,0.15736,0.143746666666667,0.14715,3859,11341,15200,0.15436,0.151213333333333,0.152,1543,4207,577,1631,4373,14719,5495,14862,20357,0.2198,0.19816,0.20357,7999,26213,12548,38696,51244,0.50192,0.515946666666667,0.51244,1398,7107,8505,0.05592,0.09476,0.08505,4579,22038,26617,0.18316,0.29384,0.26617,5977,29145,234,1210,0.0391500752886063,0.0415165551552582,27,78,0.00451731637945458,0.00267627380339681,261,1288,0.0436673916680609,0.044192828958655,0.0984531392174703,0.122962837830847,0.174668293663512,-0.694563662374821,-0.0562764783575151,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",53,TRUE,"modUnequal",0.794563662374821,0.156276478357515,0.793016801592292,0.179239316188362,0.743971631205674,0.158117211073867,0.744202683306295,0.220272315477956,0.20357,0.37892,0.5717,53,60,0.1,0.2,0.1,100,912133022,6.00518
"1262",356,356,10257,27793,38050,0.41028,0.370573333333333,0.3805,12625,34061,3934,10781,14715,0.15736,0.143746666666667,0.14715,3859,11341,15200,0.15436,0.151213333333333,0.152,1543,4207,577,1631,4373,14719,5495,14862,20357,0.2198,0.19816,0.20357,7999,26213,12548,38696,51244,0.50192,0.515946666666667,0.51244,1019,7107,8126,0.04076,0.09476,0.08126,3653,22038,25691,0.14612,0.29384,0.25691,4672,29145,162,1210,0.0346746575342466,0.0415165551552582,31,78,0.00663527397260274,0.00267627380339681,193,1288,0.0413099315068493,0.044192828958655,0.0984531392174703,0.122962837830847,0.174668293663512,-1.32482826300294,-0.156084623570617,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",53,TRUE,"highUnequal",1.42482826300294,0.256084623570617,1.42328140222041,0.279047461401464,1.31818181818182,0.285892184622151,1.31841287028244,0.34804728902624,0.20357,0.37892,0.5717,53,60,0.1,0.2,0.1,100,912133022,6.00518
"1411",52,52,10875,29488,40363,0.435,0.393173333333333,0.40363,13598,36612,4330,11428,15758,0.1732,0.152373333333333,0.15758,3775,11425,15200,0.151,0.152333333333333,0.152,1668,4457,677,1789,4096,14214,6136,16108,22244,0.24544,0.214773333333333,0.22244,7301,24169,11980,36990,48970,0.4792,0.4932,0.4897,2874,7747,10621,0.11496,0.103293333333333,0.10621,6892,21082,27974,0.27568,0.281093333333333,0.27974,9766,28829,459,1258,0.046999795207864,0.043636615907593,37,98,0.0037886545156666,0.00339935481633078,496,1356,0.0507884497235306,0.0470359707239238,0.124945675793133,0.149785011841179,0.206987675820142,0.1014845743447,0.118788305623328,"VE Susc.= 0.1","VE Infect.= 0.2","VE Susc.= 0.1 VE Infect.= 0.2",51,TRUE,"equal",-0.00148457434469959,-0.0187883056233283,0.0234611014484337,0.0309967062178508,0.0102081268582756,-0.0255029813416755,0.0161170393042904,0.027819212143926,0.22244,0.37515,0.57292,51,57,0.1,0.2,0.1,11,510004107,6.00512
