"","VE_susc","Label_testingDiff","t","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5."
"1",0.55,"equal",30,0.28657407405,0.550862069,0.704904473725,0.28666566665,0.550970438,0.7051021326,-1.221152428625,-0.8006685825,-0.337889006,14.475,34.5,62,21.475,48.5,82
"2",0.55,"equal",31,0.29245833335,0.544287548,0.69960317435,0.292565876175,0.54441048,0.6998242291,-1.203393622925,-0.786163603,-0.34611142445,17.425,40,68.05,24.475,54.5,91
"3",0.55,"equal",32,0.315833333175,0.5483796295,0.699515504025,0.3160010325,0.548582237,0.6996701353,-1.2030886362,-0.7953622105,-0.38009451685,20.425,44.5,74.05,27.95,60,101.05
"4",0.55,"equal",33,0.298511904675,0.541666667,0.705208333175,0.298575425675,0.5420276105,0.705488866025,-1.222502485125,-0.7809463835,-0.355127517325001,22.475,48,81.575,31.95,66,113.1
"5",0.55,"equal",34,0.3315559437,0.545454545,0.700663998325,0.331709862375,0.545673257,0.7009701403,-1.2077862939,-0.788938646,-0.403323542225,25.475,53,90.625,34.95,73.5,127.575
"6",0.55,"equal",35,0.353280141675,0.549509804,0.689049394225,0.35340537505,0.549887362,0.689255001775,-1.169623571625,-0.7982579015,-0.43607877475,28.475,60,100,37.9,81.5,138.525
"7",0.55,"equal",36,0.3574494952,0.5547385625,0.67851643355,0.357635239225,0.555022636,0.67890761765,-1.13606158525,-0.8097334725,-0.44264051045,30.475,66.5,117.575,43.425,88.5,154.625
"8",0.55,"equal",37,0.3619907407,0.557741092,0.6808725846,0.3621619989,0.5583370445,0.681173931875,-1.1431099448,-0.8172093805,-0.44967200575,33,73,131.1,47.475,98,168.575
"9",0.55,"equal",38,0.391567460625,0.556565657,0.66647590625,0.391762639625,0.557057129,0.66690021165,-1.099510120275,-0.8143172505,-0.497402674275,34.95,81,143.05,53.425,109,188.1
"10",0.55,"equal",39,0.376059236975,0.560033969,0.647910334675,0.376344846475,0.5605081065,0.648266127925,-1.04497457825,-0.8221462085,-0.47221827705,38.95,89,161,62.95,120,206.15
"11",0.55,"equal",40,0.390997474725,0.558569705,0.6381003584,0.391298870675,0.5593165235,0.63880630615,-1.0183428432,-0.8194284535,-0.496561323075,43.475,101.5,181.625,68.95,134,229.525
"12",0.55,"equal",41,0.397964943175,0.5585239155,0.638182841925,0.398385543075,0.5590848955,0.63883828585,-1.01845546615,-0.818908227,-0.508139189075,51,112,200.15,77.475,151,254
"13",0.55,"equal",42,0.4199115046,0.548830397,0.6376190476,0.42044832455,0.5496235535,0.638249806425,-1.0168133889,-0.7976824765,-0.545501941125,56.95,124.5,217.625,82.475,165,281.775
"14",0.55,"equal",43,0.4204872157,0.55439929,0.6409605907,0.4210634915,0.5549294295,0.641733068175,-1.026523770975,-0.809523128,-0.546685274775,64.475,136,234.775,90.475,183.5,315.3
"15",0.55,"equal",44,0.432720588075,0.5508228905,0.63754037085,0.433173221825,0.551871923,0.638022463225,-1.016192304075,-0.802676776,-0.567704202425,70.85,148,262.625,99.95,203.5,348.525
"16",0.55,"equal",45,0.423966109625,0.555479788,0.6238203641,0.424502213225,0.5562433955,0.62432678885,-0.9790391281,-0.8124804935,-0.552748038525,78.475,164,290.625,109.325,221,386.525
"17",0.55,"equal",46,0.444467659,0.5559234735,0.630703976425,0.445027829125,0.5567199475,0.631466805025,-0.998236602075,-0.813553935,-0.588840321825,86.95,179.5,321.675,122.425,243,426.575
"18",0.55,"equal",47,0.448036649075,0.5518468155,0.627515540025,0.448839092975,0.5531192795,0.62860566125,-0.990490989625,-0.8054643085,-0.5957520718,96.375,196,353.525,133.475,270,468.15
