,VE_susc,Label_testingDiff,t,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR_timeDep.2.5.,VE_symptRR_timeDep.50.,VE_symptRR_timeDep.97.5.,VacStatus_coef_timeDep_VeRR.2.5.,VacStatus_coef_timeDep_VeRR.50.,VacStatus_coef_timeDep_VeRR.97.5.,Stats_sampleSizeCovid_unvac.2.5.,Stats_sampleSizeCovid_unvac.50.,Stats_sampleSizeCovid_unvac.97.5.,Stats_sampleSizeCovid_vac.2.5.,Stats_sampleSizeCovid_vac.50.,Stats_sampleSizeCovid_vac.97.5.
1,0.1,equal,30,-0.154351396,0.094591718,0.281648906,-0.154494088,0.094615299,0.282227265,-0.331824678,-0.099398154,0.143617477,62,108,171.575,161.7,299,476.55
2,0.1,equal,31,-0.159069001,0.088416634,0.270408951,-0.159329099,0.088705428,0.270750167,-0.316210274,-0.092890115,0.147801107,71,125,201.575,187.275,350.5,555.4
3,0.1,equal,32,-0.101027045,0.084920635,0.27472927,-0.101215591,0.085133567,0.275436679,-0.322206718,-0.088977221,0.096320715,90,149.5,251.825,222.8,406.5,651.875
4,0.1,equal,33,-0.078585185,0.094336022,0.250053419,-0.078763481,0.094533304,0.251073454,-0.289121983,-0.099307912,0.075807684,106,176.5,302.075,270.125,485.5,777.05
5,0.1,equal,34,-0.058127341,0.090292694,0.237579676,-0.058305856,0.090712121,0.238569725,-0.272665059,-0.095093608,0.056633307,125.425,207.5,353.7,312.95,565,903.675
6,0.1,equal,35,-0.027786737,0.101229688,0.227791572,-0.028162863,0.101609668,0.228889243,-0.259923604,-0.107150705,0.027765731,147.85,248.5,409.625,368.9,666,1069.925
7,0.1,equal,36,-0.033330507,0.105769561,0.223311152,-0.033572566,0.106370534,0.224850781,-0.254699731,-0.112464514,0.033017292,175.375,293,477.05,434.275,785.5,1243.55
8,0.1,equal,37,-0.029418756,0.107467655,0.20817035,-0.029845487,0.108014466,0.209752814,-0.235476548,-0.114305465,0.029338415,206.475,344,551.025,510.175,922.5,1467.825
9,0.1,equal,38,-0.024257698,0.097461686,0.197560191,-0.024446806,0.098124755,0.199364679,-0.222365834,-0.103279083,0.02413428,236.75,400.5,648.25,608.575,1087.5,1717.575
10,0.1,equal,39,-0.022577122,0.106429193,0.183988889,-0.022775389,0.107549294,0.18558439,-0.205285007,-0.113784001,0.022519776,276.375,469.5,749.525,715.725,1278.5,2001.525
11,0.1,equal,40,-0.010993986,0.10523117,0.175338221,-0.011058382,0.10583351,0.177132083,-0.194959857,-0.111863646,0.010997601,314.225,556,872.975,841.825,1497,2318.875
12,0.1,equal,41,0.020571494,0.09809242,0.166051368,0.020364227,0.099542906,0.167978642,-0.183897197,-0.104852794,-0.020599272,371.225,650.5,1018.7,975.575,1760,2691.5
13,0.1,equal,42,0.02521403,0.103082017,0.158611985,0.025821642,0.103894562,0.160908286,-0.175440165,-0.109698531,-0.02616104,435.125,753.5,1177.225,1156.725,2058.5,3137.75
14,0.1,equal,43,0.024620707,0.100028771,0.161114886,0.025390052,0.10116298,0.163011369,-0.177945504,-0.106654077,-0.025718059,510.75,880,1370.325,1357.225,2392,3594.7
15,0.1,equal,44,0.01830135,0.099879567,0.155283195,0.019084941,0.101888393,0.15820357,-0.172217733,-0.107461694,-0.019269587,601,1020,1584.15,1599.275,2787.5,4148.7
16,0.1,equal,45,0.02498287,0.096670914,0.154874857,0.025285447,0.09915515,0.158265317,-0.172290436,-0.104422269,-0.025643855,698.65,1183,1812.65,1859.775,3234,4769.1
17,0.1,equal,46,0.041407504,0.098084916,0.146979013,0.041687899,0.101095359,0.150648762,-0.163282894,-0.106578482,-0.042594997,810.275,1368,2071.4,2185.35,3736.5,5446.475
18,0.1,equal,47,0.048990635,0.099961472,0.139584088,0.049637646,0.102854146,0.143903211,-0.155371875,-0.108536829,-0.050913555,946.375,1582.5,2347,2546.375,4299,6182.075
19,0.1,equal,48,0.051195914,0.098927685,0.139917896,0.052622613,0.102443353,0.144949218,-0.156594471,-0.108079045,-0.054058023,1099.85,1825,2649.4,2963.2,4917,6986.075
20,0.1,equal,49,0.056988433,0.10093816,0.137203572,0.058703169,0.105364789,0.143359233,-0.154736637,-0.11133923,-0.06050397,1271.925,2076,2982.4,3411.575,5612.5,7887.375
