,VE_susc,Label_testingDiff,t,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptOR_timeDep.2.5.,VE_symptOR_timeDep.50.,VE_symptOR_timeDep.97.5.,Intercept_coef_timeDep_VeOR.2.5.,Intercept_coef_timeDep_VeOR.50.,Intercept_coef_timeDep_VeOR.97.5.,VacStatus_coef_timeDep_VeOR.2.5.,VacStatus_coef_timeDep_VeOR.50.,VacStatus_coef_timeDep_VeOR.97.5.,TimeStep_coef_timeDep_VeOR.2.5.,TimeStep_coef_timeDep_VeOR.50.,TimeStep_coef_timeDep_VeOR.97.5.,Stats_sampleSizeCovid_unvac.2.5.,Stats_sampleSizeCovid_unvac.50.,Stats_sampleSizeCovid_unvac.97.5.,Stats_sampleSizeCovid_vac.2.5.,Stats_sampleSizeCovid_vac.50.,Stats_sampleSizeCovid_vac.97.5.,Stats_sampleSizeNonCovid_unvac.2.5.,Stats_sampleSizeNonCovid_unvac.50.,Stats_sampleSizeNonCovid_unvac.97.5.,Stats_sampleSizeNonCovid_vac.2.5.,Stats_sampleSizeNonCovid_vac.50.,Stats_sampleSizeNonCovid_vac.97.5.
1,0.55,equal,30,0.288903719,0.548653363,0.706382146,0.29667673,0.54856358,0.708559722,-7.757017052,-6.884403523,-6.313883319,-1.233099609,-0.795362015,-0.351945484,0.063972532,0.092293851,0.122431425,14.475,34.5,62,21.475,48.5,82,5759,5884.5,6016.825,17500.95,17667,17868.25
2,0.55,equal,31,0.294875299,0.544070642,0.704050869,0.296786748,0.540673335,0.704407407,-7.700024989,-6.904889973,-6.258278406,-1.218774518,-0.777993704,-0.352275872,0.069344392,0.094238717,0.12067546,17.425,40,68.05,24.475,54.5,91,5897,6029.5,6146,17930.875,18108.5,18290.525
3,0.55,equal,32,0.318674828,0.549716338,0.702040893,0.322802312,0.546340459,0.701557591,-7.786723952,-6.886614091,-6.202591307,-1.209387464,-0.790408373,-0.389831389,0.068600983,0.094720374,0.120252493,20.425,44.5,74.05,27.95,60,101.05,6047.225,6170,6282.05,18384.075,18538.5,18714.525
4,0.55,equal,33,0.302752046,0.54547611,0.708501778,0.304842224,0.54642476,0.714017787,-7.839371547,-6.894410658,-6.227790893,-1.251923155,-0.790634041,-0.364500245,0.071090394,0.094641108,0.11500363,22.475,48,81.575,31.95,66,113.1,6183.375,6317.5,6422.575,18794.425,18968,19139.25
5,0.55,equal,34,0.326060169,0.545436462,0.704427981,0.328411594,0.54483647,0.705815829,-7.756886335,-6.86262026,-6.251258266,-1.224203827,-0.787099161,-0.398518754,0.071265753,0.094316857,0.11927222,25.475,53,90.625,34.95,73.5,127.575,6311.95,6455.5,6582.675,19220.225,19401,19553.15
6,0.55,equal,35,0.355284729,0.551339188,0.691467749,0.360220599,0.550768792,0.695616053,-7.828596954,-6.844792396,-6.158499553,-1.189779591,-0.800218689,-0.446657076,0.072068765,0.094902275,0.116894466,28.475,60,100,37.9,81.5,138.525,6455,6592,6711.25,19628.025,19817,19978.625
7,0.55,equal,36,0.348714942,0.558274725,0.683273549,0.344919876,0.55827208,0.688683585,-7.744680713,-6.815414621,-6.218156613,-1.167081698,-0.817062067,-0.423120773,0.0720915,0.094542043,0.115464537,30.475,66.5,117.575,43.425,88.5,154.625,6577.425,6732,6852.775,20040.325,20231.5,20390.8
8,0.55,equal,37,0.362882414,0.561277625,0.681028401,0.361152308,0.562722022,0.67941361,-7.750298615,-6.827935511,-6.191413657,-1.137714634,-0.827186319,-0.448106677,0.071486422,0.094404942,0.115124023,33,73,131.1,47.475,98,168.575,6726.75,6866.5,6986.875,20452.425,20636,20793.85
9,0.55,equal,38,0.392464073,0.557195149,0.671631292,0.398185994,0.55712665,0.671920836,-7.721946829,-6.826065988,-6.201763408,-1.114569576,-0.814472455,-0.507807308,0.075277033,0.095401332,0.113911656,34.95,81,143.05,53.425,109,188.1,6842.225,6995.5,7115.575,20852.475,21039,21208.775
10,0.55,equal,39,0.372702329,0.563987441,0.651166583,0.381788576,0.566045257,0.652655793,-7.65264991,-6.801244333,-6.208848753,-1.057457087,-0.834815144,-0.480992374,0.077540266,0.094468134,0.112376868,38.95,89,161,62.95,120,206.15,6970.275,7125.5,7235.825,21249.9,21430,21591.525
11,0.55,equal,40,0.388161676,0.558003594,0.64193665,0.394687871,0.563229353,0.644574853,-7.640182065,-6.79092456,-6.206775235,-1.034443435,-0.828347331,-0.502053653,0.075563008,0.094575911,0.110537636,43.475,101.5,181.625,68.95,134,229.525,7106.75,7250,7365.8,21631.8,21815,21974.575
12,0.55,equal,41,0.399062905,0.557227155,0.639589501,0.400551707,0.555869603,0.646998051,-7.707252841,-6.766166996,-6.16195127,-1.041299563,-0.811638767,-0.511754638,0.07558674,0.094651722,0.110130599,51,112,200.15,77.475,151,254,7228.65,7371,7499.975,21997.65,22203,22345.15
13,0.55,equal,42,0.414839453,0.54857204,0.641046448,0.414445876,0.551636984,0.647685784,-7.731595509,-6.775144217,-6.16293175,-1.043275595,-0.802152323,-0.535201144,0.078141592,0.09507386,0.108904181,56.95,124.5,217.625,82.475,165,281.775,7356.7,7496.5,7620.775,22376.8,22584.5,22727.1
14,0.55,equal,43,0.421325425,0.55844013,0.646951419,0.425954191,0.559118868,0.643260912,-7.690077569,-6.76826153,-6.14300239,-1.030768219,-0.818979999,-0.555227998,0.08078005,0.09529323,0.107326062,64.475,136,234.775,90.475,183.5,315.3,7465.125,7616,7745.1,22751.275,22952.5,23114.65
15,0.55,equal,44,0.438242356,0.553567621,0.639449965,0.436506765,0.558121244,0.637229662,-7.635839749,-6.74023941,-6.124828032,-1.014020248,-0.816719844,-0.573641022,0.078754968,0.094864535,0.105798707,70.85,148,262.625,99.95,203.5,348.525,7576.7,7733,7856.525,23116.95,23310,23482.775
16,0.55,equal,45,0.432670811,0.561180686,0.627081202,0.439615818,0.560369788,0.632237034,-7.609405898,-6.74808527,-6.155985115,-1.000316688,-0.821821485,-0.579463813,0.079695782,0.095059299,0.106021646,78.475,164,290.625,109.325,221,386.525,7688.9,7845,7962.675,23464.475,23672,23830.825
17,0.55,equal,46,0.444109623,0.559107921,0.632681125,0.449971366,0.55934889,0.633409989,-7.539865517,-6.704546143,-6.140626696,-1.003511948,-0.819504763,-0.597827528,0.081380568,0.094360611,0.105296807,86.95,179.5,321.675,122.425,243,426.575,7796,7962,8076.05,23810.475,24021,24186.25
