"","VE_susc","Label_testingDiff","t","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR_timeDep.2.5.","VE_symptOR_timeDep.50.","VE_symptOR_timeDep.97.5.","Intercept_coef_timeDep_VeOR.2.5.","Intercept_coef_timeDep_VeOR.50.","Intercept_coef_timeDep_VeOR.97.5.","VacStatus_coef_timeDep_VeOR.2.5.","VacStatus_coef_timeDep_VeOR.50.","VacStatus_coef_timeDep_VeOR.97.5.","TimeStep_coef_timeDep_VeOR.2.5.","TimeStep_coef_timeDep_VeOR.50.","TimeStep_coef_timeDep_VeOR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5.","Stats_sampleSizeNonCovid_unvac.2.5.","Stats_sampleSizeNonCovid_unvac.50.","Stats_sampleSizeNonCovid_unvac.97.5.","Stats_sampleSizeNonCovid_vac.2.5.","Stats_sampleSizeNonCovid_vac.50.","Stats_sampleSizeNonCovid_vac.97.5."
"1",0.1,"equal",30,-0.164633991,0.0987249185,0.275177588375,-0.16303134125,0.0953085305,0.2719742369,-7.80755997795,-7.2202757905,-6.740351503775,-0.317427158125,-0.100161408,0.15102804985,0.13896779665,0.154573008,0.168615063425,62,108,171.575,161.7,299,476.55,5718.475,5833.5,5946.525,17331.275,17529.5,17674.725
"2",0.1,"equal",31,-0.158416641,0.090446629,0.268434910025,-0.1637266876,0.092332173,0.262321316725,-7.770992539775,-7.173400912,-6.732326299375,-0.304366186725,-0.096876802,0.15156588805,0.1373175449,0.1554874125,0.165975793175,71,125,201.575,187.275,350.5,555.4,5848.9,5974.5,6091.1,17734.325,17937.5,18092.775
"3",0.1,"equal",32,-0.118957188825,0.090642482,0.270297836225,-0.1182022453,0.092923073,0.265186537925,-7.73924414075,-7.180681473,-6.67166144335,-0.30814508015,-0.0975300095,0.11163466015,0.1404996603,0.1550756965,0.164794302625,90,149.5,251.825,222.8,406.5,651.875,5974,6105,6221.575,18126.675,18343.5,18519.625
"4",0.1,"equal",33,-0.08782939265,0.0942356395,0.24655895965,-0.10567924575,0.0978681625,0.25794293115,-7.75379013095,-7.181176304,-6.643171780075,-0.298331737925,-0.103003591,0.1003229932,0.14314572415,0.155739008,0.1644989061,106,176.5,302.075,270.125,485.5,777.05,6104.375,6234.5,6343.625,18494.8,18724.5,18924.55
"5",0.1,"equal",34,-0.056859281175,0.0960670625,0.248558583075,-0.063015705925,0.10514652,0.259045612075,-7.660010009275,-7.1464393495,-6.628909032925,-0.2998758856,-0.111095365,0.061107603475,0.142967233775,0.1554209795,0.16445720355,125.425,207.5,353.7,312.95,565,903.675,6220.6,6359.5,6480.675,18852.025,19102.5,19321.1
"6",0.1,"equal",35,-0.0331742803,0.10747653,0.229651848925,-0.03647727985,0.107375448,0.2295778922,-7.607237581025,-7.137557257,-6.604953238675,-0.260825403825,-0.113589234,0.03582746885,0.14562574485,0.1555512875,0.165558517725,147.85,248.5,409.625,368.9,666,1069.925,6331.425,6472.5,6601.05,19139.475,19475,19699.975
"7",0.1,"equal",36,-0.03545737355,0.1073041335,0.22500555045,-0.0553329488,0.111643743,0.23759177165,-7.603057892375,-7.126795461,-6.582286735075,-0.271296440475,-0.118382589,0.0536254066499996,0.1472042181,0.1549782435,0.1647775618,175.375,293,477.05,434.275,785.5,1243.55,6429.35,6587,6731.05,19448.075,19814.5,20049.15
"8",0.1,"equal",37,-0.028813854175,0.107818732,0.209746859675,-0.041524396025,0.10735801,0.2271542377,-7.576233893775,-7.110499201,-6.5687470492,-0.2577062162,-0.113569844,0.0406848579,0.147703495425,0.155130701,0.1647126868,206.475,344,551.025,510.175,922.5,1467.825,6534.8,6699,6834.575,19735.175,20159,20391.05
"9",0.1,"equal",38,-0.029325955,0.103980441,0.204747354625,-0.04796324175,0.1054099805,0.220866729075,-7.5998106007,-7.088586961,-6.541432745175,-0.24957763195,-0.1113897445,0.04684838085,0.14822459285,0.155485662,0.163862875675,236.75,400.5,648.25,608.575,1087.5,1717.575,6610.8,6791,6955.525,19987.775,20470.5,20743.55
"10",0.1,"equal",39,-0.02492953795,0.1090722095,0.194681346575,-0.02796483415,0.107057431,0.218652512125,-7.592024102625,-7.0777902405,-6.56530874315,-0.24674430265,-0.1132331165,0.02757644015,0.149298034025,0.155605061,0.16397353285,276.375,469.5,749.525,715.725,1278.5,2001.525,6660.325,6882.5,7051.1,20224.675,20739.5,21074.725
